StockCode,AssessmentYear,AdviceDOI,AdviceViewlink,AdviceStatus,AdviceReleasedDate,AdviceApplicableFrom,AdviceApplicableUntil,AdviceValue,AdviceValueUpperRange,AdviceValueLowerRange,WantedCatch,WantedCatchUpperRange,WantedCatchLowerRange,AdviceValueUnit,AdviceSentence,AdviceBasis,AdviceType,AdviceRequester,StockCategory,TAFlink,SIDlink,ManagementPlanlink,ManagementPlanOwnership,MPevaluationLink,AdviceKey,AssessmentKey
her.27.irls,2019,https://doi.org/10.17895/ices.advice.4718,https://asd.ices.dk/viewAdvice/1009,Advice,28/06/2019,01/01/2020,31/12/2020,0,,,,,,t,ICES advises that when the MSY approach is applied; there should be zero catch in 2020.,MSY,Catches,EC,1,,,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2014/2014/her-irls.pdf,Pelagic AC,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2018/Special_requests/eu.2018.03.pdf,1009,10329
cod.27.5a,2019,https://doi.org/10.17895/ices.advice.4735,https://asd.ices.dk/viewAdvice/1011,Advice,13/06/2019,01/01/2020,31/12/2020,272411,,,,,,t,ICES advises that when the Iceland management plan is applied; catches in the fishing year 2019/2020 should be no more than 272 411 tonnes.,MP,Catches,,1,,,MII. 2015. Icelandic Ministry of Industries and Innovation fisheries management plan for Icelandic cod.,Icelandic government,See Annex 2.3.4http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2014/2014/cod-iceg.pdf,1011,11516
had.27.7a,2019,https://doi.org/10.17895/ices.advice.4784,https://asd.ices.dk/viewAdvice/1022,Advice,28/06/2019,01/01/2020,31/12/2020,3156,,,2667,,,t,ICES advises that when the EU multiannual plan (MAP) for Western Waters and adjacent waters is applied; catches in 2020 that correspond to the F ranges in the MAP are between 2333 and 3830 tonnes. According to the MAP; catches higher than those corresponding to FMSY (3156 tonnes) can only be taken under conditions specified in the MAP; while the entire range is considered precautionary when applying the ICES advice rule.,MSY,Catches,EC,1,,,,EC,,1022,12969
ple.27.7a,2019,https://doi.org/10.17895/ices.advice.4798,https://asd.ices.dk/viewAdvice/1024,Advice,28/06/2019,01/01/2020,31/12/2020,5640,,,,,,t,In the context of the EU multiannual plan for Western Waters and adjacent waters in which this stock is considered bycatch; the EC has requested that ICES provide advice based on the precautionary approach. ICES advises that catches of up to  5640 tonnes are considered to be precautionary.,PA,Catches,EC~NEAFC,1,,,,EC,,1024,12868
had.27.6b,2019,https://doi.org/10.17895/ices.advice.5589,https://asd.ices.dk/viewAdvice/1025,Advice,30/09/2019,01/01/2020,31/12/2020,10472,,,9221,,,t,ICES advises that when the MSY approach is applied; catches in 2020 should be no more than 10 472 tonnes.,MSY,Catches,EC~NEAFC,1,,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/Special requests/NEACF_HCR_evaluation_for_Rockall_haddock_fisheries.pdf,NEAFC,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/Special%20requests/NEACF_HCR_evaluation_for_Rockall_haddock_fisheries.pdf,1025,13108
had.27.7b-k,2019,https://doi.org/10.17895/ices.advice.4785,https://asd.ices.dk/viewAdvice/1026,Advice,28/06/2019,01/01/2020,31/12/2020,16671,,,8068,,,t,ICES advises that when the EU multiannual plan (MAP) for Western waters and adjacent waters  is applied; catches in 2020 that correspond to the F ranges in the MAP are between 11 418 and 23 262 tonnes. According to the MAP; catches higher than those corresponding to FMSY (16 671 tonnes) can only be taken under conditions specified in the MAP; while the entire range is considered precautionary when applying the ICES advice rule.,MSY,Catches,EC,1,,,,,,1026,12976
pok.27.3a46,2018,https://doi.org/10.17895/ices.advice.4898,https://asd.ices.dk/viewAdvice/1080,Advice,22/02/2019,01/01/2019,31/12/2019,103327,,,96223,,,t,Please note: The present advice replaces the advice given in November 2018 for catches in 2019.  ICES advises that when the MSY approach is applied; catches in 2019 should be no more than 103 327 tonnes.,MSY,Catches,,1,,,,EC -  Norway,,1080,10324
alf.27.nea,2018,https://doi.org/10.17895/ices.pub.4394,https://asd.ices.dk/viewAdvice/1092,Advice,07/06/2018,01/01/2019,31/12/2020,224,,,,,,t,ICES advises that when the precautionary approach is applied; landings should be no more than 224 tonnes in each of the years 2019 and 2020. ICES cannot quantify the corresponding catches.,PA,Landings,EC~NEAFC,5.2,,,,,,1092,9476
ane.27.8,2018,https://doi.org/10.17895/ices.pub.4650,https://asd.ices.dk/viewAdvice/1093,Advice,10/12/2018,01/01/2019,31/12/2019,33000,,,,,,t,ICES advises that when the management strategy is applied; catches in 2019 should be no more than 33 000 tonnes.,MP,Catches,EC,1,,,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=COM:2009:0399:FIN:EN:PDF,EC,http://ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2016/WGHANSA/20%20Annex_09_BoB_Anchovy_G3Rule.pdf,1093,10308
had.27.46a20,2019,NA - The advice link for key 12946 was not found!,https://asd.ices.dk/viewAdvice/1099,InitAdvice,28/06/2019,01/01/2020,31/12/2020,30228,30228,26269,25537,25537,22207,t,ICES advises that when the MSY approach is applied; total catches in 2020 should be no more than 30 228 tonnes.,MSY,Catches,EC~Norway,1,,,,,,1099,12946
cod.21.1a-e,2019,https://doi.org/10.17895/ices.advice.4733,https://asd.ices.dk/viewAdvice/1100,Advice,13/06/2019,01/01/2020,31/12/2021,0,,,,,,t,ICES advises that when the precautionary approach is applied; there should be zero catch in 2020 and 2021.,PA,Catches,Norway~NEAFC,3.14,,,,,,1100,12939
whg.27.47d,2019,https://doi.org/10.17895/ices.advice.4878,https://asd.ices.dk/viewAdvice/1123,Advice,28/06/2019,01/01/2020,31/12/2020,22082,,,,,,t,ICES advises that when the MSY approach is applied; catches in 2020 should be no more than 22 082 tonnes.  Management should be implemented at the stock level.    Management should be implemented at the stock level.,MSY,Catches,EC~Norway~NEAFC,1,,,http://data.europa.eu/eli/reg/2018/973/oj,EC,,1123,11587
sol.27.4,2019,NA - The advice link for key 11568 was not found!,https://asd.ices.dk/viewAdvice/1124,InitAdvice,28/06/2019,01/01/2020,31/12/2020,12317,,7170,11268,19038,6562,t,ICES advises that when the EU multiannual plan (MAP) for the North Sea is applied; catches in 2020 that correspond to the F ranges in the MAP are between 7170 tonnes and 20 820 tonnes. According to the MAP; catches higher than those corresponding to FMSY (12 317 tonnes) can only be taken under conditions specified in the MAP; whilst the entire range is considered precautionary when applying the ICES advice rule.,FMSYranges,Catches,EC~NEAFC,1,,,,EC,,1124,11568
lem.27.3a47d,2019,https://doi.org/10.17895/ices.advice.4862,https://asd.ices.dk/viewAdvice/1128,Advice,03/09/2019,01/01/2020,31/12/2021,4279,,,,,,t,ICES advises that when the precautionary approach is applied; catches should be no more than 4279 tonnes in each of the years 2020 and 2021.  ICES advises that if lemon sole continues to be managed using a total allowable catch (TAC); then it should be a single-species TAC covering an area appropriate to the relevant stock distribution (ICES Subarea 4 and Divisions 3.a and 7.d).,PA,Catches,EC~NEAFC,3.2,,,,,,1128,13003
san.sa.3r,2019,https://doi.org/10.17895/ices.advice.4722,https://asd.ices.dk/viewAdvice/1129,Advice,22/02/2019,01/01/2019,31/12/2019,133610,,,,,,t,ICES advises that when the MSY approach is applied; catches in 2019 should be no more than 133 610 tonnes.,MSY,Catches,Norway~NEAFC~EC,1,,,,,,1129,10321
ele.2737.nea,2019,https://doi.org/10.17895/ices.advice.4825,https://asd.ices.dk/viewAdvice/1130,Advice,08/11/2019,01/01/2020,31/12/2020,0,,,,,,,ICES advises that when the precautionary approach is applied for European eel; all anthropogenic impacts (e.g. caused by recreational and commercial fishing on all stages; hydropower; pumping stations; and pollution) that decrease production and escapement of silver eels should be reduced to; or kept as close as possible to; zero in 2020.,PA,Catches,EC~NEAFC,3.14,,,,,,1130,13226
bli.27.5a14,2019,https://doi.org/10.17895/ices.advice.4812,https://asd.ices.dk/viewAdvice/1132,Advice,13/06/2019,01/01/2020,31/12/2020,483,,,,,,t,ICES advises that when the precautionary approach is applied; catches in 2020 should be no more than 483 tonnes. All catches are assumed to be landed.,PA,Catches,Iceland~NEAFC~EC,3.3,,,,,,1132,12918
her.27.irls,2019,https://doi.org/10.17895/ices.advice.4718,https://asd.ices.dk/viewAdvice/1133,Advice,28/06/2019,01/01/2020,31/12/2020,0,,,,,,t,ICES advises that when the MSY approach is applied; there should be zero catch in 2020.,MSY,Catches,,1,,,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2014/2014/her-irls.pdf,Pelagic AC,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2018/Special_requests/eu.2018.03.pdf,1133,10329
cod.21.1,2019,https://doi.org/10.17895/ices.advice.4732,https://asd.ices.dk/viewAdvice/1145,Advice,13/06/2019,01/01/2020,31/12/2020,5537,,,,,,t,ICES advises that when the MSY approach is applied; catches in 2020 should be no more than 5537 tonnes.,MSY,Catches,,1,,,,,,1145,12925
her.27.6a7bc,2019,https://doi.org/10.17895/ices.advice.4717,https://asd.ices.dk/viewAdvice/1146,Advice,26/06/2019,01/01/2020,31/12/2020,0,,,,,,t,ICES advises that when the precautionary approach is applied; there should be zero catch in 2020.,PA,Catches,EC,1.2,,,,Pelagic AC,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/Special_requests/eu.2017.20.pdf,1146,10348
her.27.20-24,2019,https://doi.org/10.17895/ices.advice.4715,https://asd.ices.dk/viewAdvice/1147,Advice,29/05/2019,01/01/2020,31/12/2020,0,,,,,,t,ICES advises that when the MSY approach is applied; there should be zero catch in 2020.    This advice applies to the catch of western Baltic spring spawning herring (WBSS) in subdivisions 20â€“24 and the eastern part of Subarea 4.,MSY,Catches,EC~Norway,1.2,,,EU Baltic MAP: https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R1139&from=EN,EC,,1147,12592
nep.fu.2829,2019,https://doi.org/10.17895/ices.advice.4770,https://asd.ices.dk/viewAdvice/1150,Advice,28/06/2019,01/01/2020,31/12/2021,309,,,,,,t,ICES advises that when the precautionary approach is applied; catches in each of the years 2020 and 2021 should be no more than 309 tonnes.  To ensure that the stock in Functional Units 28-29 is exploited sustainably; management should be implemented at the functional unit level.,PA,Catches,,3.2,,,https://eur-lex.europa.eu/eli/reg/2019/472/oj,,,1150,12764
boc.27.6-8,2019,https://doi.org/10.17895/ices.advice.4880,https://asd.ices.dk/viewAdvice/1154,Advice,01/10/2019,01/01/2020,31/12/2021,"19152 ",,,,,,t,ICES advises that when the precautionary approach is applied; catches should be no more than 19 152 tonnes in each of the years 2020 and 2021.,PA,Catches,,3.2,,,see under the Request section:http://ices.dk/sites/pub/Publication%20Reports/Advice/2015/Special_Requests/EU_boarfish_management_plan.pdf,Pelagic RAC,http://ices.dk/sites/pub/Publication%20Reports/Advice/2015/Special_Requests/EU_boarfish_management_plan.pdf,1154,13104
ank.27.8c9a,2019,https://doi.org/10.17895/ices.advice.4756,https://asd.ices.dk/viewAdvice/1156,Advice,28/06/2019,01/01/2020,31/12/2020,2050,,,,,,t,ICES advises that when the precautionary approach is applied; catches in 2020 should be no more than 2050 tonnes.  Management of catches of the two anglerfish species; Lophius budegassa and L. piscatorius; under a combined species total allowable catch (TAC) prevents effective control of the single-species exploitation rates and could lead to the overexploitation of either species.,PA,Catches,,3.2,,,https://eur-lex.europa.eu/eli/reg/2019/472/oj,,,1156,12974
lin.27.5b,2019,https://doi.org/10.17895/ices.advice.4817,https://asd.ices.dk/viewAdvice/1157,Advice,11/06/2019,01/01/2020,31/12/2021,4157,,,,,,t,ICES advises that when the precautionary approach is applied; catches should be no more than 4157 tonnes in each of the years 2020 and 2021. All catches are assumed to be landed. ICES is not in a position to advise on the corresponding level of fishing effort.,PA,Catches,,3.2,,,,,,1157,12728
aru.27.5a14,2019,https://doi.org/10.17895/ices.advice.4809,https://asd.ices.dk/viewAdvice/1160,Advice,13/06/2019,01/01/2020,31/12/2020,9124,,,,,,t,ICES advises that when the precautionary approach is applied; catches should be no more than 9124 tonnes in 2020.,PA,Catches,Iceland,3.3,,,,,,1160,12692
her.27.nirs,2019,https://doi.org/10.17895/ices.advice.4719,https://asd.ices.dk/viewAdvice/1163,Advice,28/06/2019,01/01/2020,31/12/2020,8064,,,,,,t,ICES advises that when the MSY approach is applied; catches in 2020 should be no more than 8064 tonnes.,MSY,Catches,EC,1,,,,,,1163,10343
her.27.3a47d,2019,https://doi.org/10.17895/ices.advice.4716,https://asd.ices.dk/viewAdvice/1164,Advice,29/05/2019,01/01/2020,31/12/2020,431062,,,,,,ratio,ICES advises that when the MSY approach is applied; catches in 2020 should be no more than 431 062 tonnes; which includes 418 649 tonnes for the A-fleet.,MSY,Catches,EC~Norway,1,,,https://ec.europa.eu/fisheries/sites/fisheries/files/docs/pages/2017-agreed-record-eu-norway-north-sea-12-2016.pdf,EC -  Norway,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/Special_Requests/EU-Norway_LTMS_for_NS_%20herring.pdf,1164,10365
anf.27.3a46,2019,https://doi.org/10.17895/ices.advice.4778,https://asd.ices.dk/viewAdvice/1177,Advice,31/10/2019,01/01/2020,31/12/2020,22056,,,,,,t,ICES advises that when the precautionary approach is applied; catches in 2020 should be no more than 22 056 tonnes.,PA,Catches,,3.2,,,,,,1177,13221
bss.27.8ab,2019,https://doi.org/10.17895/ices.advice.4757,https://asd.ices.dk/viewAdvice/1179,Advice,28/06/2019,01/01/2020,31/12/2020,2533,3075,2417,,,,t,ICES advises that when the EU multiannual plan (MAP) for Western waters and adjacent waters is applied; catches in 2020 that correspond to the F ranges in the MAP are between 2417 tonnes and 3075 tonnes. According to the MAP; catches higher than those corresponding to FMSY (2533 tonnes) can only be taken under conditions specified in the MAP; while the entire range is considered precautionary when applying the ICES advice rule.,MP,Catches,,1,,,https://eur-lex.europa.eu/eli/reg/2019/472/oj,,,1179,13045
cod.27.47d20,2019,https://doi.org/10.17895/ices.advice.5640,https://asd.ices.dk/viewAdvice/1181,InitAdvice,28/06/2019,01/01/2020,31/12/2020,10457,13289,8699,8613,10933,7178,t,ICES advises that when the MSY approach is applied; catches in 2020 should be no more than 10 457 tonnes.,MSY,Catches,EC~Norway~NEAFC,1,,,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2008:348:0020:0033:EN:PDFEU MAP: https://eur-lex.europa.eu/resource.html?uri=cellar:9aa2aaae-5956-11e6-89bd-01aa75ed71a1.0008.02/DOC_1&format=PDF.,EC - Norway,,1181,12948
cod.27.47d20,2019,https://doi.org/10.17895/ices.advice.5640,https://asd.ices.dk/viewAdvice/1182,Advice,08/11/2019,01/01/2020,31/12/2020,13686,,,10881,,,t,ICES advises that when the MSY approach is applied; catches in 2020 should be no more than 13 686 tonnes.,MSY,Catches,EC~Norway,1,,,http://data.europa.eu/eli/reg/2018/973/oj.,EC - Norway,,1182,13211
bll.27.3a47de,2019,https://doi.org/10.17895/ices.advice.4858,https://asd.ices.dk/viewAdvice/1183,Advice,26/09/2019,01/01/2020,31/12/2021,2559,,,,,,t,Please note: This advice was updated in June 2020 (ICES; 2020).  ICES advises that when the precautionary approach is applied; catches should be no more than 2559 tonnes in each of the years 2020 and 2021.  ICES advises that brill should be managed using a single-species total allowable catch (TAC) covering an area appropriate to the relevant stock distribution (Subarea 4; and divisions 3.a and 7.de).,PA,Catches,EC~NEAFC,3.2,,,http://data.europa.eu/eli/reg/2018/973/oj,EC,,1183,12953
fle.27.3a4,2019,https://doi.org/10.17895/ices.advice.4860,https://asd.ices.dk/viewAdvice/1184,Advice,28/06/2019,01/01/2020,31/12/2021,NA,,,,,,t,ICES has not been requested to provide advice on fishing opportunities for this stock.,NoAdv,NoAd,EC~Norway~NEAFC,3.2,,,,,,1184,12954
nep.fu.33,2019,https://doi.org/10.17895/ices.advice.5459,https://asd.ices.dk/viewAdvice/1186,Advice,28/06/2019,01/01/2019,31/12/2020,898,,,,,,t,Please note: The present advice replaces the advice given in June 2018 for catches in 2019 and 2020.  ICES advises that when the precautionary approach (PA) is applied; wanted catches in each of the years 2019 and 2020 should not exceed 898 tonnes. ICES cannot quantify the corresponding total catches.  To ensure that the stock in Functional Unit (FU) 33 is exploited sustainably; management should be implemented at the functional unit level.    ICES advises that when the precautionary approach (PA) is applied; wanted catches in each of the years 2019 and 2020 should not exceed 898 tonnes. ICES cannot quantify the corresponding total catches.    To ensure that the stock in Functional Unit (FU) 33 is exploited sustainably; management should be implemented at the functional unit level.,PA,Catches,EC~NEAFC,4.14,,,,,,1186,11501
nep.fu.3-4,2019,https://doi.org/10.17895/ices.advice.4864,https://asd.ices.dk/viewAdvice/1187,Advice,28/06/2019,01/01/2020,31/12/2020,19904,,,17540,,,t,ICES advises that when the EU multiannual plan (MAP) for the North Sea is applied; catches in 2020 that correspond to the F ranges in the MAP are between 14 109 tonnes and 19 904 tonnes. The entire range is considered precautionary when applying the ICES advice rule.,MSY,Catches,EC~Norway~NEAFC,1,,,http://data.europa.eu/eli/reg/2018/973/oj,EC,,1187,12886
san.sa.1r,2019,https://doi.org/10.17895/ices.advice.4720,https://asd.ices.dk/viewAdvice/1189,Advice,22/02/2019,01/01/2019,31/12/2019,91916,,,,,,t,ICES advises that when the MSY approach is applied; catches in 2019 should be no more than 91 916 tonnes.,MSY,Catches,NEAFC~EC,1,,,,,,1189,10322
