Unnamed: 0,ID,Goal,Target,Indicator,ReleaseStatus,ReleaseName,SeriesID,SeriesCode,SeriesDescription,SeriesObservationCount,GeoAreaCode,GeoAreaName,TimePeriod,Value,ValueType,Time_Detail,Source,FootNote,ObservationID,Age,Freq,Location,Nature,Sex,Units,Bounds,Level/Status,Name of international agreement,Education level,Type of product,Type of facilities,Name of international institution,Type of occupation,Tariff regime (status),Type of skill,Mode of transportation,Type of mobile technology,Name of non-communicable disease,Type of speed,Migratory status,Disability status,Hazard type,IHR Capacity,Cities,Reporting Type,Quantile
1033580,370353,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,32,Argentina,2009,0.11418,Float,2009,Country submission for Ocean Science data and UIS for R/D,,3876875,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033581,370354,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,32,Argentina,2010,0.1368,Float,2010,Country submission for Ocean Science data and UIS for R/D,,3876930,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033582,370355,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,32,Argentina,2011,0.1505,Float,2011,Country submission for Ocean Science data and UIS for R/D,,3876955,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033583,370356,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,32,Argentina,2012,0.22582,Float,2012,Country submission for Ocean Science data and UIS for R/D,,3876882,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033584,370357,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,36,Australia,2010,0.72261,Float,2010,Country submission for Ocean Science data and UIS for R/D,,3876954,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033585,370358,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,36,Australia,2011,0.75968,Float,2011,Country submission for Ocean Science data and UIS for R/D,,3876916,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033586,370359,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,56,Belgium,2009,0.10139,Float,2009,Country submission for Ocean Science data and UIS for R/D,,3876936,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033587,370360,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,56,Belgium,2010,0.06896,Float,2010,Country submission for Ocean Science data and UIS for R/D,,3876929,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033588,370361,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,56,Belgium,2011,0.04898,Float,2011,Country submission for Ocean Science data and UIS for R/D,,3876949,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033589,370362,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,56,Belgium,2012,0.05072,Float,2012,Country submission for Ocean Science data and UIS for R/D,,3876874,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033590,370363,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,124,Canada,2009,0.51005,Float,2009,Country submission for Ocean Science data and UIS for R/D,DFO - only data for the Fisheries and Oceans Canada ,3876890,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
