coastal,OBS_VALUE
3,3568871.0
3,3585884.0
3,3600270.0
3,3617154.0
3,3637089.0
3,3657709.0
3,3675345.0
3,3695960.0
3,3719009.0
3,3731715.0
3,3752791.0
1,5580516.0
1,5602628.0
1,5627235.0
1,5659715.0
1,5707251.0
1,5748769.0
1,5781190.0
1,5806081.0
1,5822763.0
1,5840045.0
1,5873420.0
1,716318.0
1,716719.0
1,719600.0
1,721953.0
1,728245.0
1,733206.0
1,740001.0
1,748418.0
1,756213.0
1,1014864.0
1,1014949.0
1,3283881.0
1,3305664.0
1,3328475.0
1,3349142.0
1,3366835.0
1,3384274.0
1,3399503.0
1,3411321.0
1,3425463.0
1,3437833.0
1,3451326.0
1,24510227.0
1,25093320.0
1,25476735.0
1,25618454.0
1,25719834.0
1,25799043.0
1,25919227.0
1,26002571.0
1,26083925.0
1,26263448.0
1,26411984.0
3,7580975.0
3,7598616.0
3,7620101.0
3,7662652.0
3,7750410.0
3,7808058.0
3,7841989.0
3,7863304.0
3,7877866.0
3,7894859.0
3,7907796.0
1,4302961.0
1,4320981.0
1,4348252.0
1,4386703.0
1,4433606.0
1,4487773.0
1,4530503.0
1,4600077.0
1,4659639.0
1,4699622.0
1,4752002.0
1,1286414.0
1,1276357.0
1,1268440.0
1,1263338.0
1,1257065.0
1,1252694.0
1,1248269.0
1,1243316.0
1,1239360.0
1,1229622.0
1,1222754.0
1,334744.0
1,331553.0
1,329013.0
1,327300.0
1,324618.0
1,320507.0
1,317252.0
1,317722.0
1,319958.0
1,321849.0
1,324263.0
3,5208766.0
3,5225923.0
3,9139505.0
3,9187897.0
3,9237154.0
3,9300010.0
3,9359937.0
3,9419283.0
3,9494431.0
3,9496373.0
3,9563265.0
3,3825682.0
3,3830854.0
3,3833255.0
3,3837247.0
3,3838986.0
3,3843017.0
3,3849714.0
3,3856881.0
3,3864537.0
3,3859874.0
3,3848124.0
3,8885270.0
3,8848826.0
3,8807029.0
3,8773777.0
3,8755580.0
3,8740326.0
3,8736528.0
3,8737112.0
3,8762187.0
3,8769462.0
3,8831935.0
1,27850449.0
1,27823416.0
1,27718947.0
1,27698114.0
1,27713426.0
1,27788376.0
1,27884827.0
1,28071034.0
1,28330777.0
1,28405025.0
1,28462435.0
1,7748876.0
1,7815717.0
1,7894399.0
1,7983753.0
1,8072215.0
1,8192682.0
1,8299114.0
1,8394340.0
1,8480681.0
1,8527522.0
1,8592526.0
3,49868523.0
3,50194206.0
3,50548062.0
3,50944763.0
3,51353532.0
3,51700987.0
3,52039072.0
3,52330553.0
