DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2012,2903008,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2013,2897770,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2014,2892394,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2015,2885796,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2016,2875592,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2017,2876591,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2018,2870324,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2019,2862427,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2020,2845955,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2021,2829741,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL,2022,2793592,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2012,2903008,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2013,2897770,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2014,2892394,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2015,2885796,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2016,2875592,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2017,2876591,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2018,2870324,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2019,2862427,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2020,2845955,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2021,2829741,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL0,2022,2793592,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2012,861058,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2013,853084,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2014,844921,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2015,836448,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2016,830981,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2017,826904,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2018,819793,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2019,813758,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2020,804689,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2021,797955,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL01,2022,783970,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2012,140956,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2013,137722,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2014,134332,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2015,131054,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2016,129056,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2017,125579,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2018,120978,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2019,118948,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2020,115857,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2021,113683,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL011,2022,109585,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2012,271947,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2013,274029,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2014,276058,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2015,277989,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2016,280205,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2017,284823,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2018,289626,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2019,290126,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2020,290697,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2021,292029,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL012,2022,291325,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL013,2012,87762,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL013,2013,86082,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL013,2014,84306,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL013,2015,82428,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL013,2016,81294,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL013,2017,79559,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL013,2018,77395,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL013,2019,76594,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL013,2020,75428,
