DATAFLOW,LAST UPDATE,freq,airpol,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2008,6598.95421,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2009,5864.86657,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2010,6282.06044,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2011,6075.89318,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2012,5711.62074,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2013,5518.61948,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2014,5193.62688,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2015,5259.75874,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2016,5119.70085,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2017,5427.09481,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2018,5177.37792,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2019,5528.74501,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2020,4878.51922,
ESTAT:ENV_AC_AINAH_R2(1.0),20/12/22 23:00:00,A,CO2,TOTAL,KG_HAB,AT,2021,5190.89175,s
