DATAFLOW,LAST UPDATE,freq,unit,airpol,src_crf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,1990,63025.69,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,1991,66733.87,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,1992,61319.77,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,1993,61812.04,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,1994,62236.51,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,1995,65356.07,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,1996,68840.45,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,1997,68800.22,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,1998,68491.83,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,1999,67212.41,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2000,67845.36,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2001,71800.78,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2002,73494.46,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2003,78913.96,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2004,79403.23,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2005,81037.94,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2006,78855.35,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2007,76282.57,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2008,75663.88,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2009,69192.06,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2010,74055.96,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2011,72061.55,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2012,69338.57,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2013,69734.89,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2014,66136.7,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2015,68475.76,
ESTAT:ENV_AIR_GGE(1.0),10/06/22 11:00:00,A,THS_T,CO2,TOTX4_MEMONIA,AT,2016,69535.54,
