DATAFLOW,LAST UPDATE,freq,pres,species,natvessr,dest_use,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2002,1793468.3586,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2003,78327986.5847,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2004,78682071.8127,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2005,79505321.9218,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2006,82910281.583,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2007,80359539.8,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2008,66809806.5,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2009,59605607.0902,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2010,65780100.4,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2011,69806787.1192,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2012,65092586.1204,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2013,57812410,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2014,69904006.4255,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2015,69936150.0491,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2016,66433391.1,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2017,68474323.4,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2018,64144315.5,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2019,60418774.1,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2020,57486650,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BE,2021,61907684.1,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2005,2123932.3815,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2006,1697652.9181,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2007,2755084.3644,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2008,3138594.3398,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2009,3129924.2045,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2010,2296692.1115,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2011,3480597.2763,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2012,5066271.7148,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2013,4746236.837,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2014,4617727.2179,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2015,4542589.1666,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2016,7947131.9708,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2017,8573278.0381,e
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2018,7948310.0387,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2019,6465041.8556,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2020,4804509.4081,e
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,BG,2021,6497315.5099,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,CY,2004,3483114.1863,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,CY,2005,5724563.5548,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,CY,2006,7316035.5755,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,CY,2007,5762857.1636,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,CY,2008,12736276,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,CY,2009,8576586.7,
ESTAT:FISH_LD_MAIN(1.0),28/02/23 23:00:00,A,TOTAL,F00,TOTAL,TOTAL,EUR,CY,2010,10105432.9438,
