https://www.fao.org/fishery/statistics-query/en/gfcm_capture/gfcm_capture_quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name En,ASFIS species Name En,Unit Name,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag
Albania,"Angelsharks, sand devils nei",Tonnes - live weight,,,,,0,M,0,,3,,4,,4,,5,,5,,12,,78,,14,,23,,12,,55,,68,,4,,1,,79,,16,,30,,30,,31,,20,,53,,0,N,0,M,0,M,0,M,0,M,0,M
Albania,Atlantic bluefin tuna,Tonnes - live weight,167.66,,156,,100,,56,,47,,40,,34,,9,,0,,0,N,0,,50,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Albania,Atlantic bonito,Tonnes - live weight,35,,29,,7,,11,,12,,27,,3,,4,,5,,12,,23,,21,,27,,19,,30,,23,,2,,4,,24,,30,,25,,30,,12,,0,N,2,,1,,0,M,0,M,0,M,0,M,0,M
Albania,Barracudas nei,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,7,,0,M,0,M,0,M,7,,4,,2,,0,M,0,M,0,M,2,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Blue and red shrimp,Tonnes - live weight,135,,130,,125,,198,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,18,,12,,15,,22,,34,,0,,0,,0,,0,,0,N,3,,0,N,0,M,0,M,0,M,0,M,0,M
Albania,Bluefish,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,0,,0,,0,,0,,9,,6,,2,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Blue whiting(=Poutassou),Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,0,,0,,0,,0,,8,,5,,1,,0,M,6,,0,,0,,0,,0,,0,N,2,,0,N,0,M,0,M,0,M,0,M,0,M
Albania,Bogue,Tonnes - live weight,101,,100,,75,,83,,80,,90,,78,,50,,55,,88,,80,,154,,132,,132,,86,,68,,76,,84,,150,,120,,220,,220,,220,,65,,104,,52,,100,E,150,E,196,,283,,754,
Albania,Caramote prawn,Tonnes - live weight,66,,43,,38,,33,,34,,22,,33,,24,,19,,9,,228,,20,,23,,18,,102,,150,,285,,178,,84,,23,,20,,18,,18,,4,,8,,30,,0,M,0,M,0,M,0,M,0,M
Albania,"Catsharks, nursehounds nei",Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,4,,2,,1,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
