assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
495630,10030,Hexanchus griseus,ANIMALIA,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Hexanchus,griseus,,,,"(Bonnaterre, 1788)",Near Threatened,A2bd,3.1,Decreasing,Global
500780,11150,Lagocephalus gloveri,ANIMALIA,CHORDATA,TETRAODONTIFORMES,ACTINOPTERYGII,TETRAODONTIDAE,Lagocephalus,gloveri,,,,"Abe &amp; Tabeta, 1983",Data Deficient,,3.1,Decreasing,Global
500969,11200,Lamna nasus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Lamna,nasus,,,,"(Bonnaterre, 1788)",Vulnerable,A2bd,3.1,Decreasing,Global
505458,12137,Lithognathus lithognathus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Lithognathus,lithognathus,,,,"(Cuvier, 1829)",Endangered,"A2bcd; B2ab(ii,v)",3.1,Decreasing,Global
506633,12417,Lutjanus cyanopterus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LUTJANIDAE,Lutjanus,cyanopterus,,,,"(Cuvier, 1828)",Vulnerable,A2bd,3.1,Decreasing,Global
507698,12695,Malaclemys terrapin,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,EMYDIDAE,Malaclemys,terrapin,,,,"(Schoepff, 1793)",Vulnerable,A4acde,3.1,Decreasing,Global
512306,13145,Menidia conchorum,ANIMALIA,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,ATHERINOPSIDAE,Menidia,conchorum,,,,"Hildebrand &amp; Ginsburg, 1927",Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,"Global, Caribbean & Gulf of Mexico"
514996,13520,Mictocaris halope,ANIMALIA,ARTHROPODA,MICTACEA,MALACOSTRACA,MICTOCARIDIDAE,Mictocaris,halope,,,,"Bowman &amp; Iliffe, 1985",Critically Endangered,"B1ab(iii,iv)+2ab(iii,iv)",3.1,Unknown,Global
718371,154656,Parioglossus neocaledonicus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,MICRODESMIDAE,Parioglossus,neocaledonicus,,,,"Dingerkus &amp; Séret, 1992",Data Deficient,,3.1,Unknown,Global
718871,154708,Diplodus cervinus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Diplodus,cervinus,,,,"Lowe, 1838",Least Concern,,3.1,Decreasing,Global
719371,154767,Membras martinica,ANIMALIA,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,ATHERINOPSIDAE,Membras,martinica,,,,"(Valenciennes, 1835)",Least Concern,,3.1,Unknown,Global
722000,154976,Drombus halei,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Drombus,halei,,,,"Whitley, 1935",Least Concern,,3.1,Stable,Global
722547,155018,Sciades parkeri,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ARIIDAE,Sciades,parkeri,,,,"(Traill, 1832)",Vulnerable,A2bd,3.1,Decreasing,Global
722731,155020,Anchoa walkeri,ANIMALIA,CHORDATA,CLUPEIFORMES,ACTINOPTERYGII,ENGRAULIDAE,Anchoa,walkeri,,,,"Baldwin &amp; Chang, 1970",Least Concern,,3.1,Unknown,Global
723579,155051,Microgobius tabogensis,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Microgobius,tabogensis,,,,"Meek &amp; Hildebrand, 1928",Least Concern,,3.1,Unknown,Global
723760,155080,Hyporhamphus roberti,ANIMALIA,CHORDATA,BELONIFORMES,ACTINOPTERYGII,HEMIRAMPHIDAE,Hyporhamphus,roberti,,,,"(Valenciennes, 1847)",Least Concern,,3.1,Unknown,Global
