internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
10030,Hexanchus griseus,ANIMALIA,CHORDATA,CHONDRICHTHYES,HEXANCHIFORMES,HEXANCHIDAE,Hexanchus,griseus,,,,,"(Bonnaterre, 1788)",
11150,Lagocephalus gloveri,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Lagocephalus,gloveri,,,,,"Abe &amp; Tabeta, 1983","<span class=""sheader5""><span class=""sheader5"">Puffers of the genus&#160;<em>Lagocephalus</em>&#160;are globally distributed in warm shallow waters, however classification at the species level in&#160;<em>Lagocephalus</em>&#160;has not yet been studied in depth, causing confusion in the status of several species including&#160;<em>L. cheesemanii</em>,&#160;<em>L. gloveri</em>,&#160;<em>L. spadiceus</em>, and&#160;<em>L. wheeleri&#160;</em>(Matsuura&#160;<em>et al.&#160;</em>2011).&#160;</span>"
11200,Lamna nasus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Lamna,nasus,,,,,"(Bonnaterre, 1788)",
12137,Lithognathus lithognathus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Lithognathus,lithognathus,,,,,"(Cuvier, 1829)",
12417,Lutjanus cyanopterus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Lutjanus,cyanopterus,,,,,"(Cuvier, 1828)",
12695,Malaclemys terrapin,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Malaclemys,terrapin,,,,,"(Schoepff, 1793)","Seven subspecies are generally accepted (TTWG 2017): <br/> <em><br/></em><em>Malaclemys terrapin terrapin</em>&#160;(Schoepff, 1793) - Northern Diamondback Terrapin<em><br/>Malaclemys terrapin centrata</em> (Latreille in Sonnini and Latreille, 1801) - Carolina Diamondback Terrapin <br/><em>Malaclemys terrapin littoralis</em>&#160;Hay, 1905 - Texas Diamondback Terrapin<br/> <em>Malaclemys terrapin macrospilota</em>&#160;Hay, 1905 - Ornate Diamondback Terrapin <br/> <em>Malaclemys terrapin pileata</em> (Wied, 1865) - Mississippi Diamondback Terrapin<br/> <em>Malaclemys terrapin rhizophorarum</em> Fowler, 1906 - Mangrove Diamondback Terrapin<br/> <em>Malaclemys terrapin tequesta</em> Schwartz, 1955 - Eastern Florida Diamondback Terrapin<br/><br/>These subspecific designations of terrapins were based on morphological characteristics (Carr 1952). However, molecular studies indicate that the morphological subspecific designations do not match well with the range-wide genetic differentiation, suggesting fewer independent lineages. Lamb and Avise (1992) first suggested two subpopulations that diverged near Jacksonville, Florida. More recent work using microsatellites suggested that five genetically distinct terrapin management units exist throughout the range (Hart <em>et al</em>. 2014). One unfortunate consequence of the previous heavy trade and farming of terrapins was the transport of individuals among populations, and the genetic signature of those translocations can still be detected today (Hauswaldt and Glen 2005; Converse <em>et al</em>. 2017; Converse and Kuchta 2018). A more thorough range-wide molecular study using more populations and loci is sorely needed to resolve the phylogenetic relationships and update the taxonomy of <em>Malaclemys</em>."
13145,Menidia conchorum,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Menidia,conchorum,,,,,"Hildebrand &amp; Ginsburg, 1927",There is currently a publication in review on the species delineation of <em>Menidia conchorum</em> and Menidia peninsulae (S. O'Leary pers. comm. 2013).
13520,Mictocaris halope,ANIMALIA,ARTHROPODA,MALACOSTRACA,MICTACEA,MICTOCARIDIDAE,Mictocaris,halope,,,,,"Bowman &amp; Iliffe, 1985",
154656,Parioglossus neocaledonicus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MICRODESMIDAE,Parioglossus,neocaledonicus,,,,,"Dingerkus &amp; Séret, 1992","It is unclear whether this species should in fact be placed in the Microdesmidae as subfamily Ptereleotrinae (W. Eschmeyer pers. comm. 2009).<br/><br/>This species may be <span style=""font-style: italic;"">Parioglossus marginalis</span> (D. Hoese pers.comm. 2011)."
154708,Diplodus cervinus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Diplodus,cervinus,,,,,"Lowe, 1838","<em>Diplodus cervinus</em>&#160;was previously recognized as comprising three subspecies:&#160;<em>Diplodus cervinus cervinus&#160;</em>(NE Atlantic and Mediterranean),&#160;<em>D. c. hottentotus&#160;</em>(SE Atlantic: Angola, South Africa), and&#160;<em>D. c. omanensis</em>&#160;(Indian Ocean: Oman). Currently, three species are recognized:&#160;<em>D. cervinus, D. hottentotus&#160;</em>(Heemstra and Heemstra 2004)&#160;and<em>&#160;D. omanensis&#160;</em>(Bauchot and Bianchi 1984, Amir&#160;<em>et al.</em>&#160;2013)<em>.</em>&#160;However, the&#160;<em>Diplodus cervinus</em>&#160;complex is in need of taxonomic review (Y. Iwatsuki pers. comm. 2014)."
