DATAFLOW,LAST UPDATE,freq,c_resid,terrtypo,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AL,2020,1091836,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2012,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2013,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2014,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2015,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2016,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2017,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2018,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2019,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2020,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2021,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,AT,2022,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,BE,2012,6607348,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,BE,2013,6612208,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,BE,2014,6957317,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,BE,2015,8454289,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,BE,2016,8373621,
