DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2011,50.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2012,48.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2013,49.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2014,50.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2015,48.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2016,51.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2017,52.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2018,55.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2019,58.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2020,59.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2021,60.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AL,2022,61.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2011,107.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2012,108.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2013,108.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2014,109.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2015,109.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2016,110.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2017,111.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2018,112.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2019,113.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2020,111.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2021,110.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,AT,2022,110,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2011,55.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2012,55.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2013,54.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2014,54.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2015,53.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2016,53.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2017,54.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2018,54.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2019,54.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2020,56.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2021,55.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BA,2022,57.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2011,111.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2012,111.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2013,111.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2014,111.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2015,111.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2016,113.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2017,114.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2018,114.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2019,114.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2020,113.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2021,113.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BE,2022,114.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2011,52.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2012,51.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2013,50.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2014,49.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2015,49.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2016,49.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2017,51.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2018,51.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2019,53.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2020,54.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2021,55.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,BG,2022,58.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2011,157.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2012,157.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2013,151.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2014,152.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2015,170.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2016,168.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2017,164.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2018,159.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2019,165.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2020,171.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2021,167.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CH,2022,174.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2011,96.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2012,97.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2013,96.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2014,94.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2015,92.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2016,89.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2017,89.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2018,90.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2019,91.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2020,90.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2021,90.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CY,2022,91.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2011,75.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2012,73.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2013,70.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2014,65.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2015,66.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2016,68.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2017,70.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2018,74.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2019,75.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2020,76.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2021,79.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,CZ,2022,87.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2011,104.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2012,104.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2013,106.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2014,106.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2015,107.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2016,107.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2017,106.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2018,105.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2019,107.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2020,106.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2021,107.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DE,2022,108.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2011,141.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2012,142.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2013,142.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2014,143.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2015,142.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2016,146.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2017,143.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2018,141.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2019,143.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2020,142.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2021,143.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,DK,2022,144.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2011,104.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2012,105.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2013,105.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2014,105.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2015,105.6,
