,year,StockCode,AdviceValue,AdviceType,AdviceApplicableFrom,AdviceApplicableUntil,AdviceValueUnit,AssessmentYear,AssessmentKey,AdviceKey,AdviceDOI,Reference,TAC ID,Species_x,TAC Zone,Level,TAC for comparison,Year,Amendment/Original,FishStock,FishStockTAC,area,speciesAcronym,_merge,Area,Species_y,Belgium,China,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greenland,Guernsey,Iceland,Ireland,Isle of Man,Japan,Jersey,"Korea, Republic of",Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Russian Federation,Spain,Sweden,"Taiwan, Province of China",United Kingdom of GB,tacCatches,_mergeSADTAC
0,2020.0,cod.27.5a,272411,Catches,2020.0,2020.0,t,2019.0,11516.0,1011.0,https://doi.org/10.17895/ices.advice.4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1,2020.0,had.27.7a,3156,Catches,2020.0,2020.0,t,2019.0,12969.0,1022.0,https://doi.org/10.17895/ices.advice.4784,(HAD/07A.) - 2020 - TAC - Original,(HAD/07A.),Haddock,7a,TAC,3156,2020.0,Original,had.27.7a,had.27.7a,27.7.a,had,both,27.7.a,had,3.6,,,,,,0.0,,,,,759.3101,0.1,,,,,,0.0,,,,,,,,531.3639,both,both
2,2020.0,ple.27.7a,5640,Catches,2020.0,2020.0,t,2019.0,12868.0,1024.0,https://doi.org/10.17895/ices.advice.4798,(PLE/07A.) - 2020 - TAC - Original,(PLE/07A.),Plaice,7a,TAC,3299,2020.0,Original,ple.27.7a,ple.27.7a,27.7.a,ple,both,27.7.a,ple,84.3,,0.0,,,,0.0,,,1.003,,177.1587,0.8,,,,,,0.0,,,,,,,,70.187,both,both
3,2020.0,had.27.6b,10472,Catches,2020.0,2020.0,t,2019.0,13108.0,1025.0,https://doi.org/10.17895/ices.advice.5589,(HAD/6B1214) - 2020 - TAC - Original,(HAD/6B1214),Haddock,"Union and international waters of 6b, 12 and 14",TAC,10472,2020.0,Original,had.27.6b,had.27.6b,27.6.b.1,had,both,27.6.b.1,had,,,,,,,0.0,,,,,15.3435,,,,,,,,11.64,,,133.0,0.0,,,0.0,both,both
4,2020.0,had.27.6b,10472,Catches,2020.0,2020.0,t,2019.0,13108.0,1025.0,https://doi.org/10.17895/ices.advice.5589,(HAD/6B1214) - 2020 - TAC - Original,(HAD/6B1214),Haddock,"Union and international waters of 6b, 12 and 14",TAC,10472,2020.0,Original,had.27.6b,had.27.6b,27.6.b.2,had,both,27.6.b.2,had,,,,,,,2.446,,,,,664.1364,,,,,,,,1.99,,,,0.09,,,0.0,both,both
5,2020.0,had.27.7b-k,16671,Catches,2020.0,2020.0,t,2019.0,12976.0,1026.0,https://doi.org/10.17895/ices.advice.4785,(HAD/7X7A34) - 2020 - TAC - Original,(HAD/7X7A34),Haddock,"7b-k, 8,9 and 10; Union waters of CECAF 34.1.1",TAC,11418,2020.0,Original,had.27.7b-k,had.27.7b-k,27.7.b,had,both,27.7.b,had,0.0,,1.0,,,,39.786,0.0,,,,173.5433,,,,,,,6.244,,,,,34.95,,,2.4954,both,both
6,2020.0,had.27.7b-k,16671,Catches,2020.0,2020.0,t,2019.0,12976.0,1026.0,https://doi.org/10.17895/ices.advice.4785,(HAD/7X7A34) - 2020 - TAC - Original,(HAD/7X7A34),Haddock,"7b-k, 8,9 and 10; Union waters of CECAF 34.1.1",TAC,11418,2020.0,Original,had.27.7b-k,had.27.7b-k,27.7.c.1,had,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,both
7,2020.0,had.27.7b-k,16671,Catches,2020.0,2020.0,t,2019.0,12976.0,1026.0,https://doi.org/10.17895/ices.advice.4785,(HAD/7X7A34) - 2020 - TAC - Original,(HAD/7X7A34),Haddock,"7b-k, 8,9 and 10; Union waters of CECAF 34.1.1",TAC,11418,2020.0,Original,had.27.7b-k,had.27.7b-k,27.7.c.2,had,both,27.7.c.2,had,,,,,,,54.223,,,,,0.0,,,,,,,0.0,0.0,,,,26.35,,,0.0,both,both
8,2020.0,had.27.7b-k,16671,Catches,2020.0,2020.0,t,2019.0,12976.0,1026.0,https://doi.org/10.17895/ices.advice.4785,(HAD/7X7A34) - 2020 - TAC - Original,(HAD/7X7A34),Haddock,"7b-k, 8,9 and 10; Union waters of CECAF 34.1.1",TAC,11418,2020.0,Original,had.27.7b-k,had.27.7b-k,27.7.e,had,both,27.7.e,had,8.8,,0.0,,,,955.245,,,,,0.0,,,0.0,,,,12.208,,,,,0.0,,,293.7075,both,both
9,2020.0,had.27.7b-k,16671,Catches,2020.0,2020.0,t,2019.0,12976.0,1026.0,https://doi.org/10.17895/ices.advice.4785,(HAD/7X7A34) - 2020 - TAC - Original,(HAD/7X7A34),Haddock,"7b-k, 8,9 and 10; Union waters of CECAF 34.1.1",TAC,11418,2020.0,Original,had.27.7b-k,had.27.7b-k,27.7.f,had,both,27.7.f,had,47.6,,,,,,366.254,,,,,0.0,,,,,,,0.533,,,,,0.0,,,45.7456,both,both
