DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2000,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2001,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2002,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2003,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2004,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2005,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2006,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2007,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2008,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2009,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2010,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2011,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2012,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2013,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2014,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2015,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2016,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2017,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2018,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2019,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2020,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2021,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,AT,2022,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2000,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2001,550,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2002,818,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2003,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2004,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2005,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2006,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2007,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2008,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2009,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2010,3,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2011,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2012,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2013,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2014,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2015,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2016,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2017,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2018,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2019,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2020,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2021,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BE,2022,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2000,24,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2001,8734,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2002,10,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2003,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2004,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2005,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2006,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2007,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2008,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2009,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2010,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2011,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2012,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2013,10,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2014,14,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2015,7,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2016,3,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2017,7,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2018,10,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2019,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2020,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2021,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,BG,2022,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,CY,2000,49,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,CY,2001,30,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,CY,2002,0,
