,Reference,TAC ID,Species_x,TAC Zone,Level,TAC for comparison,Year,Amendment/Original,FishStock,FishStockTAC,area,speciesAcronym,_merge,Area,Species_y,Belgium,China,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greenland,Guernsey,Iceland,Ireland,Isle of Man,Japan,Jersey,"Korea, Republic of",Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Russian Federation,Spain,Sweden,"Taiwan, Province of China",United Kingdom of GB,tacCatches
0,(ANF/8C3411) - 2012 - TAC - Original,(ANF/8C3411),Anglerfish,"8c, 9 and 10; Union waters of CECAF 34.1.1",TAC,3300,2012.0,Original,mon.27.8c9a,ank.27.8c9a + mon.27.8c9a,27.8.c,mon,both,27.8.c,mon,,,,,,,,,,,,0.0,,,,,,,,,,8.49,,0.0,,,,both
1,(ANF/8C3411) - 2012 - TAC - Original,(ANF/8C3411),Anglerfish,"8c, 9 and 10; Union waters of CECAF 34.1.1",TAC,3300,2012.0,Original,mon.27.8c9a,ank.27.8c9a + mon.27.8c9a,27.9.a,mon,both,27.9.a,mon,,,,,,,,,,,,0.0,,,,,,,,,,494.17,,0.0,,,,both
2,(ANF/8C3411) - 2016 - TAC - Original,(ANF/8C3411),Anglerfish,"8c, 9 and 10; Union waters of CECAF 34.1.1",TAC,2569,2016.0,Original,mon.27.8c9a,ank.27.8c9a + mon.27.8c9a,27.8.c,mon,both,27.8.c,mon,,,,,,,,,,,,0.0,,,,,,,,,,6.05,,301.81,,,,both
3,(ANF/8C3411) - 2016 - TAC - Original,(ANF/8C3411),Anglerfish,"8c, 9 and 10; Union waters of CECAF 34.1.1",TAC,2569,2016.0,Original,mon.27.8c9a,ank.27.8c9a + mon.27.8c9a,27.9.a,mon,both,27.9.a,mon,,,,,,,,,,,,0.0,,,,,,,,,,339.41,,91.89,,,,both
4,(ANF/8C3411) - 2020 - TAC - Original,(ANF/8C3411),Anglerfish,"8c, 9 and 10; Union waters of CECAF 34.1.1",TAC,4196,2020.0,Original,mon.27.8c9a,ank.27.8c9a + mon.27.8c9a,27.8.c,mon,both,27.8.c,mon,,,,,,,,,,,,0.0,,,,,,,,,,1.87,,125.06,,,,both
5,(ANF/8C3411) - 2020 - TAC - Original,(ANF/8C3411),Anglerfish,"8c, 9 and 10; Union waters of CECAF 34.1.1",TAC,4196,2020.0,Original,mon.27.8c9a,ank.27.8c9a + mon.27.8c9a,27.9.a,mon,both,27.9.a,mon,,,,,,,,,,,,0.0,,,,,,,,,,150.78,,52.73,,,,both
6,(ANF/07.) - 2012 - TAC - Original,(ANF/07.),Anglerfish,7,TAC,30677,2012.0,Original,mon.27.78abd,mon.27.78abd + ank.27.78abd,27.7.a,mon,both,27.7.a,mon,,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,both
7,(ANF/8ABDE.) - 2012 - TAC - Original,(ANF/8ABDE.),Anglerfish,"8a, 8b, 8d and 8e",TAC,8220,2012.0,Original,mon.27.78abd,mon.27.78abd + ank.27.78abd,27.7.a,mon,both,27.7.a,mon,,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,both
8,(ANF/07.) - 2012 - TAC - Original,(ANF/07.),Anglerfish,7,TAC,30677,2012.0,Original,mon.27.78abd,mon.27.78abd + ank.27.78abd,27.7.b,mon,both,27.7.b,mon,,,,,,,,0.0,,,,0.02,,,,,,,0.0,,,,,,,,0.0,both
9,(ANF/8ABDE.) - 2012 - TAC - Original,(ANF/8ABDE.),Anglerfish,"8a, 8b, 8d and 8e",TAC,8220,2012.0,Original,mon.27.78abd,mon.27.78abd + ank.27.78abd,27.7.b,mon,both,27.7.b,mon,,,,,,,,0.0,,,,0.02,,,,,,,0.0,,,,,,,,0.0,both
10,(ANF/07.) - 2012 - TAC - Original,(ANF/07.),Anglerfish,7,TAC,30677,2012.0,Original,mon.27.78abd,mon.27.78abd + ank.27.78abd,27.7.c.1,mon,both,27.7.c.1,mon,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,both
11,(ANF/8ABDE.) - 2012 - TAC - Original,(ANF/8ABDE.),Anglerfish,"8a, 8b, 8d and 8e",TAC,8220,2012.0,Original,mon.27.78abd,mon.27.78abd + ank.27.78abd,27.7.c.1,mon,both,27.7.c.1,mon,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,both
12,(ANF/07.) - 2012 - TAC - Original,(ANF/07.),Anglerfish,7,TAC,30677,2012.0,Original,mon.27.78abd,mon.27.78abd + ank.27.78abd,27.7.c.2,mon,both,27.7.c.2,mon,,,,,,,,,,,,0.0,,,,,,,,0.28,,,,0.0,,,0.0,both
13,(ANF/8ABDE.) - 2012 - TAC - Original,(ANF/8ABDE.),Anglerfish,"8a, 8b, 8d and 8e",TAC,8220,2012.0,Original,mon.27.78abd,mon.27.78abd + ank.27.78abd,27.7.c.2,mon,both,27.7.c.2,mon,,,,,,,,,,,,0.0,,,,,,,,0.28,,,,0.0,,,0.0,both
