DATAFLOW,LAST UPDATE,freq,unit,waste,wst_oper,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2009,96.9,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2010,100,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2011,100,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2012,100,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2013,100,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2014,100,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2015,100,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2016,100,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2017,100,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2018,100,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2019,100,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,AT,2020,100,b
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2009,87.5,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2010,87.8,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2011,92.3,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2012,92.7,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2013,91.3,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2014,98.3,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2015,98.3,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2016,99.5,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2017,99,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2018,98.7,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2019,99.4,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BE,2020,99.4,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2009,30,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2010,41.6,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2011,39.8,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2012,44.1,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2013,41.4,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2014,64.1,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2015,60.8,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2016,52.6,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2017,65.4,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2018,59.3,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,BG,2019,50.6,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2009,18.2,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2010,27.3,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2011,38.1,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2012,44.8,e
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2013,45.3,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2014,46.6,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2015,63.8,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2016,74.3,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2017,76,
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2018,54.3,e
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2019,51.1,be
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CY,2020,51.9,e
ESTAT:TEN00062(1.0),21/03/23 23:00:00,A,PC,W150102,RCV,CZ,2009,71,
