name,year,total,threatened,threatenedScore
Belgium,2012,63,14,77.77777777777777
Belgium,2016,131,16,87.78625954198473
Belgium,2022,153,23,84.9673202614379
Denmark,2012,91,15,83.51648351648352
Denmark,2016,179,18,89.94413407821229
Denmark,2022,202,28,86.13861386138613
Estonia,2012,21,4,80.95238095238095
Estonia,2016,38,4,89.47368421052632
Estonia,2022,41,4,90.2439024390244
Finland,2012,22,4,81.81818181818181
Finland,2016,37,4,89.1891891891892
Finland,2022,40,4,90.0
France,2012,413,49,88.13559322033899
France,2016,796,54,93.21608040201005
France,2022,923,80,91.33261105092092
Germany,2012,67,15,77.61194029850746
Germany,2016,131,17,87.02290076335878
Germany,2022,152,26,82.89473684210526
Ireland,2012,179,24,86.59217877094972
Ireland,2016,416,26,93.75
Ireland,2022,456,37,91.8859649122807
Latvia,2012,22,5,77.27272727272728
Latvia,2016,41,5,87.8048780487805
Latvia,2022,44,5,88.63636363636364
Lithuania,2012,22,5,77.27272727272728
Lithuania,2016,40,5,87.5
Lithuania,2022,43,5,88.37209302325581
Netherlands,2012,83,14,83.13253012048193
Netherlands,2016,188,16,91.48936170212767
Netherlands,2022,210,23,89.04761904761905
Poland,2012,26,6,76.92307692307692
Poland,2016,47,6,87.23404255319149
Poland,2022,51,7,86.27450980392157
Portugal,2012,422,44,89.57345971563981
Portugal,2016,911,48,94.7310647639956
Portugal,2022,1024,76,92.578125
Spain,2012,487,49,89.93839835728953
Spain,2016,990,53,94.64646464646465
Spain,2022,1082,81,92.51386321626617
Sweden,2012,66,15,77.27272727272728
Sweden,2016,132,17,87.12121212121212
Sweden,2022,144,23,84.02777777777777
United Kingdom,2012,211,28,86.72985781990522
United Kingdom,2016,486,30,93.82716049382717
United Kingdom,2022,531,46,91.33709981167608
