Year,enName,speciesAcronym_x,FishStock,StockKey,SpeciesName,ICES Areas (splited with character '~'),StockSize,StockSizeDescription,StockSizeUnits,FishingPressure,FishingPressureDescription,FishingPressureUnits,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Report,AssessmentKey_x,AssessmentYear_x,fullArea,area,Area,Species_x,Belgium,China,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greenland,Guernsey,Iceland,Ireland,Isle of Man,Japan,Jersey,"Korea, Republic of",Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Russian Federation,Spain,Sweden,"Taiwan, Province of China",United Kingdom of GB,_mergeCatch,sumOffCatches,diffCatches,TAC ID,FishStockTAC,_mergeDictTAC,Reference,Species_y,TAC Zone,Level,TAC for comparison,Amendment/Original,speciesAcronym_y,_mergeTAC,StockCode,AdviceValue,AdviceType,AdviceApplicableFrom,AdviceValueUnit,AssessmentYear_y,AssessmentKey_y,AdviceKey,AdviceDOI,year,_mergeSADoff
2020.0,Herring,her,her.27.28,169124,Clupea harengus,27.3.d.28.1,153857,SSB,tonnes,0.2224,F,,0.88,0.38,40800,57100,0.32,60000,tonnes,33215,,,https://doi.org/10.17895/ices.advice.19447976.v1,16967,2022,0,27.3.d.28.1,27.3.d.28.1,her,,,21.0,12230.565,,,,0.0,,,,,,,,,21018.51,,,,,,,,,,,both,33270.075,,(HER/03D.RG),her.27.28,both,(HER/03D.RG) - 2020 - TAC - Original,Herring,Subdivision 28.1,TAC,34445,Original,her,both,her.27.28,30382,Catches,01/01/2020,t,2019.0,10404.0,2515.0,https://doi.org/10.17895/ices.advice.4749,2020.0,both
2020.0,Sole,sol,sol.27.20-24,169277,Solea solea,27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,2536,SSB,tonnes,0.206,F,,0.315,0.26,1850,2600,0.26,2600,tonnes,424,,,https://doi.org/10.17895/ices.advice.19453811.v2,16970,2022,0,27.3.a.20,27.3.a.20,sol,,,105.0,,,,,17.2557,,,,,,,,,,,,0.0,,,,,0.7969,,0.0,both,123.0526,,(SOL/3A/BCD),sol.27.20-24,both,(SOL/3A/BCD) - 2020 - TAC - Original,Common sole,3a; Union waters of Subdivisions 22-24,TAC,539,Original,sol,both,sol.27.20-24,539,Catches,01/01/2020,t,2019.0,10426.0,2536.0,https://doi.org/10.17895/ices.advice.4753,2020.0,both
2020.0,Sole,sol,sol.27.20-24,169277,Solea solea,27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,2536,SSB,tonnes,0.206,F,,0.315,0.26,1850,2600,0.26,2600,tonnes,424,,,https://doi.org/10.17895/ices.advice.19453811.v2,16970,2022,1,27.3.a.21,27.3.a.21,sol,,,127.0,,,,,3.6754,,,,,,,,,,,,,,,,,7.083,,,both,137.7584,,(SOL/3A/BCD),sol.27.20-24,both,(SOL/3A/BCD) - 2020 - TAC - Original,Common sole,3a; Union waters of Subdivisions 22-24,TAC,539,Original,sol,both,sol.27.20-24,539,Catches,01/01/2020,t,2019.0,10426.0,2536.0,https://doi.org/10.17895/ices.advice.4753,2020.0,both
2020.0,Sole,sol,sol.27.20-24,169277,Solea solea,27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,2536,SSB,tonnes,0.206,F,,0.315,0.26,1850,2600,0.26,2600,tonnes,424,,,https://doi.org/10.17895/ices.advice.19453811.v2,16970,2022,2,27.3.b.23,27.3.b.23,sol,,,10.0,,,,,,,,,,,,,,,,,,,,,,1.1364,,,both,11.1364,,(SOL/3A/BCD),sol.27.20-24,both,(SOL/3A/BCD) - 2020 - TAC - Original,Common sole,3a; Union waters of Subdivisions 22-24,TAC,539,Original,sol,both,sol.27.20-24,539,Catches,01/01/2020,t,2019.0,10426.0,2536.0,https://doi.org/10.17895/ices.advice.4753,2020.0,both
2020.0,Sole,sol,sol.27.20-24,169277,Solea solea,27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,2536,SSB,tonnes,0.206,F,,0.315,0.26,1850,2600,0.26,2600,tonnes,424,,,https://doi.org/10.17895/ices.advice.19453811.v2,16970,2022,3,27.3.c.22,27.3.c.22,sol,,,71.0,,,,,2.1651,,,,,,,,,,,,,,,,,0.0,,,both,73.1651,,(SOL/3A/BCD),sol.27.20-24,both,(SOL/3A/BCD) - 2020 - TAC - Original,Common sole,3a; Union waters of Subdivisions 22-24,TAC,539,Original,sol,both,sol.27.20-24,539,Catches,01/01/2020,t,2019.0,10426.0,2536.0,https://doi.org/10.17895/ices.advice.4753,2020.0,both
2020.0,Sole,sol,sol.27.20-24,169277,Solea solea,27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,2536,SSB,tonnes,0.206,F,,0.315,0.26,1850,2600,0.26,2600,tonnes,424,,,https://doi.org/10.17895/ices.advice.19453811.v2,16970,2022,4,27.3.d.24,27.3.d.24,sol,,,1.0,,,,,0.605,,,,,,,,,,,,,,,,,0.0,,,both,1.605,,(SOL/3A/BCD),sol.27.20-24,both,(SOL/3A/BCD) - 2020 - TAC - Original,Common sole,3a; Union waters of Subdivisions 22-24,TAC,539,Original,sol,both,sol.27.20-24,539,Catches,01/01/2020,t,2019.0,10426.0,2536.0,https://doi.org/10.17895/ices.advice.4753,2020.0,both
2020.0,Sprat,spr,spr.27.22-32,169279,Sprattus sprattus,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24 ~ 27.3.d.25 ~ 27.3.d.26 ~ 27.3.d.27 ~ 27.3.d.28.1 ~ 27.3.d.28.2 ~ 27.3.d.29 ~ 27.3.d.30 ~ 27.3.d.31 ~ 27.3.d.32,835000,SSB,tonnes,0.3687,F,,0.63,0.41,410000,570000,0.31,570000,tonnes,272000,,272000.0,https://doi.org/10.17895/ices.advice.19453856.v1,16975,2022,0,27.3.b.23,27.3.b.23,spr,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,both,0.0,-1.0,(SPR/3BCD-C),spr.27.22-32,both,(SPR/3BCD-C) - 2020 - TAC - Original,Sprat,Union waters of Subdivisions 22-32,TAC,233704.05867297947,Original,spr,both,spr.27.22-32,225786,Catches,01/01/2020,t,2019.0,12942.0,2517.0,https://doi.org/10.17895/ices.advice.4754,2020.0,both
2020.0,Sprat,spr,spr.27.22-32,169279,Sprattus sprattus,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24 ~ 27.3.d.25 ~ 27.3.d.26 ~ 27.3.d.27 ~ 27.3.d.28.1 ~ 27.3.d.28.2 ~ 27.3.d.29 ~ 27.3.d.30 ~ 27.3.d.31 ~ 27.3.d.32,835000,SSB,tonnes,0.3687,F,,0.63,0.41,410000,570000,0.31,570000,tonnes,272000,,272000.0,https://doi.org/10.17895/ices.advice.19453856.v1,16975,2022,1,27.3.c.22,27.3.c.22,spr,,,0.0,,,,,1.04,,,,,,,,,,,,,,,,,0.0,,,both,1.04,-0.9999961764705884,(SPR/3BCD-C),spr.27.22-32,both,(SPR/3BCD-C) - 2020 - TAC - Original,Sprat,Union waters of Subdivisions 22-32,TAC,233704.05867297947,Original,spr,both,spr.27.22-32,225786,Catches,01/01/2020,t,2019.0,12942.0,2517.0,https://doi.org/10.17895/ices.advice.4754,2020.0,both
2020.0,Sprat,spr,spr.27.22-32,169279,Sprattus sprattus,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24 ~ 27.3.d.25 ~ 27.3.d.26 ~ 27.3.d.27 ~ 27.3.d.28.1 ~ 27.3.d.28.2 ~ 27.3.d.29 ~ 27.3.d.30 ~ 27.3.d.31 ~ 27.3.d.32,835000,SSB,tonnes,0.3687,F,,0.63,0.41,410000,570000,0.31,570000,tonnes,272000,,272000.0,https://doi.org/10.17895/ices.advice.19453856.v1,16975,2022,2,27.3.d.24,27.3.d.24,spr,,,4.0,,,0.0,,18.4554,,,,,,,,,0.0,0.0,,,1615.507,,,,4.85,,,both,1642.8124,-0.9939602485294118,(SPR/3BCD-C),spr.27.22-32,both,(SPR/3BCD-C) - 2020 - TAC - Original,Sprat,Union waters of Subdivisions 22-32,TAC,233704.05867297947,Original,spr,both,spr.27.22-32,225786,Catches,01/01/2020,t,2019.0,12942.0,2517.0,https://doi.org/10.17895/ices.advice.4754,2020.0,both
2020.0,Sprat,spr,spr.27.22-32,169279,Sprattus sprattus,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24 ~ 27.3.d.25 ~ 27.3.d.26 ~ 27.3.d.27 ~ 27.3.d.28.1 ~ 27.3.d.28.2 ~ 27.3.d.29 ~ 27.3.d.30 ~ 27.3.d.31 ~ 27.3.d.32,835000,SSB,tonnes,0.3687,F,,0.63,0.41,410000,570000,0.31,570000,tonnes,272000,,272000.0,https://doi.org/10.17895/ices.advice.19453856.v1,16975,2022,3,27.3.d.25,27.3.d.25,spr,,,16464.0,0.0,,183.523,,5049.0411,,,,,,,,,422.55,3302.836,,,26454.856,,,,13878.1511,,,both,65754.9572,-0.7582538338235294,(SPR/3BCD-C),spr.27.22-32,both,(SPR/3BCD-C) - 2020 - TAC - Original,Sprat,Union waters of Subdivisions 22-32,TAC,233704.05867297947,Original,spr,both,spr.27.22-32,225786,Catches,01/01/2020,t,2019.0,12942.0,2517.0,https://doi.org/10.17895/ices.advice.4754,2020.0,both
