fishStock,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,Landings,SAD_landings
bss.27.4bc7ad-h,,2000,,,,,,,2407.0,
bss.27.4bc7ad-h,,2001,,,,,,,2500.0,
bss.27.4bc7ad-h,,2002,,,,,,,2622.0,
bss.27.4bc7ad-h,,2003,,,,,,,3459.0,
bss.27.4bc7ad-h,,2004,,,,,,,3731.0,
bss.27.4bc7ad-h,,2005,,,,,,,4430.0,
bss.27.4bc7ad-h,,2006,,,,,,,4377.0,
bss.27.4bc7ad-h,,2007,,,,,,,4064.0,
bss.27.4bc7ad-h,,2008,,,,,,,4107.0,
bss.27.4bc7ad-h,,2009,,,,,,,3889.0,
bss.27.4bc7ad-h,,2010,,,,,,,4562.0,
bss.27.4bc7ad-h,,2011,,,,,,,3858.0,
bss.27.4bc7ad-h,,2012,,,,,,,3987.0,
bss.27.4bc7ad-h,,2013,,6000.0,,,,,4137.0,
bss.27.4bc7ad-h,,2014,,2707.0,,,,,2682.0,
bss.27.4bc7ad-h,,2016,,541.0,,,,,1295.0,
bss.27.4bc7ad-h,,2017,,0.0,,,,,984.0,
bss.27.4bc7ad-h,,2018,,880.0,,,,,948.0,
bss.27.4bc7ad-h,,2019,,1806.0,,,,,972.0,
bss.27.4bc7ad-h,,2020,,,,,,,1042.0,
bss.27.4bc7ad-h,,2021,,2000.0,,,,,1126.0,
bss.27.4bc7ad-h,,2022,,2216.0,,,,,,
bss.27.4bc7ad-h,,2023,,2542.0,,,,,,
