fishStock,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,Landings,SAD_landings
bss.27.8ab,,2000,,,,,,,2362.0,
bss.27.8ab,,2001,,,,,,,2306.0,
bss.27.8ab,,2002,,,,,,,2392.0,
bss.27.8ab,,2003,,,,,,,2616.0,
bss.27.8ab,,2004,,,,,,,2380.0,
bss.27.8ab,,2005,,,,,,,2796.0,
bss.27.8ab,,2006,,,,,,,2875.0,
bss.27.8ab,,2007,,,,,,,2751.0,
bss.27.8ab,,2008,,,,,,,2745.0,
bss.27.8ab,,2009,,,,,,,2278.0,
bss.27.8ab,,2010,,,,,,,2229.0,
bss.27.8ab,,2011,,,,,,,2575.0,
bss.27.8ab,,2012,,,,,,,2549.0,
bss.27.8ab,,2013,,6000.0,,,,,2685.0,
bss.27.8ab,,2014,,1890.0,,,,,2991.0,
bss.27.8ab,,2015,,1890.0,,,,,2264.0,
bss.27.8ab,,2016,,2634.0,,,,,2252.0,
bss.27.8ab,,2017,,2634.0,,,,,2295.0,
bss.27.8ab,,2018,,2440.0,,,,,2338.0,
bss.27.8ab,,2019,,2495.0,,,,,2227.0,
bss.27.8ab,,2020,,2533.0,,,,,2090.0,
bss.27.8ab,,2021,,3108.0,,,,,2032.0,
bss.27.8ab,,2022,,3156.0,,,,,,
bss.27.8ab,,2023,,3398.0,,,,,,
