fishStock,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,Landings,SAD_landings
ple.27.7a,,1987,,,5000.0,,,,6220.0,
ple.27.7a,,1988,,,5000.0,,,,5005.0,
ple.27.7a,,1989,,,5800.0,,,,4372.0,
ple.27.7a,,1990,,,5100.0,,,,3275.0,
ple.27.7a,,1991,,,4500.0,,,,2554.0,
ple.27.7a,,1992,,,3800.0,,,,3267.0,
ple.27.7a,,1993,,,2800.0,,,,1996.0,
ple.27.7a,,1994,,,3100.0,,,,2066.0,
ple.27.7a,,1995,,,2800.0,,,,1874.0,
ple.27.7a,,1996,,,2450.0,,,,1707.0,
ple.27.7a,,1997,,,2100.0,,,,1871.0,
ple.27.7a,,1998,,,2400.0,,,,1765.0,
ple.27.7a,,1999,,,2400.0,,,,1600.0,
ple.27.7a,,2000,,,2400.0,,,,1371.0,
ple.27.7a,,2001,,,2000.0,,,,1473.0,
ple.27.7a,,2002,,,2400.0,,,,1623.0,
ple.27.7a,,2003,,,1675.0,,,,1559.0,
ple.27.7a,,2004,,,1340.0,,,,1143.0,
ple.27.7a,,2005,,,1608.0,,,,1281.0,
ple.27.7a,,2006,,,1608.0,,,,934.0,
ple.27.7a,,2007,,,1849.0,,,,805.0,
ple.27.7a,,2008,,,1849.0,,,,563.0,
ple.27.7a,,2009,,,1430.0,,,,457.0,
ple.27.7a,,2010,,,1630.0,,,,378.0,
ple.27.7a,,2011,,,1627.0,,,,595.0,
ple.27.7a,,2012,,,1627.0,,,,503.0,
ple.27.7a,,2013,,,1627.0,,,,303.0,
ple.27.7a,,2014,,1827.0,1220.0,,,,287.0,
ple.27.7a,,2015,,1244.0,1098.0,,,,440.0,
ple.27.7a,,2016,,1244.0,1098.0,,,,682.0,
ple.27.7a,,2017,,1493.0,1098.0,,,,586.0,
ple.27.7a,,2018,,3336.0,1793.0,,,,435.0,
ple.27.7a,,2019,,3503.0,3075.0,,,,465.0,
ple.27.7a,,2020,,5640.0,2790.0,,,,330.0,
ple.27.7a,,2021,,2846.0,2846.0,,,,276.0,
ple.27.7a,,2022,,2925.0,2747.0,,,,,
ple.27.7a,,2023,,2039.0,,,,,,
