fishStock,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,Landings,SAD_landings
san.sa.1r,,2005,104000.0,,661000.0,,,,,
san.sa.1r,,2006,238000.0,,300000.0,,,,,
san.sa.1r,,2007,109000.0,,173000.0,,,,,
san.sa.1r,,2008,239000.0,,375000.0,,,,,
san.sa.1r,,2009,309000.0,,377000.0,,,,,
san.sa.1r,,2010,301000.0,,377000.0,,,,,
san.sa.1r,,2011,312000.0,320000.0,320000.0,,,,,
san.sa.1r,,2012,46000.0,23000.0,23000.0,,,,,
san.sa.1r,,2013,210000.0,224544.0,225000.0,,,,,
san.sa.1r,,2014,99000.0,57000.0,57000.0,,,,,
san.sa.1r,,2015,163000.0,133000.0,133000.0,,,,,
san.sa.1r,,2016,15407.0,5000.0,13000.0,,,,,
san.sa.1r,,2017,242069.0,255956.0,255956.0,,,,,
san.sa.1r,,2018,131898.0,134461.0,134461.0,,,,,
san.sa.1r,,2019,86723.0,91916.0,91916.0,,,,,
san.sa.1r,,2020,108944.0,113987.0,113987.0,,,,,
san.sa.1r,,2021,16944.0,5464.0,5351.0,,,,,
san.sa.1r,,2022,,0.0,,,,,,
