fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
san.sa.2r,,2005,,,661000.0,41000,,,,,,,,
san.sa.2r,,2006,,,300000.0,35000,,,,,,,,
san.sa.2r,,2007,,,173000.0,6000,,,,,,,,
san.sa.2r,,2008,,,375000.0,13000,,,,,,,,
san.sa.2r,,2009,,,377000.0,10000,,,,,,,,
san.sa.2r,,2010,,,377000.0,32000,,,,,,,,
san.sa.2r,,2011,,34000.0,34000.0,30000,,,,,,,,
san.sa.2r,,2012,,5000.0,5000.0,8000,,,,,,,,
san.sa.2r,,2013,,17544.0,18000.0,23000,,,,,,,,
san.sa.2r,,2014,,5000.0,5000.0,8900,,,,,,,,
san.sa.2r,,2015,,29000.0,29000.0,21000,,,,,,,,
san.sa.2r,,2016,,5000.0,5000.0,9569,,,,,,,,
san.sa.2r,,2017,,175941.0,175941.0,141314,,,,,,,,
san.sa.2r,,2018,,5000.0,5000.0,20240,,,,,,,,
san.sa.2r,,2019,,5000.0,5000.0,5151,,,,,,,,
san.sa.2r,,2020,,62658.0,62658.0,70198,,,,,,,,
san.sa.2r,,2021,,5000.0,4897.0,4980,,,,,,,,
san.sa.2r,,2022,,71859.0,,,,,,,,,,
