fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
sol.27.20-24,,1987,,,850.0,722.0,,,,722.0,,722.0,,
sol.27.20-24,,1988,,,950.0,706.0,,,,706.0,,706.0,,
sol.27.20-24,,1989,,800.0,800.0,824.0,,,800.0,824.0,,824.0,,
sol.27.20-24,,1990,,600.0,500.0,1050.0,,,600.0,1050.0,,1050.0,,
sol.27.20-24,,1991,,1000.0,1000.0,0.0,,,1000.0,,,0.0,,
sol.27.20-24,,1992,,1000.0,1400.0,0.0,,,1000.0,,,0.0,,
sol.27.20-24,,1993,,1000.0,1600.0,0.0,,,1000.0,,,0.0,,
sol.27.20-24,,1994,,,2100.0,1198.0,,,,1198.0,,1198.0,,
sol.27.20-24,,1995,,,2250.0,1297.0,,,,1297.0,,1297.0,,
sol.27.20-24,,1996,,,2250.0,1059.0,,,,1059.0,,1059.0,,
sol.27.20-24,,1997,,,2250.0,814.0,,,,814.0,,814.0,,
sol.27.20-24,,1998,,,1800.0,605.0,,,,605.0,,605.0,,
sol.27.20-24,,1999,,800.0,1350.0,637.0,,,800.0,637.0,,637.0,,
sol.27.20-24,,2000,,650.0,950.0,814.0,,,650.0,645.0,169.0,814.0,,
sol.27.20-24,,2001,,700.0,700.0,478.0,,,700.0,478.0,,478.0,,
sol.27.20-24,,2002,,500.0,500.0,872.0,,,500.0,862.0,10.0,872.0,,
sol.27.20-24,,2003,,300.0,350.0,661.0,,,300.0,618.0,43.0,661.0,,
sol.27.20-24,,2004,,500.0,520.0,824.0,,,500.0,824.0,,824.0,,
sol.27.20-24,,2005,,850.0,900.0,990.0,,,850.0,990.0,,990.0,,
sol.27.20-24,,2006,,820.0,900.0,836.0,,,820.0,836.0,,836.0,,
sol.27.20-24,,2007,,740.0,900.0,633.0,,,740.0,633.0,,633.0,,
sol.27.20-24,,2008,,970.0,940.0,655.0,,,970.0,655.0,,655.0,,
sol.27.20-24,,2009,,800.0,800.0,641.0,,,800.0,641.0,,641.0,,
sol.27.20-24,,2010,,620.0,700.0,552.0,,,620.0,538.0,14.0,552.0,,
sol.27.20-24,,2011,,,840.0,560.0,,,,552.0,8.0,560.0,,missing
sol.27.20-24,,2012,,610.0,610.0,369.0,,,610.0,358.0,11.0,369.0,,
sol.27.20-24,,2013,,560.0,590.0,342.0,,,560.0,332.0,10.0,342.0,,
sol.27.20-24,,2014,,353.0,350.0,367.0,,,353.0,335.0,32.0,367.0,,
sol.27.20-24,,2015,,211.0,205.0,230.0,,,205.0,224.0,6.0,230.0,,
sol.27.20-24,,2016,,394.0,391.0,365.0,,,379.0,348.0,17.0,365.0,,
sol.27.20-24,,2017,,555.0,555.0,537.0,,,,520.0,17.0,537.0,,
sol.27.20-24,,2018,,453.0,448.0,441.0,,,,434.0,7.0,441.0,,
sol.27.20-24,,2019,,,502.0,427.0,,,,419.0,8.0,427.0,,
sol.27.20-24,,2020,,,533.0,436.0,,,,424.0,12.0,436.0,,
sol.27.20-24,,2021,,596.0,596.0,393.0,,,,387.0,6.0,393.0,,
sol.27.20-24,,2022,,723.0,715.0,0.0,,,,,,0.0,,
sol.27.20-24,,2023,,504.0,,0.0,,,,,,0.0,,
