fishStock,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,Landings,SAD_landings
sol.27.4,,1987,,,14000.0,,,,17368.0,11000.0
sol.27.4,,1988,,,14000.0,,,,21590.0,11000.0
sol.27.4,,1989,,,14000.0,,,,21805.0,14000.0
sol.27.4,,1990,,,25000.0,,,,35120.0,25000.0
sol.27.4,,1991,,,27000.0,,,,33513.0,27000.0
sol.27.4,,1992,,,25000.0,,,,29341.0,21000.0
sol.27.4,,1993,,,32000.0,,,,31491.0,29000.0
sol.27.4,,1994,,,32000.0,,,,33002.0,31000.0
sol.27.4,,1995,,,28000.0,,,,30467.0,28000.0
sol.27.4,,1997,,,18000.0,,,,14901.0,14600.0
sol.27.4,,1998,,,19100.0,,,,20868.0,18100.0
sol.27.4,,1999,,,22000.0,,,,23475.0,20300.0
sol.27.4,,2000,,,22000.0,,,,22641.0,19800.0
sol.27.4,,2001,,,19000.0,,,,19944.0,17700.0
sol.27.4,,2002,18657.0,,16000.0,,,,16945.0,14300.0
sol.27.4,,2003,19284.0,,15900.0,,,,17920.0,14600.0
sol.27.4,,2004,20938.0,,17000.0,,,,18757.0,17900.0
sol.27.4,,2005,17696.0,,18600.0,,,,16355.0,17300.0
sol.27.4,,2006,13588.0,,17700.0,,,,12594.0,11900.0
sol.27.4,,2007,15506.0,,15000.0,,,,14635.0,10800.0
sol.27.4,,2008,14616.0,,12800.0,,,,14071.0,9800.0
sol.27.4,,2009,15213.0,,14000.0,,,,13952.0,14000.0
sol.27.4,,2010,14849.0,,14100.0,,,,12603.0,14100.0
sol.27.4,,2011,13188.0,,14100.0,,,,11485.0,
sol.27.4,,2012,14130.0,,16200.0,,,,11602.0,15700.0
sol.27.4,,2013,15256.0,,14000.0,,,,13137.0,14000.0
sol.27.4,,2014,14628.0,,11900.0,,,,13060.0,11900.0
sol.27.4,,2015,14630.0,,11900.0,,,,12867.0,11400.0
sol.27.4,,2016,15332.0,12800.0,13262.0,,,,14127.0,
sol.27.4,,2017,13616.0,15300.0,16123.0,,,,12370.0,
sol.27.4,,2018,12255.0,15726.0,15694.0,,,,11199.0,
sol.27.4,,2019,10596.0,,12555.0,,,,8647.0,
sol.27.4,,2020,10515.0,17545.0,17545.0,,,,8863.0,
sol.27.4,,2021,9144.0,21361.0,21361.0,,,,8185.0,
sol.27.4,,2022,,15330.0,15330.0,,,,,
sol.27.4,,2023,,9152.0,,,,,,
