fishStock,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,Landings,SAD_landings
sol.27.7a,,1987,,,2100.0,,,,2808.0,1900.0
sol.27.7a,,1988,,,1750.0,,,,1999.0,1600.0
sol.27.7a,,1989,,,1480.0,,,,1833.0,1480.0
sol.27.7a,,1990,,,1500.0,,,,1583.0,1050.0
sol.27.7a,,1991,,,1500.0,,,,1212.0,1300.0
sol.27.7a,,1992,,,1350.0,,,,1259.0,1200.0
sol.27.7a,,1993,,,1000.0,,,,1023.0,920.0
sol.27.7a,,1994,,,1500.0,,,,1374.0,1510.0
sol.27.7a,,1995,,,1300.0,,,,1266.0,800.0
sol.27.7a,,1996,,,1000.0,,,,1002.0,800.0
sol.27.7a,,1997,,,1000.0,,,,1003.0,800.0
sol.27.7a,,1998,,,900.0,,,,911.0,850.0
sol.27.7a,,1999,,,900.0,,,,863.0,830.0
sol.27.7a,,2000,,,1080.0,,,,818.0,1080.0
sol.27.7a,,2001,,,1100.0,,,,1053.0,930.0
sol.27.7a,,2002,,,1100.0,,,,1090.0,1100.0
sol.27.7a,,2003,,,1010.0,,,,1014.0,1010.0
sol.27.7a,,2004,,,800.0,,,,709.0,790.0
sol.27.7a,,2005,,,960.0,,,,855.0,1000.0
sol.27.7a,,2006,,,960.0,,,,569.0,930.0
sol.27.7a,,2007,,,820.0,,,,492.0,0.0
sol.27.7a,,2009,,,502.0,,,,325.0,0.0
sol.27.7a,,2010,,,402.0,,,,277.0,0.0
sol.27.7a,,2011,,,390.0,,,,330.0,
sol.27.7a,,2012,,,300.0,,,,298.0,200.0
sol.27.7a,,2013,,,140.0,,,,148.0,0.0
sol.27.7a,,2014,,,95.0,,,,99.0,0.0
sol.27.7a,,2015,,,90.0,,,,76.0,0.0
sol.27.7a,,2016,,,40.0,,,,35.0,0.0
sol.27.7a,,2017,,0.0,40.0,,,,34.0,
sol.27.7a,,2018,,0.0,40.0,,,,36.0,
sol.27.7a,,2019,,414.0,414.0,,,,400.0,
sol.27.7a,,2020,,561.0,457.0,,,,404.0,
sol.27.7a,,2021,,768.0,768.0,,,,629.0,
sol.27.7a,,2022,,787.0,787.0,,,,,
sol.27.7a,,2023,,605.0,,,,,,
