fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
sol.27.7d,,1990,,3700.0,3850.0,3989.0,,,3700.0,3647.0,342.0,3989.0,nan,
sol.27.7d,,1991,,3400.0,3850.0,4719.0,,,3400.0,4351.0,368.0,4719.0,nan,
sol.27.7d,,1992,,2700.0,3500.0,4347.0,,,2700.0,4072.0,275.0,4347.0,nan,
sol.27.7d,,1993,,2800.0,3200.0,4572.0,,,2800.0,4299.0,273.0,4572.0,nan,
sol.27.7d,,1994,,3800.0,3800.0,4505.0,,,3800.0,4383.0,122.0,4505.0,nan,
sol.27.7d,,1995,,3800.0,3800.0,4702.0,,,3800.0,4420.0,282.0,4702.0,nan,
sol.27.7d,,1996,,4700.0,3500.0,4971.0,,,4700.0,4797.0,174.0,4971.0,nan,
sol.27.7d,,1997,,,5230.0,4911.0,,,,4764.0,147.0,4911.0,nan,missing
sol.27.7d,,1998,,4500.0,5230.0,3490.0,,,4500.0,3363.0,127.0,3490.0,nan,
sol.27.7d,,1999,,3800.0,4700.0,4382.0,,,3800.0,4135.0,247.0,4382.0,nan,
sol.27.7d,,2000,,3900.0,4100.0,3677.0,,,3900.0,3476.0,201.0,3677.0,nan,
sol.27.7d,,2001,,4700.0,4600.0,4342.0,,,4700.0,4025.0,317.0,4342.0,nan,
sol.27.7d,,2002,,5200.0,5200.0,5177.0,,,5200.0,4733.0,444.0,5177.0,nan,
sol.27.7d,,2003,,5400.0,5400.0,7561.0,,,5400.0,6977.0,584.0,7561.0,nan,
sol.27.7d,,2004,,5900.0,5900.0,6077.0,,,5900.0,5819.0,258.0,6077.0,nan,
sol.27.7d,,2005,,5700.0,5700.0,5092.0,,,5700.0,4748.0,344.0,5092.0,nan,
sol.27.7d,,2006,,5700.0,5720.0,5145.0,,,5700.0,4830.0,315.0,5145.0,nan,
sol.27.7d,,2007,,6440.0,6220.0,5753.0,,,6440.0,5421.0,332.0,5753.0,nan,
sol.27.7d,,2008,,6590.0,6590.0,5146.0,,,6590.0,4963.0,183.0,5146.0,nan,
sol.27.7d,,2009,,4380.0,5274.0,5115.0,,,4380.0,4828.0,287.0,5115.0,nan,
sol.27.7d,,2010,,3190.0,4219.0,4381.0,,,3190.0,4108.0,273.0,4381.0,nan,
sol.27.7d,,2011,,4840.0,4852.0,4478.0,,,4840.0,4136.0,342.0,4478.0,nan,
sol.27.7d,,2012,,5600.0,5580.0,4503.0,,,5600.0,4058.0,445.0,4503.0,nan,
,,2013,,,,,,,,,,,missing,missing
sol.27.7d,,2014,,3251.0,4838.0,4842.0,,,3251.0,4626.0,216.0,4842.0,nan,
sol.27.7d,,2015,,1931.0,3483.0,3648.0,,,1931.0,3385.0,263.0,3648.0,nan,
sol.27.7d,,2016,,2685.0,3258.0,2539.0,,,,2433.0,106.0,2539.0,nan,
sol.27.7d,,2017,,2487.0,2724.0,2246.0,,,,2090.0,156.0,2246.0,nan,
sol.27.7d,,2018,,3866.0,3405.0,2658.0,,,,2395.0,263.0,2658.0,nan,
sol.27.7d,,2019,,2571.0,2515.0,2052.0,,,,1648.0,404.0,2052.0,nan,
sol.27.7d,,2020,,2846.0,2797.0,1971.0,,,,1562.0,409.0,1971.0,nan,
sol.27.7d,,2021,,3248.0,3248.0,1909.0,,,,1561.0,348.0,1909.0,nan,
sol.27.7d,,2022,,2380.0,2380.0,0.0,,,,,,0.0,nan,
sol.27.7d,,2023,,1747.0,,0.0,,,,,,0.0,nan,
