fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
sol.27.7e,,1987,,1150.0,1150.0,1280.0,,,1150.0,1280.0,,1280.0,,
sol.27.7e,,1988,,1300.0,1300.0,1444.0,,,1300.0,1444.0,,1444.0,,
sol.27.7e,,1989,,1000.0,1000.0,1390.0,,,1000.0,1390.0,,1390.0,,
sol.27.7e,,1990,,900.0,900.0,1315.0,,,900.0,1315.0,,1315.0,,
sol.27.7e,,1991,,540.0,800.0,852.0,,,540.0,852.0,,852.0,,
sol.27.7e,,1992,,770.0,800.0,895.0,,,770.0,895.0,,895.0,,
sol.27.7e,,1993,,700.0,900.0,904.0,,,700.0,904.0,,904.0,,
sol.27.7e,,1994,,1000.0,1000.0,800.0,,,1000.0,800.0,,800.0,,
sol.27.7e,,1995,,860.0,950.0,856.0,,,860.0,856.0,,856.0,,
sol.27.7e,,1996,,680.0,700.0,833.0,,,680.0,833.0,,833.0,,
sol.27.7e,,1997,,690.0,750.0,949.0,,,690.0,949.0,,949.0,,
sol.27.7e,,1998,,670.0,670.0,880.0,,,670.0,880.0,,880.0,,
sol.27.7e,,1999,,670.0,700.0,957.0,,,670.0,957.0,,957.0,,
sol.27.7e,,2000,,640.0,660.0,914.0,,,640.0,914.0,,914.0,,
sol.27.7e,,2001,,580.0,600.0,1069.0,,,580.0,1069.0,,1069.0,,
sol.27.7e,,2002,,450.0,525.0,1106.0,,,450.0,1106.0,,1106.0,,
sol.27.7e,,2003,,,394.0,1078.0,,,,1078.0,,1078.0,,missing
sol.27.7e,,2004,,0.0,300.0,1075.0,,,0.0,1075.0,,1075.0,,
sol.27.7e,,2005,,230.0,865.0,1039.0,,,230.0,1039.0,,1039.0,,
sol.27.7e,,2006,,240.0,940.0,1022.0,,,240.0,1022.0,,1022.0,,
sol.27.7e,,2007,,350.0,900.0,1015.0,,,350.0,1015.0,,1015.0,,
sol.27.7e,,2008,,260.0,765.0,908.0,,,260.0,908.0,,908.0,,
sol.27.7e,,2009,,320.0,650.0,701.0,,,320.0,701.0,,701.0,,
sol.27.7e,,2010,,,618.0,698.0,,,,698.0,,698.0,,missing
sol.27.7e,,2011,,660.0,710.0,801.0,,,660.0,801.0,,801.0,,
sol.27.7e,,2012,,740.0,777.0,874.0,,,740.0,872.0,2.0,874.0,,
sol.27.7e,,2013,,960.0,894.0,884.0,,,960.0,883.0,1.0,884.0,,
sol.27.7e,,2014,,832.0,832.0,895.0,,,832.0,885.0,10.0,895.0,,
sol.27.7e,,2015,,851.0,851.0,828.0,,,851.0,774.0,54.0,828.0,,
sol.27.7e,,2016,,1226.0,979.0,923.0,,,1226.0,913.0,10.0,923.0,,
sol.27.7e,,2017,,1198.0,1178.0,1011.0,,,,1007.0,4.0,1011.0,,
sol.27.7e,,2018,,1239.0,1202.0,1078.0,,,,1075.0,3.0,1078.0,,
sol.27.7e,,2019,,1272.0,1242.0,1189.0,,,,1185.0,4.0,1189.0,,
sol.27.7e,,2020,,1478.0,1478.0,1220.0,,,,1219.0,1.0,1220.0,,
sol.27.7e,,2021,,1925.0,1925.0,1405.0,,,,1392.0,13.0,1405.0,,
sol.27.7e,,2022,,1810.0,1810.0,0.0,,,,,,0.0,,
sol.27.7e,,2023,,1394.0,,0.0,,,,,,0.0,,
