fishStock,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
sol.27.7fg,,1987,,1600.0,1600.0,1222.0,,,1600.0,1222.0,,1222.0,nan,
sol.27.7fg,,1988,,900.0,1100.0,1146.0,,,900.0,1146.0,,1146.0,nan,
sol.27.7fg,,1989,,1000.0,1000.0,992.0,,,1000.0,992.0,,992.0,nan,
sol.27.7fg,,1990,,1200.0,1200.0,1189.0,,,1200.0,1189.0,,1189.0,nan,
sol.27.7fg,,1991,,1100.0,1200.0,1107.0,,,1100.0,1107.0,,1107.0,nan,
sol.27.7fg,,1992,,1100.0,1200.0,981.0,,,1100.0,981.0,,981.0,nan,
sol.27.7fg,,1993,,,1100.0,928.0,,,,928.0,,928.0,nan,
sol.27.7fg,,1994,,,1100.0,1009.0,,,,1009.0,,1009.0,nan,
sol.27.7fg,,1995,,1000.0,1100.0,1157.0,,,1000.0,1157.0,,1157.0,nan,
sol.27.7fg,,1996,,800.0,1000.0,995.0,,,800.0,995.0,,995.0,nan,
sol.27.7fg,,1997,,800.0,900.0,927.0,,,800.0,927.0,,927.0,nan,
sol.27.7fg,,1998,,700.0,850.0,875.0,,,700.0,875.0,,875.0,nan,
sol.27.7fg,,1999,,810.0,960.0,1012.0,,,810.0,1012.0,,1012.0,nan,
sol.27.7fg,,2000,,1160.0,1160.0,1091.0,,,1160.0,1091.0,,1091.0,nan,
sol.27.7fg,,2001,,810.0,1020.0,1168.0,,,810.0,1168.0,,1168.0,nan,
sol.27.7fg,,2002,,1000.0,1070.0,1345.0,,,1000.0,1345.0,,1345.0,nan,
sol.27.7fg,,2003,,1240.0,1240.0,1547.0,,,1240.0,1547.0,,1547.0,nan,
sol.27.7fg,,2004,,1000.0,1050.0,1531.0,,,1000.0,1391.0,140.0,1531.0,nan,
sol.27.7fg,,2005,,840.0,1000.0,1286.0,,,840.0,1263.0,23.0,1286.0,nan,
sol.27.7fg,,2006,,880.0,950.0,1099.0,,,880.0,1058.0,41.0,1099.0,nan,
sol.27.7fg,,2007,,840.0,893.0,1088.0,,,840.0,1052.0,36.0,1088.0,nan,
sol.27.7fg,,2008,,1000.0,964.0,798.0,,,1000.0,790.0,8.0,798.0,nan,
sol.27.7fg,,2009,,940.0,993.0,802.0,,,940.0,772.0,30.0,802.0,nan,
sol.27.7fg,,2010,,920.0,993.0,923.0,,,920.0,867.0,56.0,923.0,nan,
sol.27.7fg,,2011,,,1241.0,1055.0,,,,1027.0,28.0,1055.0,nan,missing
sol.27.7fg,,2012,,1060.0,1060.0,1133.0,,,1060.0,1101.0,32.0,1133.0,nan,
sol.27.7fg,,2013,,1100.0,1100.0,1119.0,,,1100.0,1093.0,26.0,1119.0,nan,
sol.27.7fg,,2014,,920.0,1001.0,1068.0,,,920.0,1041.0,27.0,1068.0,nan,
sol.27.7fg,,2015,,652.0,851.0,848.0,,,652.0,831.0,17.0,848.0,nan,
sol.27.7fg,,2016,,760.0,779.0,863.0,,,745.0,832.0,31.0,863.0,nan,
sol.27.7fg,,2017,,806.0,845.0,843.0,,,,778.0,65.0,843.0,nan,
sol.27.7fg,,2018,,931.0,920.0,991.0,,,,850.0,141.0,991.0,nan,
sol.27.7fg,,2019,,864.0,1009.0,1213.0,,,,1068.0,145.0,1213.0,nan,
,,2020,,,,,,,,,,,missing,missing
sol.27.7fg,,2021,,1413.0,1413.0,1398.0,,,,1336.0,62.0,1398.0,nan,
sol.27.7fg,,2022,,1337.0,1337.0,0.0,,,,,,0.0,nan,
sol.27.7fg,,2023,,1338.0,,0.0,,,,,,0.0,nan,
