fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
sol.27.8ab,,1987,,,4400.0,5284.0,,,,5086.0,198.0,5284.0,,
sol.27.8ab,,1988,,3700.0,4000.0,5636.0,,,,5382.0,254.0,5636.0,,
sol.27.8ab,,1989,,4500.0,4800.0,6201.0,,,,5845.0,356.0,6201.0,,
sol.27.8ab,,1990,,5100.0,5200.0,6219.0,,,,5916.0,303.0,6219.0,,
sol.27.8ab,,1991,,4700.0,5300.0,5767.0,,,,5569.0,198.0,5767.0,,
sol.27.8ab,,1992,,5000.0,5300.0,6673.0,,,,6550.0,123.0,6673.0,,
sol.27.8ab,,1993,,,5700.0,6524.0,,,,6420.0,104.0,6524.0,,
sol.27.8ab,,1994,,,6600.0,7413.0,,,,7229.0,184.0,7413.0,,
sol.27.8ab,,1995,,5400.0,6600.0,6335.0,,,,6205.0,130.0,6335.0,,
sol.27.8ab,,1996,,5000.0,6600.0,5996.0,,,,5854.0,142.0,5996.0,,
sol.27.8ab,,1997,,3100.0,5400.0,6377.0,,,,6259.0,118.0,6377.0,,
sol.27.8ab,,1998,,7600.0,6000.0,6154.0,,,,6027.0,127.0,6154.0,,
sol.27.8ab,,1999,,5000.0,5400.0,5359.0,,,,5249.0,110.0,5359.0,,
sol.27.8ab,,2000,,5800.0,5800.0,5811.0,,,,5760.0,51.0,5811.0,,
sol.27.8ab,,2001,,5800.0,6314.0,4875.0,,,,4836.0,39.0,4875.0,,
sol.27.8ab,,2002,,,4000.0,5508.0,,,,5486.0,22.0,5508.0,,
sol.27.8ab,,2003,,,3800.0,4129.0,,,,4108.0,21.0,4129.0,,
sol.27.8ab,,2004,,2000.0,3600.0,4002.0,,,,4002.0,,4002.0,,
sol.27.8ab,,2005,,4100.0,4140.0,4539.0,,,,4539.0,,4539.0,,
sol.27.8ab,,2006,,,4060.0,4793.0,,,,4793.0,,4793.0,,missing
sol.27.8ab,,2007,,4540.0,4540.0,4363.0,,,,4363.0,,4363.0,,
sol.27.8ab,,2008,,3850.0,4582.0,4299.0,,,,4299.0,,4299.0,,
sol.27.8ab,,2009,,4430.0,4390.0,3650.0,,,,3650.0,,3650.0,,
sol.27.8ab,,2010,,4900.0,4829.0,3966.0,,,,3966.0,,3966.0,,
sol.27.8ab,,2011,,,4250.0,4632.0,,,,4632.0,,4632.0,,missing
sol.27.8ab,,2012,,4000.0,4250.0,4321.0,,,,4321.0,,4321.0,,
sol.27.8ab,,2013,,3500.0,4100.0,4235.0,,,,4235.0,,4235.0,,
sol.27.8ab,,2014,,3270.0,3800.0,3928.0,,,,3928.0,,3928.0,,
sol.27.8ab,,2015,,2407.0,3800.0,3706.0,,,,3644.0,62.0,3706.0,,
sol.27.8ab,,2016,,2393.0,3420.0,3366.0,,,,3232.0,134.0,3366.0,,
sol.27.8ab,,2017,,3107.0,3420.0,3304.0,,,,3249.0,55.0,3304.0,,
sol.27.8ab,,2018,,3725.0,3621.0,3332.0,,,,3308.0,79.0,3387.0,,
sol.27.8ab,,2019,,3967.0,3872.0,3464.0,,,,3376.0,88.0,3464.0,,
sol.27.8ab,,2020,,3768.0,3666.0,3293.0,,,,3219.0,74.0,3293.0,,
sol.27.8ab,,2021,,3483.0,3483.0,3109.0,,,,3069.0,40.0,3109.0,,
sol.27.8ab,,2022,,2233.0,2233.0,0.0,,,,,,0.0,,
sol.27.8ab,,2023,,2685.0,,0.0,,,,,,0.0,,
