fishStock,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,Landings,SAD_landings
spr.27.3a4,,1987,,0.0,137000.0,,,,46000.0,
spr.27.3a4,,1988,,80000.0,137000.0,,,,96000.0,
spr.27.3a4,,1989,,80000.0,80000.0,,,,10000.0,
spr.27.3a4,,1990,,60000.0,65000.0,,,,10000.0,
spr.27.3a4,,1991,,,105000.0,,,,126000.0,
spr.27.3a4,,1992,,,105000.0,,,,135000.0,
spr.27.3a4,,1993,,,159000.0,,,,209000.0,
spr.27.3a4,,1994,,,157000.0,,,,416000.0,
spr.27.3a4,,1995,,,218000.0,,,,413000.0,
spr.27.3a4,,1996,,,243000.0,,,,154000.0,
spr.27.3a4,,1997,,,190000.0,,,,118800.0,
spr.27.3a4,,1998,,,190000.0,,,,181400.0,
spr.27.3a4,,1999,,,275000.0,,,,214700.0,
spr.27.3a4,,2000,,,275000.0,,,,216100.0,
spr.27.3a4,,2001,,225000.0,275000.0,,,,199107.0,
spr.27.3a4,,2002,,160000.0,282000.0,,,,161703.0,
spr.27.3a4,,2003,,175000.0,307000.0,,,,193479.0,
spr.27.3a4,,2004,,171000.0,307000.0,,,,215996.0,
spr.27.3a4,,2005,,244000.0,307000.0,,,,246296.0,
spr.27.3a4,,2006,,250000.0,227000.0,,,,126507.0,
spr.27.3a4,,2007,,195000.0,227000.0,,,,99706.0,
spr.27.3a4,,2008,,170000.0,222000.0,,,,70123.0,
spr.27.3a4,,2009,,,222000.0,,,,142208.0,
spr.27.3a4,,2010,,,222000.0,,,,153706.0,
spr.27.3a4,,2011,,,222000.0,,,,144731.0,
spr.27.3a4,,2012,,8200.0,214000.0,,,,96417.0,
spr.27.3a4,,2013,,150787.0,203600.0,,,,69752.0,
spr.27.3a4,,2014,,233787.0,177280.0,,,,158584.0,
spr.27.3a4,,2015,,514144.0,383280.0,,,,303656.0,
spr.27.3a4,,2016,,135314.0,278280.0,,,,248877.0,
spr.27.3a4,,2017,,176642.0,209691.0,,,,130078.0,
spr.27.3a4,,2018,,185051.0,26624.0,,,,,
