fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
bli.27.5b67,,2003,,,3678.0,,,,,7275.0,,,,
bli.27.5b67,,2004,,,3678.0,,,,,6222.0,,,,
bli.27.5b67,,2005,,,3137.0,,,,,5481.0,,,,
bli.27.5b67,,2006,,,3137.0,,,,,5650.0,,,,
bli.27.5b67,,2007,,,2510.0,,,,,5648.0,,,,
bli.27.5b67,,2008,,,2009.0,,,,,3940.0,,,,
bli.27.5b67,,2009,,,2009.0,,,,,4121.0,,,,
bli.27.5b67,,2010,,,1732.0,,,,,4759.0,,,,
bli.27.5b67,,2011,,,1717.0,,,,,2861.0,,,,
bli.27.5b67,,2012,,,1882.0,,,,,3016.0,,,,
bli.27.5b67,,2013,,3900.0,2540.0,,,,,2675.0,,,,
bli.27.5b67,,2014,,3900.0,2540.0,,,,,2963.0,,,,
bli.27.5b67,,2015,,5046.0,5046.0,,,,,2748.0,,,,
bli.27.5b67,,2016,,5046.0,5046.0,,,,,2734.0,,,,
bli.27.5b67,,2017,,11314.0,11314.0,,,,,2673.0,,,,
bli.27.5b67,,2018,,10763.0,10763.0,,,,,3310.0,,,,
bli.27.5b67,,2019,,11778.0,11778.0,,,,,3268.0,,,,
bli.27.5b67,,2020,,11150.0,11150.0,,,,,3478.0,,,,
bli.27.5b67,,2021,,11470.0,11522.0,,,,,5285.0,,,,
bli.27.5b67,,2022,,10831.0,10859.0,,,,,,,,,
bli.27.5b67,,2023,,10952.0,,,,,,,,,,
bli.27.5b67,,2024,,10362.0,,,,,,,,,,
