fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
bss.27.8ab,,2000,,,,2362.0,,,,2362.0,,2362.0,,
bss.27.8ab,,2001,,,,2306.0,,,,2306.0,,2306.0,,
bss.27.8ab,,2002,,,,2392.0,,,,2392.0,,2392.0,,
bss.27.8ab,,2003,,,,2616.0,,,,2616.0,,2616.0,,
bss.27.8ab,,2004,,,,2380.0,,,,2380.0,,2380.0,,
bss.27.8ab,,2005,,,,2796.0,,,,2796.0,,2796.0,,
bss.27.8ab,,2006,,,,2875.0,,,,2875.0,,2875.0,,
bss.27.8ab,,2007,,,,2751.0,,,,2751.0,,2751.0,,
bss.27.8ab,,2008,,,,2745.0,,,,2745.0,,2745.0,,
bss.27.8ab,,2009,,,,2278.0,,,,2278.0,,2278.0,,
bss.27.8ab,,2010,,,,2229.0,,,,2229.0,,2229.0,,
bss.27.8ab,,2011,,,,2575.0,,,,2575.0,,2575.0,,
bss.27.8ab,,2012,,,,2549.0,,,,2549.0,,2549.0,,
bss.27.8ab,,2013,,6000.0,,2685.0,,,,2685.0,,2685.0,,
bss.27.8ab,,2014,,1890.0,,2991.0,,,,2991.0,,2991.0,,
bss.27.8ab,,2015,,1890.0,,2332.0,,,,2264.0,68.0,2332.0,,
bss.27.8ab,,2016,,2634.0,,2317.0,,,,2252.0,65.0,2317.0,,
bss.27.8ab,,2017,,2634.0,,2491.0,,,,2295.0,196.0,2491.0,,
bss.27.8ab,,2018,,2440.0,,2493.0,,,,2338.0,155.0,2493.0,,
bss.27.8ab,,2019,,2495.0,,2410.0,,,,2227.0,183.0,2410.0,,
bss.27.8ab,,2020,,2533.0,,2131.0,,,,2090.0,41.0,2131.0,,
bss.27.8ab,,2021,,3108.0,,2228.0,,,,2032.0,196.0,2228.0,,
bss.27.8ab,,2022,,3156.0,,0.0,,,,,,0.0,,
bss.27.8ab,,2023,,3398.0,,0.0,,,,,,0.0,,
