fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
cod.27.47d20,,2015,,26713.0,4171.0,7505.0,,,26713.0,4563.0,2942.0,7505.0,,
cod.27.47d20,,2016,,49259.0,4807.0,6478.0,,,40419.0,4774.0,1704.0,6478.0,,
cod.27.47d20,,2017,,47359.0,5744.0,5492.0,,,,4715.0,777.0,5492.0,,
cod.27.47d20,,2018,,53058.0,7995.0,6435.0,,,,5484.0,951.0,6435.0,,
cod.27.47d20,,2019,,28204.0,4205.0,3845.0,,,,3478.0,367.0,3845.0,,
cod.27.47d20,,2020,,13686.0,2103.0,4412.0,,,,2299.0,2113.0,4412.0,,
cod.27.47d20,,2021,,14755.0,1893.0,2680.0,,,,2017.0,663.0,2680.0,,
cod.27.47d20,,2022,,14276.0,1893.0,0.0,,,,,,0.0,,
cod.27.47d20,,2023,,26008.0,,0.0,,,,,,0.0,,
cod.27.47d20,,1987,,,,14200.0,,,,14200.0,,14200.0,,
cod.27.47d20,,1988,,,,10700.0,,,,10700.0,,10700.0,,
cod.27.47d20,,1989,,10000.0,,5500.0,,,10000.0,5500.0,,5500.0,,
cod.27.47d20,,1990,,9000.0,,2800.0,,,9000.0,2800.0,,2800.0,,
cod.27.47d20,,1991,,3000.0,,1900.0,,,3000.0,1900.0,,1900.0,,
cod.27.47d20,,1992,,5500.0,,2700.0,,,5500.0,2700.0,,2700.0,,
cod.27.47d20,,1993,,,,2400.0,,,,2400.0,,2400.0,,
cod.27.47d20,,1994,,,,2900.0,,,,2900.0,,2900.0,,
cod.27.47d20,,1995,,,,4000.0,,,,4000.0,,4000.0,,
cod.27.47d20,,1996,,,,3500.0,,,,3500.0,,3500.0,,
cod.27.47d20,,1997,,,,7043.0,,,,7043.0,,7043.0,,
cod.27.47d20,,1998,,4900.0,,8580.0,,,4900.0,8580.0,,8580.0,,
cod.27.47d20,,1999,,4000.0,,6858.0,,,4000.0,6858.0,,6858.0,,
cod.27.47d20,,2000,,2500.0,,2325.0,,,2500.0,2325.0,,2325.0,,
cod.27.47d20,,2001,,0.0,,1573.0,,,0.0,1573.0,,1573.0,,
cod.27.47d20,,2002,,0.0,,3646.0,,,0.0,3139.0,507.0,3646.0,,
cod.27.47d20,,2003,,0.0,,2344.0,,,0.0,2131.0,213.0,2344.0,,
cod.27.47d20,,2004,,0.0,,1239.0,,,0.0,1014.0,225.0,1239.0,,
cod.27.47d20,,2005,,0.0,,1537.0,,,0.0,1259.0,278.0,1537.0,,
cod.27.47d20,,2006,,0.0,,1856.0,,,0.0,1479.0,377.0,1856.0,,
cod.27.47d20,,2007,,0.0,,4233.0,,,0.0,2147.0,2086.0,4233.0,,
cod.27.47d20,,2008,,22000.0,,3303.0,,,22000.0,1629.0,1674.0,3303.0,,
cod.27.47d20,,2009,,0.0,1678.0,6400.0,,,0.0,1887.0,4513.0,6400.0,,
cod.27.47d20,,2010,,40300.0,1955.0,2051.0,,,40300.0,1708.0,343.0,2051.0,,
cod.27.47d20,,2011,,,1564.0,1942.0,,,,1319.0,623.0,1942.0,,1.0
cod.27.47d20,,2012,,31800.0,1543.0,1222.0,,,31800.0,1120.0,102.0,1222.0,,
cod.27.47d20,,2013,,25441.0,1543.0,1039.0,,,25441.0,916.0,123.0,1039.0,,
cod.27.47d20,,2014,,28809.0,1620.0,2060.0,,,28809.0,1436.0,624.0,2060.0,,
cod.27.47d20,,2015,,26713.0,1701.0,1417.0,,,26713.0,1398.0,19.0,1417.0,,
cod.27.47d20,,2016,,49259.0,1961.0,493.0,,,40419.0,421.0,72.0,493.0,,
cod.27.47d20,,2017,,47359.0,2059.0,179.0,,,,170.0,9.0,179.0,,
cod.27.47d20,,2018,,53058.0,1733.0,84.0,,,,84.0,0.0,84.0,,
cod.27.47d20,,2019,,28204.0,1715.0,36.0,,,,36.0,0.0,36.0,,
cod.27.47d20,,2020,,13686.0,858.0,32.0,,,,32.0,0.0,32.0,,
cod.27.47d20,,2021,,14755.0,772.0,38.0,,,,37.0,1.0,38.0,,
cod.27.47d20,,2022,,14276.0,772.0,0.0,,,,,,0.0,,
cod.27.47d20,,2023,,26008.0,,0.0,,,,,,0.0,,
