fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
cod.27.7a,,1987,,10300.0,15000.0,12900.0,,,,12900.0,,12900.0,,
cod.27.7a,,1988,,10100.0,15000.0,14200.0,,,,14200.0,,14200.0,,
cod.27.7a,,1989,,13400.0,15000.0,12800.0,,,,12800.0,,12800.0,,
cod.27.7a,,1990,,15300.0,15300.0,7400.0,,,,7400.0,,7400.0,,
cod.27.7a,,1991,,6000.0,10000.0,7100.0,,,,7100.0,,7100.0,,
cod.27.7a,,1992,,10000.0,10000.0,7700.0,,,,7700.0,,7700.0,,
cod.27.7a,,1993,,10200.0,11000.0,7600.0,,,,7600.0,,7600.0,,
cod.27.7a,,1994,,3700.0,6200.0,5400.0,,,,5400.0,,5400.0,,
cod.27.7a,,1995,,3900.0,5800.0,4600.0,,,,4600.0,,4600.0,,
cod.27.7a,,1996,,5400.0,6200.0,4964.0,,,,4964.0,,4964.0,,
cod.27.7a,,1997,,5900.0,6200.0,5859.0,,,,5859.0,,5859.0,,
cod.27.7a,,1998,,6200.0,7100.0,5318.0,,,,5318.0,,5318.0,,
cod.27.7a,,1999,,4900.0,5500.0,4784.0,,,,4784.0,,4784.0,,
cod.27.7a,,2000,,0.0,2100.0,1274.0,,,,1274.0,,1274.0,,
cod.27.7a,,2001,,0.0,2100.0,2252.0,,,,2252.0,,2252.0,,
cod.27.7a,,2002,,,3200.0,2695.0,,,,2695.0,,2695.0,,
cod.27.7a,,2003,,,1950.0,1285.0,,,,1285.0,,1285.0,,
cod.27.7a,,2004,,0.0,2150.0,1072.0,,,,1072.0,,1072.0,,
cod.27.7a,,2005,,0.0,2150.0,910.0,,,,910.0,,910.0,,
cod.27.7a,,2006,,0.0,1828.0,840.0,,,,840.0,,840.0,,
cod.27.7a,,2007,,0.0,1462.0,850.0,,,,702.0,148.0,850.0,,
cod.27.7a,,2008,,0.0,1199.0,723.0,,,,661.0,62.0,723.0,,
cod.27.7a,,2009,,0.0,899.0,528.0,,,,468.0,60.0,528.0,,
cod.27.7a,,2010,,0.0,674.0,841.0,,,,464.0,377.0,841.0,,
cod.27.7a,,2011,,0.0,506.0,411.0,,,,368.0,43.0,411.0,,
cod.27.7a,,2012,,0.0,380.0,856.0,,,,198.0,658.0,856.0,,
cod.27.7a,,2013,,0.0,285.0,324.0,,,,206.0,118.0,324.0,,
cod.27.7a,,2014,,0.0,228.0,362.0,,,,213.0,149.0,362.0,,
cod.27.7a,,2015,,0.0,182.0,385.0,,,,161.0,224.0,385.0,,
cod.27.7a,,2016,,0.0,146.0,142.0,,,,82.0,60.0,142.0,,
cod.27.7a,,2017,,0.0,146.0,143.0,,,,84.0,59.0,143.0,,
cod.27.7a,,2018,,1073.0,695.0,257.0,,,,215.0,42.0,257.0,,
cod.27.7a,,2019,,807.0,807.0,302.0,,,,295.0,7.0,302.0,,
cod.27.7a,,2020,,116.0,257.0,206.0,,,,181.0,25.0,206.0,,
cod.27.7a,,2021,,93.0,206.0,137.0,,,,133.0,4.0,137.0,,
cod.27.7a,,2022,,74.0,206.0,0.0,,,,,,0.0,,
cod.27.7a,,2023,,0.0,,0.0,,,,,,0.0,,
