fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
cod.27.7e-k,,1987,,6400.0,,10390.0,,,6400.0,10390.0,,10390.0,,
cod.27.7e-k,,1988,,7000.0,,17196.0,,,7000.0,17196.0,,17196.0,,
cod.27.7e-k,,1989,,8600.0,,19804.0,,,8600.0,19804.0,,19804.0,,
cod.27.7e-k,,1990,,9200.0,,12878.0,,,9200.0,12878.0,,12878.0,,
cod.27.7e-k,,1991,,4500.0,,9336.0,,,4500.0,9336.0,,9336.0,,
cod.27.7e-k,,1992,,,,9747.0,,,,9747.0,,9747.0,,1.0
cod.27.7e-k,,1993,,6500.0,17500.0,10416.0,,,6500.0,10416.0,,10416.0,,
cod.27.7e-k,,1994,,5600.0,17000.0,10620.0,,,5600.0,10620.0,,10620.0,,
cod.27.7e-k,,1995,,4700.0,17000.0,11710.0,,,4700.0,11710.0,,11710.0,,
cod.27.7e-k,,1996,,4700.0,20000.0,12681.0,,,4700.0,12681.0,,12681.0,,
cod.27.7e-k,,1997,,7400.0,20000.0,12028.0,,,7400.0,12028.0,,12028.0,,
cod.27.7e-k,,1998,,8800.0,20000.0,11418.0,,,8800.0,11418.0,,11418.0,,
cod.27.7e-k,,1999,,9200.0,19000.0,8580.0,,,9200.0,8580.0,,8580.0,,
cod.27.7e-k,,2000,,7600.0,16000.0,6539.0,,,7600.0,6539.0,,6539.0,,
cod.27.7e-k,,2001,,4300.0,10500.0,8316.0,,,4300.0,8316.0,,8316.0,,
cod.27.7e-k,,2002,,5300.0,8700.0,9239.0,,,5300.0,9239.0,,9239.0,,
cod.27.7e-k,,2003,,3800.0,,6425.0,,,3800.0,6425.0,,6425.0,,
cod.27.7e-k,,2004,,700.0,,4570.0,,,700.0,4027.0,543.0,4570.0,,
cod.27.7e-k,,2005,,5200.0,6200.0,4904.0,,,5200.0,3478.0,1426.0,4904.0,,
cod.27.7e-k,,2006,,,5580.0,6020.0,,,,3902.0,2118.0,6020.0,,1.0
cod.27.7e-k,,2007,,0.0,4743.0,6090.0,,,0.0,4842.0,1248.0,6090.0,,
cod.27.7e-k,,2008,,0.0,4316.0,4883.0,,,0.0,4577.0,306.0,4883.0,,
cod.27.7e-k,,2009,,2600.0,4023.0,5416.0,,,2600.0,4187.0,1229.0,5416.0,,
cod.27.7e-k,,2010,,,4023.0,6871.0,,,,3831.0,3040.0,6871.0,,
cod.27.7e-k,,2011,,,5379.0,10125.0,,,,6376.0,3749.0,10125.0,,
cod.27.7e-k,,2012,,10000.0,10059.0,11784.0,,,10000.0,9443.0,2341.0,11784.0,,
cod.27.7e-k,,2013,,10200.0,10200.0,7835.0,,,10200.0,7273.0,562.0,7835.0,,
cod.27.7e-k,,2014,,6848.0,6848.0,6081.0,,,6848.0,4512.0,1569.0,6081.0,,
cod.27.7e-k,,2015,,4024.0,5072.0,5511.0,,,4024.0,5028.0,483.0,5511.0,,
cod.27.7e-k,,2016,,3569.0,4565.0,4449.0,,,3569.0,3924.0,525.0,4449.0,,
cod.27.7e-k,,2017,,1447.0,2830.0,2605.0,,,1447.0,2471.0,134.0,2605.0,,
cod.27.7e-k,,2018,,3428.0,3076.0,1812.0,,,3076.0,1496.0,316.0,1812.0,,
cod.27.7e-k,,2019,,0.0,1610.0,1351.0,,,,1051.0,300.0,1351.0,,
cod.27.7e-k,,2020,,0.0,805.0,1153.0,,,,922.0,231.0,1153.0,,
cod.27.7e-k,,2021,,0.0,805.0,1360.0,,,,627.0,733.0,1360.0,,
cod.27.7e-k,,2022,,0.0,644.0,0.0,,,,,,0.0,,
cod.27.7e-k,,2023,,0.0,,0.0,,,,,,0.0,,
