fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
ghl.27.561214,,1987,,28000.0,,46622.0,,,,,,,,
ghl.27.561214,,1988,,28000.0,,51118.0,,,,,,,,
ghl.27.561214,,1989,,33000.0,,61396.0,,,,,,,,
ghl.27.561214,,1990,,,,39326.0,,,,,,,,1.0
ghl.27.561214,,1991,,40000.0,,37950.0,,,,,,,,
ghl.27.561214,,1992,,30000.0,,35487.0,,,,,,,,
ghl.27.561214,,1993,,28000.0,,41247.0,,,,,,,,
ghl.27.561214,,1994,,34000.0,,37190.0,,,,,,,,
ghl.27.561214,,1995,,32000.0,,36288.0,,,,,,,,
ghl.27.561214,,1996,,21000.0,,35932.0,,,,,,,,
ghl.27.561214,,1997,,13000.0,,30309.0,,,,,,,,
ghl.27.561214,,1998,,11000.0,,20382.0,,,,,,,,
ghl.27.561214,,1999,,11000.0,,20371.0,,,,,,,,
ghl.27.561214,,2000,,11000.0,,26644.0,,,,,,,,
ghl.27.561214,,2001,,20000.0,,27291.0,,,,,,,,
ghl.27.561214,,2002,,21000.0,,29158.0,,,,,,,,
ghl.27.561214,,2003,,23000.0,,30891.0,,,,,,,,
ghl.27.561214,,2004,,20000.0,,27102.0,,,,,,,,
ghl.27.561214,,2005,,15000.0,,24249.0,,,,,,,,
ghl.27.561214,,2006,,15000.0,,21432.0,,,,,,,,
ghl.27.561214,,2007,,15000.0,,20957.0,,,,,,,,
ghl.27.561214,,2008,,15000.0,,22169.0,,,,,,,,
ghl.27.561214,,2009,,5000.0,,27349.0,,,,,,,,
ghl.27.561214,,2010,,5000.0,,25995.0,,,,,,,,
ghl.27.561214,,2011,,5000.0,,26424.0,,,,,,,,
ghl.27.561214,,2012,,,,29309.0,,,,,,,,1.0
ghl.27.561214,,2013,,20000.0,,27045.0,,,,,,,,
ghl.27.561214,,2014,,20000.0,,21069.0,,,,,,,,
ghl.27.561214,,2015,,25000.0,,25677.0,,,,,,,,
ghl.27.561214,,2016,,22000.0,,25397.0,,,,,,,,
ghl.27.561214,,2017,,24000.0,,23466.0,,,,,,,,
ghl.27.561214,,2018,,24000.0,,27142.0,,,,,,,,
ghl.27.561214,,2019,,24150.0,,23428.0,,,,,,,,
ghl.27.561214,,2020,,21360.0,,22669.0,,,,,,,,
ghl.27.561214,,2021,,23530.0,,23802.0,,,,,,,,
ghl.27.561214,,2022,,26650.0,,,,,,,,,,
ghl.27.561214,,2023,,26710.0,,,,,,,,,,
