fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
had.27.5a,,1987,,50000.0,60000.0,,,,,,,,,
had.27.5a,,1988,,60000.0,65000.0,,,,,,,,,
had.27.5a,,1989,,60000.0,65000.0,,,,,,,,,
had.27.5a,,1990,,60000.0,65000.0,,,,,,,,,
had.27.5a,,1991,,38000.0,48000.0,,,,,,,,,
had.27.5a,,1991,,50000.0,50000.0,,,,,,,,,
had.27.5a,,1992,,60000.0,65000.0,,,,,,,,,
had.27.5a,,1993,,65000.0,65000.0,,,,,,,,,
had.27.5a,,1994,,65000.0,65000.0,,,,,,,,,
had.27.5a,,1995,,55000.0,60000.0,,,,,,,,,
had.27.5a,,1996,,40000.0,45000.0,,,,,,,,,
had.27.5a,,1997,,40000.0,45000.0,,,,,,,,,
had.27.5a,,1998,,35000.0,35000.0,,,,,,,,,
had.27.5a,,1999,,35000.0,35000.0,,,,,,,,,
had.27.5a,,2000,,31000.0,30000.0,,,,,,,,,
had.27.5a,,2001,,30000.0,41000.0,,,,,,,,,
had.27.5a,,2002,,55000.0,55000.0,,,,,,,,,
had.27.5a,,2003,,75000.0,75000.0,,,,,,,,,
had.27.5a,,2004,,97000.0,90000.0,,,,,,,,,
had.27.5a,,2005,,110000.0,105000.0,,,,,,,,,
had.27.5a,,2006,,112000.0,105000.0,,,,,,,,,
had.27.5a,,2007,,120000.0,100000.0,,,,,,,,,
had.27.5a,,2008,,83000.0,93000.0,,,,,,,,,
had.27.5a,,2009,,57000.0,63000.0,,,,,,,,,
had.27.5a,,2010,,51000.0,50000.0,,,,,,,,,
had.27.5a,,2011,,42000.0,45000.0,,,,,,,,,
had.27.5a,,2012,,32000.0,36000.0,,,,,,,,,
had.27.5a,,2013,,38000.0,38000.0,,,,,,,,,
,,2014,,,,,,,,,,,1.0,1.0
had.27.5a,,2015,,36400.0,36400.0,,,,,,,,,
had.27.5a,,2016,,34600.0,34600.0,,,,,,,,,
had.27.5a,,2017,,41390.0,41390.0,,,,,,,,,
had.27.5a,,2018,,57982.0,57982.0,,,,,,,,,
had.27.5a,,2019,,41823.0,41823.0,,,,,,,,,
had.27.5a,,2020,,,53389.0,,,,,,,,,
