fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
her.27.1-24a514a,,1987,,150000.0,,127306.0,,,,,,,,
her.27.1-24a514a,,1988,,,,135301.0,,,,,,,,1.0
her.27.1-24a514a,,1989,,100000.0,,103830.0,,,,,,,,
her.27.1-24a514a,,1990,,80000.0,,86411.0,,,,,,,,
her.27.1-24a514a,,1991,,0.0,,84683.0,,,,,,,,
her.27.1-24a514a,,1992,,0.0,,104448.0,,,,,,,,
her.27.1-24a514a,,1993,,119000.0,,232457.0,,,,,,,,
her.27.1-24a514a,,1994,,334000.0,,479228.0,,,,,,,,
her.27.1-24a514a,,1995,,513000.0,,905501.0,,,,,,,,
her.27.1-24a514a,,1996,,,,1220283.0,,,,,,,,
her.27.1-24a514a,,1997,,,,1426507.0,,,,,,,,
her.27.1-24a514a,,1998,,,,1223131.0,,,,,,,,
her.27.1-24a514a,,1999,,1263000.0,,1235433.0,,,,,,,,
her.27.1-24a514a,,2000,,1500000.0,,1207201.0,,,,,,,,
her.27.1-24a514a,,2001,,753000.0,,766136.0,,,,,,,,
her.27.1-24a514a,,2002,,853000.0,,807795.0,,,,,,,,
her.27.1-24a514a,,2003,,710000.0,,789510.0,,,,,,,,
her.27.1-24a514a,,2004,,825000.0,,794066.0,,,,,,,,
her.27.1-24a514a,,2005,,890000.0,,1003243.0,,,,,,,,
her.27.1-24a514a,,2006,,732000.0,,968958.0,,,,,,,,
her.27.1-24a514a,,2007,,1280000.0,,1266993.0,,,,,,,,
her.27.1-24a514a,,2008,,1518000.0,,1545656.0,,,,,,,,
her.27.1-24a514a,,2009,,1643000.0,,1687371.0,,,,,,,,
her.27.1-24a514a,,2010,,1483000.0,,1457015.0,,,,,,,,
her.27.1-24a514a,,2011,,,,992997.0,,,,,,,,1.0
her.27.1-24a514a,,2012,,833000.0,,826000.0,,,,,,,,
her.27.1-24a514a,,2013,,619000.0,,684743.0,,,,,,,,
her.27.1-24a514a,,2014,,418487.0,,461306.0,,,,,,,,
her.27.1-24a514a,,2015,,283013.0,,328740.0,,,,,,,,
her.27.1-24a514a,,2016,,316876.0,,383174.0,,,,,,,,
her.27.1-24a514a,,2017,,437364.0,,721566.0,,,,,,,,
her.27.1-24a514a,,2018,,384197.0,,592899.0,,,,,,,,
her.27.1-24a514a,,2019,,588562.0,,777165.0,,,,,,,,
her.27.1-24a514a,,2020,,525594.0,,720937.0,,,,,,,,
her.27.1-24a514a,,2021,,651033.0,,851813.0,,,,,,,,
her.27.1-24a514a,,2022,,598588.0,,,,,,,,,,
her.27.1-24a514a,,2023,,511171.0,,,,,,,,,,
