fish,Year,ICES advice,SAD,Agreed TAC Division 3.a,Agreed TAC subdivisions 22–24,ICES estimated catch,,,,missingSAD
her.27.20-24,1987,Reduction in F,224000.0,218 000,,102 000,59 000,14 000,175 000,
her.27.20-24,1988,No increase in F,196000.0,218 000,,99 000,129 000,23 000,251 000,
her.27.20-24,1989,TAC,174000.0,218 000,,95 000,71 000,20 000,186 000,
her.27.20-24,1990,TAC,131000.0,185 000,,78 000,118 000,8000,204 000,
her.27.20-24,1991,TAC,180000.0,155 000,,70 000,112 000,10 000,192 000,
her.27.20-24,1992,TAC,180000.0,174 000,,85 000,101 000,9000,195 000,
her.27.20-24,1993,Increased yield from reduction in F; reduction in juvenile catches,188000.0,210 000,,81 000,95 000,10 000,186 000,
her.27.20-24,1994,TAC,,191 000,,66 000,92 000,14 000,172 000,
her.27.20-24,1995,"If required, TAC not exceeding recent catches",,183 000,,74 000,80 000,10 000,164 000,
her.27.20-24,1996,"If required, TAC not exceeding recent catches",,163 000,,58 000,71 000,1000,130 000,
her.27.20-24,1997,"3.a: managed together with autumn spawners 22–24: if required, TAC not exceeding recent catches",,100 000,,68 000,55 000,1000,124 000,
her.27.20-24,1998,Should be managed in accordance with NSAS,,97 000,,51 000,53 000,8000,112 000,
her.27.20-24,1999,"3.a: managed together with autumn spawners 22–24: if required, TAC not exceeding recent catches",,99 000,,50 000,43 000,5000,98 000,
her.27.20-24,2000,"3.a: managed together with autumn spawners 22–24: if required, TAC not exceeding recent catches",,101000,,54000,57000,7000,118000,
her.27.20-24,2001,"3.a: managed together with autumn spawners 22–24: if required, TAC not exceeding recent catches",,101000,,64000,42000,6000,112000,
her.27.20-24,2002,"3.a: managed together with autumn spawners 22–24: if required, TAC not exceeding recent catches",,101000,,53000,47000,7000,107000,
her.27.20-24,2003,Reduce F,80000.0,101 000,,40 000,36 000,2000,78 000,
her.27.20-24,2004,Separate management regime; reduce F,92000.0,91 000,,42 000,28 000,7000,77 000,
her.27.20-24,2005,Separate management regime; status quo F,95000.0,120 000,,44 000,38 000,7000,89 000,
her.27.20-24,2006,Separate management regime; status quo F,95000.0,102 000,47 500,42 000,36 000,11 000,89 000,
her.27.20-24,2007,Separate management regime; status quo F,99000.0,69 000,49 500,40 000,28 000,1000,69 000,
her.27.20-24,2008,Separate management regime; reduce F 20% towards F0.1,71000.0,51 700,45 000,44 000,25 000,0,69 000,
her.27.20-24,2009,Separate management regime. Reduce F to F = 0.25,32800.0,37 700,27 200,31 000,32 000,4000,67 000,
her.27.20-24,2010,Separate management regime; reduce F to F = 0.25,39800.0,33 900,22 700,18 000,24 000,1000,42 000,
