fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
her.27.3a47d,,1987,,610000.0,600000.0,792000.0,,,,625000625000.0,,,,
her.27.3a47d,,1988,,515000.0,530000.0,888000.0,,,,710000710000.0,,,,
her.27.3a47d,,1989,,514000.0,514000.0,787000.0,,,,669000717000.0,,,,
her.27.3a47d,,1990,,403000.0,415000.0,646000.0,,,,523000578000.0,,,,
her.27.3a47d,,1991,,423000406000.0,420000430000.0,657000716000.0,,,,5.37000588000518e+23,,,,
,,1992,,,,,,,,,,,1.0,1.0
her.27.3a47d,,1993,,340000.0,430000.0,671000.0,,,,495000540000.0,,,,
her.27.3a47d,,1994,,346000429000.0,440000440000.0,571000579000.0,,,,4.6300049800051e+23,,,,
,,1995,,,,,,,,,,,1.0,1.0
her.27.3a47d,,1996,,156000159000.0,156000159000.0,275000264000.0,,,,2.07000233000175e+23,,,,
,,1997,,,,,,,,,,,1.0,1.0
her.27.3a47d,,1998,,254000.0,254000.0,392000.0,,,,268000338000.0,,,,
her.27.3a47d,,1999,,265000.0,265000.0,363000.0,,,,290000333000.0,,,,
her.27.3a47d,,2000,,265000.0,265000.0,388000.0,,,,284000346000.0,,,,
her.27.3a47d,,2001,,,265000.0,363000.0,,,,296000323000.0,,,,
her.27.3a47d,,2002,,,265000.0,372000.0,,,,304000353000.0,,,,
her.27.3a47d,,2003,,,400000.0,480000.0,,,,414000450000.0,,,,
her.27.3a47d,,2004,,,460000.0,567000.0,,,,484000550000.0,,,,
her.27.3a47d,,2005,,,535000.0,664000.0,,,,568000639000.0,,,,
her.27.3a47d,,2006,,,455000.0,515000.0,,,,490000511000.0,,,,
her.27.3a47d,,2007,,,341000.0,407000.0,,,,361000388000.0,,,,
her.27.3a47d,,2008,,,201000.0,258000.0,,,,228000245000.0,,,,
her.27.3a47d,,2009,,,171000.0,168000.0,,,,167000166000.0,,,,
her.27.3a47d,,2010,,,164000.0,188000.0,,,,175000175000.0,,,,
her.27.3a47d,,2011,,,200000.0,226000.0,,,,218000218000.0,,,,
her.27.3a47d,,2012,,,405000.0,435000.0,,,,425000425000.0,,,,
her.27.3a47d,,2013,,,478000.0,511000.0,,,,498000498000.0,,,,
her.27.3a47d,,2014,,,470000.0,517000.0,,,,504000508000.0,,,,
her.27.3a47d,,2015,,,445000518000.0,494000563600.0,,,,4.8000048200055966e+23,,,,
,,2016,,,,,,,,,,,1.0,
her.27.3a47d,,2017,,458926.0,481608.0,498662.0,,,,491693491693.0,,,,
,,2018,,,,,,,,,,,1.0,
,,2019,,,,,,,,,,,1.0,
her.27.3a47d,,2020,,431062.0,385008.0,426928.0,,,,424799427321.0,,,,
her.27.3a47d,,2021,,365792.0,356357.0,365351.0,,,,364453364616.0,,,,
her.27.3a47d,,2022,,532183.0,427628.0,,,,,,,,,
her.27.3a47d,,2023,,414886.0,,,,,,,,,,
