fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
her.27.5a,,1984,,50000.0,,50304.0,,,,50304.0,,50304.0,,
her.27.5a,,1985,,50000.0,,49368.0,,,,49368.0,,49368.0,,
her.27.5a,,1986,,65000.0,,65500.0,,,,65500.0,,65500.0,,
her.27.5a,,1987,,70000.0,72900.0,75439.0,,,,75439.0,,75439.0,,
her.27.5a,,1988,,,90000.0,92828.0,,,,92828.0,,92828.0,,
,,1989,,,,,,,,,,,1.0,
,,1990,,,,,,,,,,,1.0,
her.27.5a,,1991,,79000.0,110000.0,109538.0,,,,98538.0,11000.0,109538.0,,
her.27.5a,,1992,,86000.0,110000.0,108453.0,,,,106653.0,1800.0,108453.0,,
her.27.5a,,1993,,110000.0,110000.0,102696.0,,,,101496.0,1200.0,102696.0,,
her.27.5a,,1994,,83000.0,130000.0,133994.0,,,,131994.0,2000.0,133994.0,,
her.27.5a,,1995,,120000.0,110000.0,125863.0,,,,124963.0,900.0,125863.0,,
her.27.5a,,1996,,97000.0,110000.0,95882.0,,,,95882.0,,95882.0,,
her.27.5a,,1997,,90000.0,100000.0,64931.0,,,,64931.0,,64931.0,,
her.27.5a,,1998,,90000.0,90000.0,87238.0,,,,87238.0,,87238.0,,
her.27.5a,,1999,,100000.0,100000.0,92896.0,,,,92896.0,,92896.0,,
her.27.5a,,2000,,110000.0,110000.0,100332.0,,,,100332.0,,100332.0,,
her.27.5a,,2001,,125000.0,125000.0,95675.0,,,,95675.0,,95675.0,,
her.27.5a,,2002,,113000.0,105000.0,96208.0,,,,96208.0,,96208.0,,
her.27.5a,,2003,,113000.0,110000.0,125717.0,,,,125717.0,,125717.0,,
her.27.5a,,2004,,106000.0,110000.0,114237.0,,,,114237.0,,114237.0,,
her.27.5a,,2005,,110000.0,110000.0,103043.0,,,,103043.0,,103043.0,,
her.27.5a,,2006,,110000.0,130000.0,135303.0,,,,135303.0,,135303.0,,
her.27.5a,,2007,,117000.0,150000.0,158917.0,,,,158917.0,,158917.0,,
her.27.5a,,2008,,131000.0,130000.0,151780.0,,,,151780.0,,151780.0,,
her.27.5a,,2009,,75000.0,40000.0,46332.0,,,,46332.0,,46332.0,,
her.27.5a,,2010,,40000.0,40000.0,43533.0,,,,43533.0,,43533.0,,
her.27.5a,,2011,,40000.0,45000.0,49446.0,,,,49446.0,,49446.0,,
her.27.5a,,2012,,67000.0,68500.0,71976.0,,,,71976.0,,71976.0,,
her.27.5a,,2013,,87000.0,87000.0,72058.0,,,,72058.0,,72058.0,,
her.27.5a,,2014,,83000.0,83000.0,94975.0,,,,94975.0,,94975.0,,
her.27.5a,,2015,,71000.0,71000.0,69729.0,,,,69729.0,,69729.0,,
her.27.5a,,2016,,63000.0,63000.0,60403.0,,,,60403.0,,60403.0,,
her.27.5a,,2017,,38712.0,39000.0,35034.0,,,,35034.0,,35034.0,,
her.27.5a,,2018,,35186.0,35186.0,40683.0,,,,40683.0,,40683.0,,
her.27.5a,,2019,,34572.0,34572.0,30038.0,,,,30038.0,,30038.0,,
her.27.5a,,2020,,,35490.0,36100.0,,,,36100.0,,36100.0,,1.0
her.27.5a,,2021,,72239.0,72239.0,70084.0,,,,70084.0,,70084.0,,
her.27.5a,,2022,,66195.0,,0.0,,,,,,0.0,,
