fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
her.27.nirs,,1987,,4300.0,4500.0,5823.0,,,,,,,,
her.27.nirs,,1988,,10500.0,10500.0,10172.0,,,,,,,,
her.27.nirs,,1989,,5500.0,6000.0,4962.0,,,,,,,,
her.27.nirs,,1990,,5700.0,7000.0,6312.0,,,,,,,,
her.27.nirs,,1991,,5600.0,6000.0,4398.0,,,,,,,,
her.27.nirs,,1992,,6600.0,7000.0,5270.0,,,,,,,,
her.27.nirs,,1993,,,7000.0,4408.0,,,,,,,,1.0
her.27.nirs,,1994,,5300.0,7000.0,4828.0,,,,,,,,
her.27.nirs,,1995,,5100.0,7000.0,5076.0,,,,,,,,
her.27.nirs,,1996,,5000.0,7000.0,5302.0,,,,,,,,
her.27.nirs,,1997,,,9000.0,6651.0,,,,,,,,1.0
her.27.nirs,,1998,,6500.0,9000.0,4905.0,,,,,,,,
her.27.nirs,,1999,,4900.0,6600.0,4127.0,,,,,,,,
her.27.nirs,,2000,,3900.0,5400.0,2002.0,,,,,,,,
her.27.nirs,,2001,,5100.0,6900.0,5461.0,,,,,,,,
her.27.nirs,,2002,,4800.0,4800.0,2393.0,,,,,,,,
her.27.nirs,,2003,,4800.0,4800.0,2399.0,,,,,,,,
her.27.nirs,,2004,,4800.0,4800.0,2531.0,,,,,,,,
her.27.nirs,,2005,,4800.0,4800.0,4387.0,,,,,,,,
her.27.nirs,,2006,,4800.0,4800.0,4402.0,,,,,,,,
her.27.nirs,,2007,,4800.0,4800.0,4629.0,,,,,,,,
her.27.nirs,,2008,,4400.0,4800.0,4895.0,,,,,,,,
her.27.nirs,,2009,,4400.0,4800.0,4594.0,,,,,,,,
her.27.nirs,,2010,,4800.0,4800.0,4894.0,,,,,,,,
her.27.nirs,,2011,,4800.0,5200.0,5202.0,,,,,,,,
,,2012,,,,,,,,,,,1.0,1.0
her.27.nirs,,2013,,5100.0,4993.0,4828.0,,,,,,,,
her.27.nirs,,2014,,5251.0,5251.0,5208.0,,,,,,,,
her.27.nirs,,2015,,4854.0,4854.0,4891.0,,,,,,,,
her.27.nirs,,2016,,4575.0,4575.0,4327.0,,,,,,,,
her.27.nirs,,2017,,4127.0,4127.0,3896.0,,,,,,,,
her.27.nirs,,2018,,7016.0,7016.0,6804.0,,,,,,,,
her.27.nirs,,2019,,6896.0,6896.0,6377.0,,,,,,,,
