fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
hke.27.3a46-8abd,,1987,,,63500.0,63369.0,,,,63369.0,,63369.0,,
hke.27.3a46-8abd,,1988,,54000.0,66200.0,64823.0,,,54000.0,64823.0,,64823.0,,
hke.27.3a46-8abd,,1989,,54000.0,59700.0,66473.0,,,54000.0,66473.0,,66473.0,,
hke.27.3a46-8abd,,1990,,59000.0,65100.0,59954.0,,,59000.0,59954.0,,59954.0,,
hke.27.3a46-8abd,,1991,,59000.0,67000.0,58129.0,,,59000.0,58129.0,,58129.0,,
hke.27.3a46-8abd,,1992,,61500.0,69000.0,56617.0,,,61500.0,56617.0,,56617.0,,
hke.27.3a46-8abd,,1993,,,71500.0,52144.0,,,,52144.0,,52144.0,,
hke.27.3a46-8abd,,1994,,,60000.0,51259.0,,,,51259.0,,51259.0,,
hke.27.3a46-8abd,,1995,,31000.0,55100.0,57621.0,,,31000.0,57621.0,,57621.0,,
hke.27.3a46-8abd,,1996,,39000.0,51100.0,47210.0,,,39000.0,47210.0,,47210.0,,
hke.27.3a46-8abd,,1997,,54000.0,60100.0,42465.0,,,54000.0,42465.0,,42465.0,,
hke.27.3a46-8abd,,1998,,45000.0,59100.0,35060.0,,,45000.0,35060.0,,35060.0,,
hke.27.3a46-8abd,,1999,,,55100.0,39814.0,,,,39814.0,,39814.0,,
hke.27.3a46-8abd,,2000,,,42100.0,42026.0,,,,42026.0,,42026.0,,
hke.27.3a46-8abd,,2001,,,22600.0,36675.0,,,,36675.0,,36675.0,,
hke.27.3a46-8abd,,2002,,,27000.0,40105.0,,,,40105.0,,40105.0,,
hke.27.3a46-8abd,,2003,,,30000.0,44555.0,,,,43162.0,1393.0,44555.0,,
hke.27.3a46-8abd,,2004,,,39100.0,49029.0,,,,46416.0,2614.0,49030.0,,
hke.27.3a46-8abd,,2005,,33000.0,42600.0,51133.0,,,33000.0,46550.0,4583.0,51133.0,,
hke.27.3a46-8abd,,2006,,44000.0,43900.0,42691.0,,,44000.0,41469.0,1222.0,42691.0,,
hke.27.3a46-8abd,,2007,,50500.0,52700.0,47258.0,,,50500.0,45093.0,2165.0,47258.0,,
,,2008,,,,,,,,,,,1.0,1.0
hke.27.3a46-8abd,,2009,,51500.0,51500.0,69814.0,,,51500.0,58781.0,11033.0,69814.0,,
hke.27.3a46-8abd,,2010,,55200.0,55105.0,84878.0,,,55200.0,72760.0,12118.0,84878.0,,
hke.27.3a46-8abd,,2011,,50600.0,55105.0,101443.0,,,50600.0,87540.0,13903.0,101443.0,,
hke.27.3a46-8abd,,2012,,51900.0,55105.0,100547.0,,,51900.0,85677.0,14870.0,100547.0,,
hke.27.3a46-8abd,,2013,,45400.0,69440.0,101598.0,,,45400.0,86148.0,15450.0,101598.0,,
hke.27.3a46-8abd,,2014,,81846.0,81846.0,99772.0,,,81846.0,89940.0,9832.0,99772.0,,
,,2015,,,,,,,,,,,1.0,1.0
hke.27.3a46-8abd,,2016,,109592.0,108764.0,118662.0,,,96651.0,107546.0,11115.0,118661.0,,
hke.27.3a46-8abd,,2017,,123777.0,119765.0,111771.0,,,,104671.0,7100.0,111771.0,,
hke.27.3a46-8abd,,2018,,115335.0,111785.0,96733.0,,,,89695.0,7038.0,96733.0,,
hke.27.3a46-8abd,,2019,,142240.0,141160.0,87238.0,,,,82291.0,4940.0,87231.0,,
hke.27.3a46-8abd,,2020,,104763.0,112903.0,76534.0,,,,72579.0,3955.0,76534.0,,
hke.27.3a46-8abd,,2021,,102888.0,98658.0,71142.0,,,,68058.0,3085.0,71143.0,,
hke.27.3a46-8abd,,2022,,75052.0,78926.0,0.0,,,,,,0.0,,
hke.27.3a46-8abd,,2023,,83130.0,,0.0,,,,,,0.0,,
