fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
hom.27.2a4a5b6a7a-ce-k8,,1987,,,155000.0,187338.0,,,,187338.0,,187338.0,,
hom.27.2a4a5b6a7a-ce-k8,,1988,,102000.0,169000.0,214729.0,,,,210989.0,3740.0,214729.0,,
hom.27.2a4a5b6a7a-ce-k8,,1989,,100000.0,153000.0,296037.0,,,,294887.0,1150.0,296037.0,,
hom.27.2a4a5b6a7a-ce-k8,,1990,,,203000.0,398651.0,,,,388721.0,9930.0,398651.0,,
hom.27.2a4a5b6a7a-ce-k8,,1991,,,230000.0,290063.0,,,,284623.0,5440.0,290063.0,,
hom.27.2a4a5b6a7a-ce-k8,,1992,,,250000.0,397379.0,,,,395559.0,1820.0,397379.0,,
hom.27.2a4a5b6a7a-ce-k8,,1993,,,250000.0,454084.0,,,,445484.0,8600.0,454084.0,,
hom.27.2a4a5b6a7a-ce-k8,,1994,,,300000.0,412903.0,,,,408968.0,3935.0,412903.0,,
hom.27.2a4a5b6a7a-ce-k8,,1995,,,300000.0,540657.0,,,,538611.0,2046.0,540657.0,,
hom.27.2a4a5b6a7a-ce-k8,,1996,,,300000.0,420739.0,,,,403869.0,16870.0,420739.0,,
hom.27.2a4a5b6a7a-ce-k8,,1997,,173000.0,300000.0,470410.0,,,,470252.0,158.0,470410.0,,
hom.27.2a4a5b6a7a-ce-k8,,1998,,150000.0,320000.0,382324.0,,,,381411.0,913.0,382324.0,,
hom.27.2a4a5b6a7a-ce-k8,,1999,,200000.0,265000.0,299431.0,,,,299431.0,0.0,299431.0,,
hom.27.2a4a5b6a7a-ce-k8,,2000,,200000.0,240000.0,202732.0,,,,202350.0,382.0,202732.0,,
hom.27.2a4a5b6a7a-ce-k8,,2001,,224000.0,233000.0,229081.0,,,,228827.0,254.0,229081.0,,
hom.27.2a4a5b6a7a-ce-k8,,2002,,98000.0,150000.0,196120.0,,,,195813.0,307.0,196120.0,,
hom.27.2a4a5b6a7a-ce-k8,,2003,,113000.0,137000.0,191856.0,,,,191014.0,842.0,191856.0,,
hom.27.2a4a5b6a7a-ce-k8,,2004,,130000.0,137000.0,159742.0,,,,157386.0,2356.0,159742.0,,
hom.27.2a4a5b6a7a-ce-k8,,2005,,150000.0,137000.0,182001.0,,,,180199.0,1802.0,182001.0,,
hom.27.2a4a5b6a7a-ce-k8,,2006,,150000.0,137000.0,155827.0,,,,154474.0,1353.0,155827.0,,
,,2007,,,,,,,,,,,1.0,1.0
hom.27.2a4a5b6a7a-ce-k8,,2008,,180000.0,170000.0,143349.0,,,,142875.0,474.0,143349.0,,
hom.27.2a4a5b6a7a-ce-k8,,2009,,180000.0,170000.0,183782.0,,,,183335.0,447.0,183782.0,,
hom.27.2a4a5b6a7a-ce-k8,,2010,,180000.0,183191.0,203112.0,,,,202680.0,432.0,203112.0,,
hom.27.2a4a5b6a7a-ce-k8,,2011,,,195130.0,193698.0,,,,193268.0,430.0,193698.0,,1.0
hom.27.2a4a5b6a7a-ce-k8,,2012,,211000.0,183000.0,169858.0,,,,166579.0,3279.0,169858.0,,
hom.27.2a4a5b6a7a-ce-k8,,2013,,126000.0,181000.0,165258.0,,,,160676.0,4582.0,165258.0,,
hom.27.2a4a5b6a7a-ce-k8,,2014,,110546.0,133220.0,136360.0,,,,134463.0,1896.0,136359.0,,
hom.27.2a4a5b6a7a-ce-k8,,2015,,99304.0,97603.0,98419.0,,,,94192.0,4228.0,98420.0,,
hom.27.2a4a5b6a7a-ce-k8,,2016,,126103.0,124403.0,98811.0,,,,94394.0,4417.0,98811.0,,
hom.27.2a4a5b6a7a-ce-k8,,2017,,69186.0,95500.0,82961.0,,,,79033.0,3928.0,82961.0,,
hom.27.2a4a5b6a7a-ce-k8,,2018,,117070.0,115470.0,101682.0,,,,99072.0,2609.0,101681.0,,
hom.27.2a4a5b6a7a-ce-k8,,2019,,145237.0,136376.0,124947.0,,,,121806.0,3141.0,124947.0,,
hom.27.2a4a5b6a7a-ce-k8,,2020,,83954.0,81796.0,76422.0,,,,73682.0,2740.0,76422.0,,
hom.27.2a4a5b6a7a-ce-k8,,2021,,81376.0,81375.0,81557.0,,,,79916.0,1641.0,81557.0,,
hom.27.2a4a5b6a7a-ce-k8,,2022,,71138.0,71138.0,0.0,,,,,,0.0,,
hom.27.2a4a5b6a7a-ce-k8,,2023,,0.0,,0.0,,,,,,0.0,,
