fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
ldb.27.8c9a,,1987,,,13000.0,2518.0,,,,2185.0,333.0,2518.0,,
ldb.27.8c9a,,1988,,,13000.0,3403.0,,,,3040.0,363.0,3403.0,,
ldb.27.8c9a,,1989,,,13000.0,3751.0,,,,3343.0,408.0,3751.0,,
ldb.27.8c9a,,1990,,,13000.0,3331.0,,,,2922.0,409.0,3331.0,,
ldb.27.8c9a,,1991,,,14300.0,2743.0,,,,2296.0,447.0,2743.0,,
ldb.27.8c9a,,1992,,,14300.0,2869.0,,,,2432.0,437.0,2869.0,,
ldb.27.8c9a,,1993,,,8000.0,2205.0,,,,1767.0,438.0,2205.0,,
ldb.27.8c9a,,1994,,,6000.0,2399.0,,,,1882.0,517.0,2399.0,,
ldb.27.8c9a,,1995,,,6000.0,2276.0,,,,1870.0,406.0,2276.0,,
ldb.27.8c9a,,1996,,,6000.0,1794.0,,,,1426.0,368.0,1794.0,,
ldb.27.8c9a,,1997,,,6000.0,1560.0,,,,1252.0,308.0,1560.0,,
ldb.27.8c9a,,1998,,900.0,6000.0,1947.0,,,900.0,1569.0,378.0,1947.0,,
ldb.27.8c9a,,1999,,1000.0,6000.0,1785.0,,,1000.0,1468.0,317.0,1785.0,,
ldb.27.8c9a,,2000,,1500.0,5000.0,1667.0,,,1500.0,1294.0,373.0,1667.0,,
ldb.27.8c9a,,2001,,1610.0,5000.0,1395.0,,,1610.0,1105.0,290.0,1395.0,,
ldb.27.8c9a,,2002,,1550.0,4000.0,1145.0,,,1550.0,837.0,308.0,1145.0,,
ldb.27.8c9a,,2003,,1550.0,2400.0,1200.0,,,1550.0,1009.0,191.0,1200.0,,
ldb.27.8c9a,,2004,,1380.0,1336.0,1503.0,,,1380.0,1155.0,348.0,1503.0,,
ldb.27.8c9a,,2005,,1090.0,1336.0,1505.0,,,1090.0,1130.0,375.0,1505.0,,
ldb.27.8c9a,,2006,,1200.0,1269.0,1637.0,,,1200.0,1302.0,335.0,1637.0,,
ldb.27.8c9a,,2007,,1440.0,1440.0,1551.0,,,1440.0,1259.0,292.0,1551.0,,
ldb.27.8c9a,,2008,,1430.0,1430.0,1315.0,,,1430.0,1113.0,202.0,1315.0,,
ldb.27.8c9a,,2009,,1430.0,1430.0,1497.0,,,1430.0,1218.0,279.0,1497.0,,
ldb.27.8c9a,,2010,,900.0,1287.0,1646.0,,,900.0,1381.0,265.0,1646.0,,
ldb.27.8c9a,,2011,,780.0,1094.0,1699.0,,,890.0,1430.0,269.0,1699.0,,
ldb.27.8c9a,,2012,,760.0,1214.0,1583.0,,,860.0,1214.0,369.0,1583.0,,
ldb.27.8c9a,,2013,,780.0,1214.0,1659.0,,,890.0,1163.0,496.0,1659.0,,
ldb.27.8c9a,,2014,,1957.0,2257.0,2319.0,,,2257.0,1531.0,788.0,2319.0,,
ldb.27.8c9a,,2015,,821.0,1377.0,2021.0,,,1013.0,1424.0,597.0,2021.0,,
ldb.27.8c9a,,2016,,1072.0,1363.0,1654.0,,,1259.0,1322.0,332.0,1654.0,,
ldb.27.8c9a,,2017,,1197.0,1159.0,1418.0,,,,1172.0,246.0,1418.0,,
ldb.27.8c9a,,2018,,1399.0,1387.0,1221.0,,,,1129.0,92.0,1221.0,,
ldb.27.8c9a,,2019,,1633.0,1872.0,1182.0,,,,981.0,201.0,1182.0,,
ldb.27.8c9a,,2020,,1885.0,2322.0,1107.0,,,,1026.0,81.0,1107.0,,
ldb.27.8c9a,,2021,,1690.0,2158.0,1094.0,,,,985.0,109.0,1094.0,,
ldb.27.8c9a,,2022,,1892.0,2445.0,0.0,,,,,,0.0,,
ldb.27.8c9a,,2023,,2282.0,,0.0,,,,,,0.0,,
ldb.27.8c9a,,2012,,479.0,98.0,2273.0,,,239.0,952.0,1321.0,2273.0,,
ldb.27.8c9a,,2013,,621.0,80.0,2358.0,,,283.0,931.0,1427.0,2358.0,,
ldb.27.8c9a,,2014,,739.0,142.0,3096.0,,,313.0,1154.0,1942.0,3096.0,,
ldb.27.8c9a,,2015,,715.0,137.0,2893.0,,,255.0,1148.0,1745.0,2893.0,,
ldb.27.8c9a,,2016,,679.0,105.0,2506.0,,,276.0,1087.0,1419.0,2506.0,,
ldb.27.8c9a,,2017,,611.0,144.0,2098.0,,,265.0,926.0,1172.0,2098.0,,
ldb.27.8c9a,,2018,,612.0,130.0,1720.0,,,231.0,814.0,906.0,1720.0,,
ldb.27.8c9a,,2019,,625.0,118.0,1685.0,,,240.0,742.0,943.0,1685.0,,
ldb.27.8c9a,,2020,,569.0,141.0,1503.0,,,224.0,711.0,792.0,1503.0,,
ldb.27.8c9a,,2021,,590.0,132.0,1554.0,,,222.0,723.0,831.0,1554.0,,
