fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
lez.27.4a6a,,1991,,,,,,,,,,,,
lez.27.4a6a,,1992,,,,,,,,,,,,
lez.27.4a6a,,1993,,,,,,,,,,,,
lez.27.4a6a,,1994,,,,,,,,,,,,
lez.27.4a6a,,1995,,,,,,,,,,,,
lez.27.4a6a,,1996,,,,,,,,,,,,
lez.27.4a6a,,1997,,,,,,,,,,,,
lez.27.4a6a,,1998,,,,,,,,,,,,
,,1999,,,,,,,,,,,1.0,
,,2000,,,,,,,,,,,1.0,
,,2001,,,,,,,,,,,1.0,
,,2002,,,,,,,,,,,1.0,
,,2003,,,,,,,,,,,1.0,
lez.27.4a6a,,2004,,3600.0,,,,,3600.0,,,,,
lez.27.4a6a,,2005,,2300.0,,,,,2300.0,,,,,
lez.27.4a6a,,2006,,2300.0,,,,,2300.0,,,,,
lez.27.4a6a,,2007,,2100.0,,,,,2100.0,,,,,
lez.27.4a6a,,2008,,1400.0,,,,,1400.0,,,,,
lez.27.4a6a,,2009,,1400.0,,,,,1400.0,,,,,
lez.27.4a6a,,2010,,,,,,,,,,,,
lez.27.4a6a,,2011,,,,,,,,,,,,
lez.27.4a6a,,2012,,,,,,,,,,,,
lez.27.4a6a,,2013,,4700.0,,,,,4700.0,,,,,
lez.27.4a6a,,2014,,7000.0,,,,,5950.0,,,,,
lez.27.4a6a,,2015,,7000.0,,,,,5950.0,,,,,
lez.27.4a6a,,2016,,8567.0,,,,,7539.0,,,,,
lez.27.4a6a,,2017,,8567.0,,,,,7539.0,,,,,
lez.27.4a6a,,2018,,7800.0,,,,,7217.0,,,,,
lez.27.4a6a,,2019,,8250.0,,,,,7592.0,,,,,
lez.27.4a6a,,2020,,8350.0,,,,,,,,,,
lez.27.4a6a,,2021,,7300.0,,,,,,,,,,
lez.27.4a6a,,2022,,7350.0,,,,,,,,,,
lez.27.4a6a,,2023,,7200.0,,,,,,,,,,
