fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
mac.27.nea,,1987,,,442000.0,654992.0,,,,,,,,
mac.27.nea,,1988,,,610000.0,680491.0,,,,,,,,
mac.27.nea,,1989,,,532000.0,585920.0,,,,,,,,
mac.27.nea,,1990,,,562000.0,626107.0,,,,,,,,
mac.27.nea,,1991,,,612000.0,675665.0,,,,,,,,
mac.27.nea,,1992,,,707000.0,760690.0,,,,,,,,
mac.27.nea,,1993,,,767000.0,824568.0,,,,,,,,
mac.27.nea,,1994,,,837000.0,819087.0,,,,,,,,
mac.27.nea,,1995,,,645000.0,756277.0,,,,,,,,
mac.27.nea,,1996,,,452000.0,563472.0,,,,,,,,
mac.27.nea,,1997,,,470000.0,573029.0,,,,,,,,
mac.27.nea,,1998,,498000.0,549000.0,666316.0,,,,,,,,
mac.27.nea,,1999,,437000.0,562000.0,640309.0,,,,,,,,
mac.27.nea,,2000,,642000.0,612000.0,738606.0,,,,,,,,
mac.27.nea,,2001,,665000.0,670000.0,737463.0,,,,,,,,
mac.27.nea,,2002,,694000.0,683000.0,771422.0,,,,,,,,
mac.27.nea,,2003,,542000.0,583000.0,679287.0,,,,,,,,
mac.27.nea,,2004,,545000.0,532000.0,660491.0,,,,,,,,
mac.27.nea,,2005,,,422000.0,549514.0,,,,,,,,
mac.27.nea,,2006,,,444000.0,481181.0,,,,,,,,
mac.27.nea,,2007,,,502000.0,586206.0,,,,,,,,
mac.27.nea,,2008,,,458000.0,623165.0,,,,,,,,
mac.27.nea,,2009,,,605000.0,737969.0,,,,,,,,
mac.27.nea,,2010,,,885000.0,877272.0,,,,,,,,
mac.27.nea,,2011,,,959000.0,948963.0,,,,,,,,
mac.27.nea,,2012,,,927000.0,899551.0,,,,,,,,
mac.27.nea,,2013,,,906000.0,938299.0,,,,,,,,
mac.27.nea,,2014,,,1392000.0,1401788.0,,,,,,,,
mac.27.nea,,2015,,,1229000.0,1215827.0,,,,,,,,
mac.27.nea,,2016,,773842.0,1057000.0,1100135.0,,,,,,,,
mac.27.nea,,2017,,857185.0,1173000.0,1159641.0,,,,,,,,
mac.27.nea,,2018,,550948.0,998000.0,1023144.0,,,,,,,,
mac.27.nea,,2019,,770358.0,864000.0,839727.0,,,,,,,,
mac.27.nea,,2020,,922064.0,1090879.0,1039513.0,,,,,,,,
mac.27.nea,,2021,,852284.0,1199103.0,1081540.0,,,,,,,,
mac.27.nea,,2022,,794920.0,1131416.0,,,,,,,,,
mac.27.nea,,2023,,782066.0,,,,,,,,,,
