fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
meg.27.8c9a,,1987,,,13000.0,,,,,,40.0,,,
meg.27.8c9a,,1988,,,13000.0,,,,,,42.0,,,
meg.27.8c9a,,1989,,,13000.0,,,,,,47.0,,,
meg.27.8c9a,,1990,,,13000.0,,,,,,45.0,,,
meg.27.8c9a,,1991,,,14300.0,,,,,,41.0,,,
meg.27.8c9a,,1992,,,14300.0,,,,,,42.0,,,
meg.27.8c9a,,1993,,,8000.0,,,,,,38.0,,,
meg.27.8c9a,,1994,,,6000.0,,,,,,13.0,,,
meg.27.8c9a,,1995,,,6000.0,,,,,,40.0,,,
meg.27.8c9a,,1996,,,6000.0,,,,,,44.0,,,
meg.27.8c9a,,1997,,,6000.0,,,,,,52.0,,,
meg.27.8c9a,,1998,,900.0,6000.0,,,,900.0,,36.0,,,
meg.27.8c9a,,1999,,1000.0,6000.0,,,,1000.0,,43.0,,,
meg.27.8c9a,,2000,,1500.0,5000.0,,,,1500.0,,35.0,,,
meg.27.8c9a,,2001,,1610.0,5000.0,,,,1610.0,,19.0,,,
meg.27.8c9a,,2002,,1550.0,4000.0,,,,1550.0,,19.0,,,
meg.27.8c9a,,2003,,1550.0,2400.0,,,,1550.0,,15.0,,,
meg.27.8c9a,,2004,,1380.0,1336.0,,,,1380.0,,11.0,,,
meg.27.8c9a,,2005,,1090.0,1336.0,,,,1090.0,,19.0,,,
meg.27.8c9a,,2006,,1200.0,1269.0,,,,1200.0,,16.0,,,
meg.27.8c9a,,2007,,1440.0,1440.0,,,,1440.0,,0.4,,,
meg.27.8c9a,,2008,,1430.0,1430.0,,,,1430.0,,11.0,,,
meg.27.8c9a,,2009,,1430.0,1430.0,,,,1430.0,,11.0,,,
meg.27.8c9a,,2010,,900.0,1287.0,,,,900.0,,5.0,,,
meg.27.8c9a,,2011,,110.0,1094.0,,,,890.0,,69.0,,,
meg.27.8c9a,,2012,,100.0,1214.0,,,,860.0,,31.0,,,
meg.27.8c9a,,2013,,110.0,1214.0,,,,890.0,,18.0,,,
meg.27.8c9a,,2014,,300.0,2257.0,,,,2257.0,,23.0,,,
meg.27.8c9a,,2015,,192.0,1377.0,,,,1013.0,,21.0,,,
meg.27.8c9a,,2016,,186.0,1363.0,,,,1259.0,,63.0,,,
meg.27.8c9a,,2017,,211.0,1159.0,,,,,,41.0,,,
meg.27.8c9a,,2018,,292.0,1387.0,,,,,,37.0,,,
meg.27.8c9a,,2019,,431.0,1872.0,,,,,,51.0,,,
meg.27.8c9a,,2020,,534.0,2322.0,,,,,,5.0,,,
meg.27.8c9a,,2021,,468.0,2158.0,,,,,,32.0,,,
meg.27.8c9a,,2022,,553.0,2445.0,,,,,,,,,
meg.27.8c9a,,2023,,968.0,,,,,,,,,,
