fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
nop.27.3a4,,1987,,,,,,,,,,,,
nop.27.3a4,,1988,,,,,,,,,,,,
nop.27.3a4,,1989,,,,,,,,,,,,
nop.27.3a4,,1990,,,,,,,,,,,,
nop.27.3a4,,1991,,,,,,,,,,,,
,,1992,,,,,,,,,,,1.0,
nop.27.3a4,,1993,,,,,,,,,,,,
nop.27.3a4,,1994,,,,,,,,,,,,
nop.27.3a4,,1995,,,,,,,,,,,,
nop.27.3a4,,1996,,,,,,,,,,,,
nop.27.3a4,,1997,,,,,,,,,,,,
nop.27.3a4,,1998,,,,,,,,,,,,
nop.27.3a4,,1999,,,,,,,,,,,,
nop.27.3a4,,2000,,,,,,,,,,,,
nop.27.3a4,,2001,,,,,,,,,,,,
nop.27.3a4,,2002,,,,,,,,,,,,
nop.27.3a4,,2003,,,,,,,,,,,,
nop.27.3a4,,2004,,,,,,,,,,,,
nop.27.3a4,,2005,,,,,,,,,,,,
nop.27.3a4,,2006,,,,,,,,,,,,
nop.27.3a4,,2007,,0.0,,,,,,,,,,
nop.27.3a4,,2008,,,,,,,,,,,,1.0
nop.27.3a4,,2009,,35000.0,,,,,,,,,,
nop.27.3a4,,2010,,307000.0,,,,,,,,,,
nop.27.3a4,,2011,,0.0,,,,,,,,,,
nop.27.3a4,,2012,,0.0,,,,,,,,,,
nop.27.3a4,,2013,,458000.0,,,,,,,,,,
nop.27.3a4,,2014,,216000.0,,,,,,,,,,
nop.27.3a4,,2015,,326000.0,,,,,,,,,,
nop.27.3a4,,2016,,390000.0,,,,,,,,,,
nop.27.3a4,,2017,,358471.0,,,,,,,,,,
nop.27.3a4,,2018,,212531.0,,,,,,,,,,
nop.27.3a4,,2019,,135459.0,,,,,,,,,,
nop.27.3a4,,2020,,167105.0,,,,,,,,,,
nop.27.3a4,,2021,,254038.0,,,,,,,,,,
