fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
ple.27.420,,1987,,120000.0,150000.0,344194.0,,,120000.0,153670.0,190524.0,344194.0,,
ple.27.420,,1988,,150000.0,175000.0,310898.0,,,150000.0,154475.0,156423.0,310898.0,,
ple.27.420,,1989,,175000.0,185000.0,277611.0,,,175000.0,169818.0,107793.0,277611.0,,
ple.27.420,,1990,,171000.0,180000.0,227465.0,,,171000.0,156240.0,71225.0,227465.0,,
ple.27.420,,1991,,169000.0,175000.0,228938.0,,,169000.0,148003.0,80935.0,228938.0,,
ple.27.420,,1992,,,175000.0,182239.0,,,,125190.0,57049.0,182239.0,,1.0
ple.27.420,,1993,,170000.0,175000.0,152129.0,,,170000.0,117113.0,35016.0,152129.0,,
ple.27.420,,1994,,,165000.0,134177.0,,,,110392.0,23785.0,134177.0,,1.0
ple.27.420,,1995,,87000.0,115000.0,120184.0,,,87000.0,98356.0,21828.0,120184.0,,
ple.27.420,,1996,,61000.0,81000.0,133722.0,,,61000.0,81673.0,52049.0,133722.0,,
ple.27.420,,1997,,80000.0,91000.0,183193.0,,,80000.0,83048.0,100145.0,183193.0,,
ple.27.420,,1998,,82000.0,87000.0,175285.0,,,82000.0,71534.0,103751.0,175285.0,,
ple.27.420,,1999,,106000.0,102000.0,151638.0,,,106000.0,80662.0,70976.0,151638.0,,
ple.27.420,,2000,,95000.0,97000.0,125461.0,,,95000.0,81150.0,44311.0,125461.0,,
ple.27.420,,2001,,78000.0,78000.0,182156.0,,,78000.0,81847.0,100309.0,182156.0,,
ple.27.420,,2002,,77000.0,77000.0,124742.0,,,77000.0,70217.0,54525.0,124742.0,,
ple.27.420,,2003,,60000.0,73000.0,144327.0,,,60000.0,66489.0,77838.0,144327.0,,
ple.27.420,,2004,,,61000.0,116041.0,,,,61436.0,54605.0,116041.0,,1.0
ple.27.420,,2005,,35000.0,59000.0,109869.0,,,35000.0,55700.0,54169.0,109869.0,,
ple.27.420,,2006,,48000.0,57000.0,119860.0,,,48000.0,57943.0,61917.0,119860.0,,
ple.27.420,,2007,,32000.0,50000.0,89255.0,,,32000.0,49744.0,39511.0,89255.0,,
ple.27.420,,2009,,55500.0,55500.0,100265.0,,,55500.0,54973.0,45292.0,100265.0,,
ple.27.420,,2010,,63800.0,63800.0,106402.0,,,63800.0,60674.0,45728.0,106402.0,,
ple.27.420,,2011,,64200.0,73400.0,107939.0,,,64200.0,67386.0,40553.0,107939.0,,
ple.27.420,,2012,,84410.0,84400.0,132898.0,,,84410.0,73830.0,59068.0,132898.0,,
ple.27.420,,2013,,97070.0,97100.0,117769.0,,,97070.0,78905.0,38864.0,117769.0,,
ple.27.420,,2014,,111631.0,111600.0,122762.0,,,111631.0,70847.0,51915.0,122762.0,,
ple.27.420,,2015,,179301.0,128376.0,124395.0,,,128376.0,74963.0,49432.0,124395.0,,
ple.27.420,,2016,,216345.0,131714.0,123122.0,,,,81059.0,42063.0,123122.0,,
ple.27.420,,2017,,158201.0,129917.0,103055.0,,,,65442.0,37613.0,103055.0,,
ple.27.420,,2018,,142481.0,112643.0,97088.0,,,,50783.0,46305.0,97088.0,,
