fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
ple.27.420_replaced,,1992,,14000.0,11200.0,9554.0,,,14000.0,9554.0,,9554.0,,
ple.27.420_replaced,,1993,,,11200.0,9854.0,,,,9854.0,,9854.0,,
ple.27.420_replaced,,1994,,,11200.0,9551.0,,,,9551.0,,9551.0,,
ple.27.420_replaced,,1995,,,11200.0,9380.0,,,,9380.0,,9380.0,,
ple.27.420_replaced,,1996,,,11200.0,8003.0,,,,8003.0,,8003.0,,
ple.27.420_replaced,,1997,,,11200.0,7814.0,,,,7814.0,,7814.0,,
ple.27.420_replaced,,1998,,11900.0,11200.0,6449.0,,,11900.0,6449.0,,6449.0,,
ple.27.420_replaced,,1999,,11000.0,11200.0,7049.0,,,11000.0,7049.0,,7049.0,,
ple.27.420_replaced,,2000,,11800.0,11200.0,6989.0,,,11800.0,6989.0,,6989.0,,
ple.27.420_replaced,,2001,,9400.0,9400.0,9231.0,,,9400.0,9231.0,,9231.0,,
ple.27.420_replaced,,2002,,8510.0,6420.0,7676.0,,,8510.0,7102.0,574.0,7676.0,,
ple.27.420_replaced,,2003,,18400.0,10400.0,8580.0,,,18400.0,7143.0,1437.0,8580.0,,
ple.27.420_replaced,,2004,,,9500.0,10906.0,,,,8033.0,2873.0,10906.0,,1.0
ple.27.420_replaced,,2005,,9500.0,7600.0,8180.0,,,9500.0,6099.0,2081.0,8180.0,,
ple.27.420_replaced,,2006,,9600.0,7600.0,10588.0,,,9600.0,8345.0,2243.0,10588.0,,
ple.27.420_replaced,,2007,,9600.0,8500.0,10483.0,,,9600.0,7621.0,2862.0,10483.0,,
ple.27.420_replaced,,2008,,9400.0,9300.0,9399.0,,,9400.0,8356.0,1043.0,9399.0,,
ple.27.420_replaced,,2009,,9400.0,9300.0,7124.0,,,9400.0,6514.0,610.0,7124.0,,
ple.27.420_replaced,,2010,,9400.0,9300.0,9542.0,,,9400.0,8700.0,842.0,9542.0,,
ple.27.420_replaced,,2011,,8000.0,7900.0,9258.0,,,8000.0,8218.0,1040.0,9258.0,,
ple.27.420_replaced,,2012,,,7900.0,8526.0,,,,7680.0,846.0,8526.0,,1.0
ple.27.420_replaced,,2013,,8400.0,9142.0,7973.0,,,,6812.0,1161.0,7973.0,,
ple.27.420_replaced,,2014,,10196.0,10056.0,10235.0,,,8972.0,9213.0,1022.0,10235.0,,
ple.27.420_replaced,,2015,,7232.0,10056.0,10480.0,,,6287.0,9804.0,676.0,10480.0,,
ple.27.420_replaced,,2016,,216345.0,11766.0,12808.0,,,,10900.0,1908.0,12808.0,,
ple.27.420_replaced,,2017,,158201.0,17639.0,10128.0,,,,8775.0,1353.0,10128.0,,
ple.27.420_replaced,,2018,,142481.0,15343.0,7716.0,,,,6229.0,1487.0,7716.0,,
ple.27.420_replaced,,2019,,142217.0,16782.0,8407.0,,,,8091.0,316.0,8407.0,,
ple.27.420_replaced,,2020,,166499.0,19647.0,10189.0,,,,7826.0,2363.0,10189.0,,
ple.27.420_replaced,,2021,,167785.0,19188.0,9403.0,,,,6775.0,2628.0,9403.0,,
ple.27.420_replaced,,2022,,142508.0,16816.0,0.0,,,,,,0.0,,
ple.27.420_replaced,,2023,,150705.0,,0.0,,,,,,0.0,,
