fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
ple.27.7a,,1987,,5000.0,5000.0,6220.0,,,5000.0,6220.0,,6220.0,,
ple.27.7a,,1988,,4800.0,5000.0,5005.0,,,4800.0,5005.0,,5005.0,,
ple.27.7a,,1989,,5800.0,5800.0,4372.0,,,5800.0,4372.0,,4372.0,,
ple.27.7a,,1990,,5100.0,5100.0,3275.0,,,5100.0,3275.0,,3275.0,,
ple.27.7a,,1991,,3300.0,4500.0,2554.0,,,3300.0,2554.0,,2554.0,,
ple.27.7a,,1992,,3000.0,3800.0,3267.0,,,3000.0,3267.0,,3267.0,,
ple.27.7a,,1993,,2800.0,2800.0,1996.0,,,2800.0,1996.0,,1996.0,,
ple.27.7a,,1994,,3700.0,3100.0,2801.0,,,3700.0,2066.0,735.0,2801.0,,
ple.27.7a,,1995,,2400.0,2800.0,2591.0,,,2400.0,1874.0,717.0,2591.0,,
ple.27.7a,,1996,,2500.0,2450.0,2519.0,,,2500.0,1707.0,812.0,2519.0,,
ple.27.7a,,1997,,,2100.0,3244.0,,,,1871.0,1373.0,3244.0,,missing
ple.27.7a,,1998,,2400.0,2400.0,4028.0,,,2400.0,1765.0,2263.0,4028.0,,
ple.27.7a,,1999,,2400.0,2400.0,3396.0,,,2400.0,1600.0,1796.0,3396.0,,
ple.27.7a,,2000,,2300.0,2400.0,2677.0,,,2300.0,1371.0,1306.0,2677.0,,
ple.27.7a,,2001,,2400.0,2000.0,2573.0,,,2400.0,1473.0,1100.0,2573.0,,
ple.27.7a,,2002,,2800.0,2400.0,2708.0,,,2800.0,1623.0,1085.0,2708.0,,
ple.27.7a,,2003,,1900.0,1675.0,2668.0,,,1900.0,1559.0,1109.0,2668.0,,
ple.27.7a,,2004,,1600.0,1340.0,2174.0,,,1600.0,1143.0,1031.0,2174.0,,
ple.27.7a,,2005,,2970.0,1608.0,2491.0,,,2970.0,1281.0,1210.0,2491.0,,
ple.27.7a,,2006,,5900.0,1608.0,2188.0,,,5900.0,934.0,1254.0,2188.0,,
ple.27.7a,,2007,,6500.0,1849.0,2549.0,,,6500.0,805.0,1744.0,2549.0,,
ple.27.7a,,2008,,5200.0,1849.0,1831.0,,,5200.0,563.0,1268.0,1831.0,,
ple.27.7a,,2009,,1430.0,1430.0,1589.0,,,1430.0,457.0,1132.0,1589.0,,
ple.27.7a,,2010,,1630.0,1630.0,2939.0,,,1630.0,378.0,2561.0,2939.0,,
ple.27.7a,,2011,,,1627.0,1198.0,,,,595.0,603.0,1198.0,,
ple.27.7a,,2012,,,1627.0,1513.0,,,,503.0,1010.0,1513.0,,
ple.27.7a,,2013,,490.0,1627.0,1028.0,,,490.0,303.0,725.0,1028.0,,
ple.27.7a,,2014,,1827.0,1220.0,1230.0,,,497.0,287.0,943.0,1230.0,,
ple.27.7a,,2015,,1244.0,1098.0,1012.0,,,394.0,440.0,572.0,1012.0,,
ple.27.7a,,2016,,1244.0,1098.0,1096.0,,,343.0,682.0,414.0,1096.0,,
ple.27.7a,,2017,,1493.0,1098.0,1438.0,,,436.0,586.0,852.0,1438.0,,
ple.27.7a,,2018,,3336.0,1793.0,830.0,,,1793.0,435.0,395.0,830.0,,
ple.27.7a,,2019,,3503.0,3075.0,1002.0,,,,465.0,537.0,1002.0,,
ple.27.7a,,2020,,5640.0,2790.0,601.0,,,,330.0,271.0,601.0,,
ple.27.7a,,2021,,2846.0,2846.0,668.0,,,,276.0,392.0,668.0,,
ple.27.7a,,2022,,2925.0,2747.0,0.0,,,,,,0.0,,
ple.27.7a,,2023,,2039.0,,0.0,,,,,,0.0,,
