fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
ple.27.7fg,,1996,,930.0,1100.0,1466.0,,,930.0,952.0,514.0,1466.0,,
ple.27.7fg,,1997,,1100.0,1100.0,1874.0,,,1100.0,1217.0,657.0,1874.0,,
ple.27.7fg,,1998,,1000.0,1100.0,1643.0,,,1000.0,1067.0,576.0,1643.0,,
ple.27.7fg,,1999,,670.0,905.0,1491.0,,,670.0,968.0,523.0,1491.0,,
ple.27.7fg,,2000,,700.0,800.0,1106.0,,,700.0,718.0,388.0,1106.0,,
ple.27.7fg,,2001,,600.0,760.0,1100.0,,,600.0,714.0,386.0,1100.0,,
ple.27.7fg,,2002,,680.0,680.0,989.0,,,680.0,642.0,347.0,989.0,,
ple.27.7fg,,2003,,660.0,660.0,915.0,,,660.0,594.0,321.0,915.0,,
ple.27.7fg,,2004,,210.0,560.0,784.0,,,210.0,510.0,274.0,784.0,,
ple.27.7fg,,2005,,250.0,476.0,707.0,,,250.0,386.0,321.0,707.0,,
ple.27.7fg,,2006,,400.0,476.0,857.0,,,400.0,404.0,453.0,857.0,,
ple.27.7fg,,2007,,380.0,417.0,1698.0,,,380.0,410.0,1288.0,1698.0,,
ple.27.7fg,,2008,,240.0,491.0,1020.0,,,240.0,437.0,583.0,1020.0,,
ple.27.7fg,,2009,,170.0,422.0,1089.0,,,170.0,481.0,608.0,1089.0,,
ple.27.7fg,,2010,,330.0,451.0,1112.0,,,330.0,442.0,670.0,1112.0,,
ple.27.7fg,,2011,,,410.0,1534.0,,,,427.0,1107.0,1534.0,,
ple.27.7fg,,2012,,,369.0,1573.0,,,,450.0,1123.0,1573.0,,
ple.27.7fg,,2013,,360.0,369.0,1688.0,,,360.0,414.0,1274.0,1688.0,,
ple.27.7fg,,2014,,1608.0,461.0,1182.0,,,519.0,410.0,772.0,1182.0,,
ple.27.7fg,,2015,,1500.0,461.0,1159.0,,,420.0,381.0,778.0,1159.0,,
ple.27.7fg,,2016,,1500.0,420.0,1001.0,,,420.0,430.0,571.0,1001.0,,
ple.27.7fg,,2017,,1500.0,405.0,1285.0,,,405.0,390.0,895.0,1285.0,,
ple.27.7fg,,2018,,1800.0,511.0,930.0,,,511.0,422.0,508.0,930.0,,
ple.27.7fg,,2019,,2160.0,1662.0,652.0,,,,463.0,189.0,652.0,,
ple.27.7fg,,2020,,2295.0,2003.0,892.0,,,,535.0,357.0,892.0,,
ple.27.7fg,,2021,,1911.0,1911.0,846.0,,,,468.0,378.0,846.0,,
ple.27.7fg,,2022,,1735.0,1611.0,0.0,,,,,,0.0,,
ple.27.7fg,,2023,,402.0,,0.0,,,,,,0.0,,
ple.27.7fg,,2024,,402.0,,0.0,,,,,,0.0,,
