fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
pok.27.3a46,,1987,,,,,,,,,,,,
pok.27.3a46,,1988,,,,,,,,,,,,
pok.27.3a46,,1989,,,,,,,,,,,,
pok.27.3a46,,1990,,,,,,,,,,,,
pok.27.3a46,,1991,,,,,,,,,,,,
pok.27.3a46,,1992,,,,,,,,,,,,
pok.27.3a46,,1993,,,,,,,,,,,,
pok.27.3a46,,1994,,,,,,,,,,,,
pok.27.3a46,,1995,,,,,,,,,,,,
pok.27.3a46,,1996,,,,,,,,,,,,
pok.27.3a46,,1997,,,,,,,,,,,,
pok.27.3a46,,1998,,,,,,,,,,,,
pok.27.3a46,,1999,,,,,,,,,,,,
pok.27.3a46,,2000,,,,,,,,,,,,
pok.27.3a46,,2001,,,,,,,,,,,,
pok.27.3a46,,2002,,,,,,,,,,,,
pok.27.3a46,,2003,,,,,,,,,,,,
pok.27.3a46,,2004,,,,,,,,,,,,
pok.27.3a46,,2005,,,,,,,,,,,,
pok.27.3a46,,2006,,,,,,,,,,,,
pok.27.3a46,,2007,,,,,,,,,,,,
pok.27.3a46,,2008,,,,,,,,,,,,
pok.27.3a46,,2009,,,,,,,,,,,,
pok.27.3a46,,2010,,,,,,,,,,,,
pok.27.3a46,,2011,,,,,,,,,,,,
