fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
sol.27.4,,1987,,11000.0,14000.0,17368.0,,,11000.0,17368.0,,17368.0,nan,
sol.27.4,,1988,,11000.0,14000.0,21590.0,,,11000.0,21590.0,,21590.0,nan,
sol.27.4,,1989,,14000.0,14000.0,21805.0,,,14000.0,21805.0,,21805.0,nan,
sol.27.4,,1990,,25000.0,25000.0,35120.0,,,25000.0,35120.0,,35120.0,nan,
sol.27.4,,1991,,27000.0,27000.0,33513.0,,,27000.0,33513.0,,33513.0,nan,
sol.27.4,,1992,,21000.0,25000.0,29341.0,,,21000.0,29341.0,,29341.0,nan,
sol.27.4,,1993,,29000.0,32000.0,31491.0,,,29000.0,31491.0,,31491.0,nan,
sol.27.4,,1994,,31000.0,32000.0,33002.0,,,31000.0,33002.0,,33002.0,nan,
sol.27.4,,1995,,28000.0,28000.0,30467.0,,,28000.0,30467.0,,30467.0,nan,
,,1996,,,,,,,,,,,missing,missing
sol.27.4,,1997,,14600.0,18000.0,14901.0,,,14600.0,14901.0,,14901.0,nan,
sol.27.4,,1998,,18100.0,19100.0,20868.0,,,18100.0,20868.0,,20868.0,nan,
sol.27.4,,1999,,20300.0,22000.0,23475.0,,,20300.0,23475.0,,23475.0,nan,
sol.27.4,,2000,,19800.0,22000.0,22641.0,,,19800.0,22641.0,,22641.0,nan,
sol.27.4,,2001,,17700.0,19000.0,19944.0,,,17700.0,19944.0,,19944.0,nan,
sol.27.4,,2002,,14300.0,16000.0,18657.0,,,14300.0,16945.0,1712.0,18657.0,nan,
sol.27.4,,2003,,14600.0,15900.0,19284.0,,,14600.0,17920.0,1364.0,19284.0,nan,
sol.27.4,,2004,,17900.0,17000.0,20938.0,,,17900.0,18757.0,2181.0,20938.0,nan,
sol.27.4,,2005,,17300.0,18600.0,17696.0,,,17300.0,16355.0,1341.0,17696.0,nan,
sol.27.4,,2006,,11900.0,17700.0,13588.0,,,11900.0,12594.0,994.0,13588.0,nan,
sol.27.4,,2007,,10800.0,15000.0,15506.0,,,10800.0,14635.0,871.0,15506.0,nan,
sol.27.4,,2008,,9800.0,12800.0,14616.0,,,9800.0,14071.0,545.0,14616.0,nan,
sol.27.4,,2009,,14000.0,14000.0,15213.0,,,14000.0,13952.0,1261.0,15213.0,nan,
sol.27.4,,2010,,14100.0,14100.0,14849.0,,,14100.0,12603.0,2246.0,14849.0,nan,
sol.27.4,,2011,,,14100.0,13188.0,,,,11485.0,1703.0,13188.0,nan,missing
sol.27.4,,2012,,15700.0,16200.0,14130.0,,,15700.0,11602.0,2528.0,14130.0,nan,
sol.27.4,,2013,,14000.0,14000.0,15256.0,,,14000.0,13137.0,2119.0,15256.0,nan,
sol.27.4,,2014,,11900.0,11900.0,14628.0,,,11900.0,13060.0,1568.0,14628.0,nan,
sol.27.4,,2015,,11400.0,11900.0,14630.0,,,11400.0,12867.0,1763.0,14630.0,nan,
sol.27.4,,2016,,12800.0,13262.0,15332.0,,,,14127.0,1205.0,15332.0,nan,
sol.27.4,,2017,,15300.0,16123.0,13616.0,,,,12370.0,1246.0,13616.0,nan,
sol.27.4,,2018,,15726.0,15694.0,12255.0,,,,11199.0,1056.0,12255.0,nan,
sol.27.4,,2019,,,12555.0,10596.0,,,,8647.0,1949.0,10596.0,nan,missing
sol.27.4,,2020,,17545.0,17545.0,10515.0,,,,8863.0,1652.0,10515.0,nan,
sol.27.4,,2021,,21361.0,21361.0,9144.0,,,,8185.0,959.0,9144.0,nan,
sol.27.4,,2022,,15330.0,15330.0,0.0,,,,,,0.0,nan,
sol.27.4,,2023,,9152.0,,0.0,,,,,,0.0,nan,
