fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
spr.27.3a,,1987,,,80000,,,,,14000.0,,,,
spr.27.3a,,1988,,80000.0,80000,,,,,9000.0,,,,
spr.27.3a,,1989,,80000.0,80000,,,,,10000.0,,,,
spr.27.3a,,1990,,60000.0,65000,,,,,10000.0,,,,
spr.27.3a,,1991,,,50000,,,,,14000.0,,,,
spr.27.3a,,1992,,,50000,,,,,11000.0,,,,
spr.27.3a,,1993,,,45000,,,,,9000.0,,,,
spr.27.3a,,1994,,,43000,,,,,96000.0,,,,
spr.27.3a,,1995,,,43000,,,,,56000.0,,,,
spr.27.3a,,1996,,,43000,,,,,18000.0,,,,
spr.27.3a,,1997,,,40000,,,,,15800.0,,,,
spr.27.3a,,1998,,,40000,,,,,18400.0,,,,
spr.27.3a,,1999,,,50000,,,,,26700.0,,,,
spr.27.3a,,2000,,,50000,,,,,20100.0,,,,
spr.27.3a,,2001,,,50000,,,,,29107.0,,,,
spr.27.3a,,2002,,,50000,,,,,17703.0,,,,
spr.27.3a,,2003,,,50000,,,,,16479.0,,,,
spr.27.3a,,2004,,,50000,,,,,21996.0,,,,
spr.27.3a,,2005,,,50000,,,,,40296.0,,,,
spr.27.3a,,2006,,,52000,,,,,12507.0,,,,
spr.27.3a,,2007,,,52000,,,,,15706.0,,,,
spr.27.3a,,2008,,,52000,,,,,9123.0,,,,
spr.27.3a,,2009,,,52000,,,,,9208.0,,,,
spr.27.3a,,2010,,,52000,,,,,10706.0,,,,
spr.27.3a,,2011,,,52000,,,,,10731.0,,,,
spr.27.3a,,2012,,8200.0,52000,,,,,10417.0,,,,
spr.27.3a,,2013,,6787.0,41600,,,,,3752.0,,,,
spr.27.3a,,2014,,6787.0,33280,,,,,18584.0,,,,
spr.27.3a,,2015,,8144.0,33280,,,,,13276.0,,,,
spr.27.3a,,2016,,9773.0,33280,,,,,8204.0,,,,
spr.27.3a,,2017,,6255.0,33280,,,,,1418.0,,,,
spr.27.3a,,2018,,7506.0,26624,,,,,,,,,
