fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
whb.27.1-91214,,1987,,950000.0,,655000,,,,,,0.0,,
whb.27.1-91214,,1988,,832000.0,,557847,,,,,,0.0,,
whb.27.1-91214,,1989,,630000.0,,627447,,,,,,0.0,,
whb.27.1-91214,,1990,,600000.0,,561610,,,,,,0.0,,
whb.27.1-91214,,1991,,670000.0,,369524,,,,,,0.0,,
whb.27.1-91214,,1992,,,,475026,,,,,,0.0,,1.0
whb.27.1-91214,,1993,,490000.0,,480679,,,,,,0.0,,
whb.27.1-91214,,1994,,485000.0,650000.0,459414,,,,,,0.0,,
whb.27.1-91214,,1995,,518000.0,650000.0,578905,,,,,,0.0,,
whb.27.1-91214,,1996,,500000.0,650000.0,645982,,,,,,0.0,,
whb.27.1-91214,,1997,,540000.0,,672437,,,,,,0.0,,
whb.27.1-91214,,1998,,650000.0,,1128969,,,,,,0.0,,
whb.27.1-91214,,1999,,650000.0,,1256228,,,,,,0.0,,
whb.27.1-91214,,2000,,800000.0,,1412927,,,,,,0.0,,
whb.27.1-91214,,2001,,628000.0,,1780170,,,,,,0.0,,
whb.27.1-91214,,2002,,0.0,,1556792,,,,,,0.0,,
whb.27.1-91214,,2003,,600000.0,,2321406,,,,,,0.0,,
whb.27.1-91214,,2004,,925000.0,,2380161,,,,,,0.0,,
whb.27.1-91214,,2005,,1075000.0,,2034309,,,,,,0.0,,
whb.27.1-91214,,2006,,1500000.0,2100000.0,1976176,,,,,,0.0,,
whb.27.1-91214,,2007,,980000.0,1847000.0,1625255,,,,,,0.0,,
whb.27.1-91214,,2008,,835000.0,1250000.0,1260615,,,,,,0.0,,
whb.27.1-91214,,2009,,384000.0,606000.0,641818,,,,,,0.0,,
whb.27.1-91214,,2010,,540000.0,548000.0,526357,,,,,,0.0,,
whb.27.1-91214,,2011,,,40000.0,103620,,,,,,0.0,,1.0
whb.27.1-91214,,2012,,391000.0,391000.0,384021,,,,,,0.0,,
whb.27.1-91214,,2013,,643000.0,643000.0,628169,,,,,,0.0,,
whb.27.1-91214,,2014,,948950.0,1200000.0,1155279,,,,,,0.0,,
whb.27.1-91214,,2015,,839886.0,1260000.0,1396244,,,,1389953.0,6291.0,1396244.0,,
whb.27.1-91214,,2016,,76391.0,1147000.0,1183187,,,,1178180.0,5007.0,1183187.0,,
whb.27.1-91214,,2017,,1342330.0,1675400.0,1558061,,,,1556030.0,2030.0,1558060.0,,
whb.27.1-91214,,2018,,1387872.0,1727964.0,1711477,,,,1707152.0,4325.0,1711477.0,,
whb.27.1-91214,,2019,,1143629.0,1483208.0,1515527,,,,1512922.0,2604.0,1515526.0,,
whb.27.1-91214,,2020,,1161615.0,1478358.0,1495248,,,,1492420.0,2828.0,1495248.0,,
whb.27.1-91214,,2021,,929292.0,1157604.0,1143450,,,,1139514.0,3936.0,1143450.0,,
