fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
whg.27.7b-ce-k,,1987,,7100.0,18500.0,13720.0,,,7100.0,13720.0,,13720.0,,
whg.27.7b-ce-k,,1988,,7000.0,18500.0,15822.0,,,7000.0,15822.0,,15822.0,,
whg.27.7b-ce-k,,1989,,7900.0,19300.0,24276.0,,,7900.0,24276.0,,24276.0,,
whg.27.7b-ce-k,,1990,,8400.0,24000.0,24099.0,,,8400.0,24099.0,,24099.0,,
whg.27.7b-ce-k,,1991,,8000.0,24000.0,14402.0,,,8000.0,14402.0,,14402.0,,
whg.27.7b-ce-k,,1992,,8000.0,22000.0,14419.0,,,8000.0,14419.0,,14419.0,,
,,1993,,,,,,,,,,,1.0,
,,1994,,,,,,,,,,,1.0,
whg.27.7b-ce-k,,1995,,8200.0,31000.0,23559.0,,,8200.0,23559.0,,23559.0,,
whg.27.7b-ce-k,,1996,,600.0,28000.0,19539.0,,,600.0,19539.0,,19539.0,,
whg.27.7b-ce-k,,1997,,7300.0,27000.0,21067.0,,,7300.0,21067.0,,21067.0,,
whg.27.7b-ce-k,,1998,,8200.0,27000.0,19710.0,,,8200.0,19710.0,,19710.0,,
whg.27.7b-ce-k,,1999,,12400.0,25000.0,29680.0,,,12400.0,24260.0,5420.0,29680.0,,
whg.27.7b-ce-k,,2000,,13100.0,22200.0,20430.0,,,13100.0,16030.0,4400.0,20430.0,,
whg.27.7b-ce-k,,2001,,13500.0,21000.0,23709.0,,,13500.0,13832.0,9877.0,23709.0,,
whg.27.7b-ce-k,,2002,,27700.0,31700.0,21631.0,,,27700.0,14295.0,7336.0,21631.0,,
whg.27.7b-ce-k,,2003,,20200.0,27000.0,22125.0,,,20200.0,11788.0,10337.0,22125.0,,
whg.27.7b-ce-k,,2004,,14000.0,27000.0,29843.0,,,14000.0,10321.0,19522.0,29843.0,,
whg.27.7b-ce-k,,2005,,10600.0,21600.0,26173.0,,,10600.0,12575.0,13598.0,26173.0,,
whg.27.7b-ce-k,,2006,,10800.0,19940.0,15006.0,,,10800.0,9908.0,5098.0,15006.0,,
whg.27.7b-ce-k,,2007,,,19940.0,17863.0,,,,9424.0,8439.0,17863.0,,
whg.27.7b-ce-k,,2008,,,19940.0,9840.0,,,,6080.0,3760.0,9840.0,,
whg.27.7b-ce-k,,2009,,,16949.0,10855.0,,,,6574.0,4281.0,10855.0,,
whg.27.7b-ce-k,,2010,,,14407.0,14916.0,,,,9570.0,5346.0,14916.0,,
whg.27.7b-ce-k,,2011,,,16658.0,13834.0,,,,10084.0,3750.0,13834.0,,
whg.27.7b-ce-k,,2012,,,19053.0,15950.0,,,,10834.0,5116.0,15950.0,,
whg.27.7b-ce-k,,2013,,17500.0,24500.0,16157.0,,,17500.0,12131.0,4026.0,16157.0,,
whg.27.7b-ce-k,,2014,,15562.0,19162.0,17655.0,,,15562.0,12983.0,4672.0,17655.0,,
whg.27.7b-ce-k,,2015,,18501.0,17742.0,19638.0,,,14230.0,13110.0,6528.0,19638.0,,
whg.27.7b-ce-k,,2016,,19076.0,22778.0,23460.0,,,15395.0,15201.0,8259.0,23460.0,,
whg.27.7b-ce-k,,2017,,25125.0,27500.0,15168.0,,,19825.0,12377.0,2791.0,15168.0,,
whg.27.7b-ce-k,,2018,,19429.0,22213.0,11146.0,,,13759.0,9007.0,2139.0,11146.0,,
whg.27.7b-ce-k,,2019,,15841.0,19184.0,970.0,,,,,970.0,970.0,,
whg.27.7b-ce-k,,2020,,6481.0,10863.0,7197.0,,,,5931.0,1266.0,7197.0,,
whg.27.7b-ce-k,,2021,,5261.0,10259.0,7377.0,,,,6153.0,1224.0,7377.0,,
whg.27.7b-ce-k,,2022,,4452.0,8352.0,0.0,,,,,,0.0,,
whg.27.7b-ce-k,,2023,,1715.0,,0.0,,,,,,0.0,,
