fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
bss.27.4bc7ad-h,,2000,,,,2407.0,,,,2407.0,,2407.0,nan,
bss.27.4bc7ad-h,,2001,,,,2500.0,,,,2500.0,,2500.0,nan,
bss.27.4bc7ad-h,,2002,,,,2639.0,,,,2622.0,17.0,2639.0,nan,
bss.27.4bc7ad-h,,2003,,,,3475.0,,,,3459.0,16.0,3475.0,nan,
bss.27.4bc7ad-h,,2004,,,,3790.0,,,,3731.0,59.0,3790.0,nan,
bss.27.4bc7ad-h,,2005,,,,4526.0,,,,4430.0,96.0,4526.0,nan,
bss.27.4bc7ad-h,,2006,,,,4430.0,,,,4377.0,53.0,4430.0,nan,
bss.27.4bc7ad-h,,2007,,,,4114.0,,,,4064.0,50.0,4114.0,nan,
bss.27.4bc7ad-h,,2008,,,,4115.0,,,,4107.0,8.0,4115.0,nan,
bss.27.4bc7ad-h,,2009,,,,4040.0,,,,3889.0,151.0,4040.0,nan,
bss.27.4bc7ad-h,,2010,,,,4710.0,,,,4562.0,148.0,4710.0,nan,
bss.27.4bc7ad-h,,2011,,,,3880.0,,,,3858.0,22.0,3880.0,nan,
bss.27.4bc7ad-h,,2012,,,,4144.0,,,,3987.0,157.0,4144.0,nan,
bss.27.4bc7ad-h,,2013,,6000.0,,4190.0,,,,4137.0,53.0,4190.0,nan,
bss.27.4bc7ad-h,,2014,,2707.0,,2707.0,,,,2682.0,25.0,2707.0,nan,
,,2015,,,,,,,,,,,missing,missing
bss.27.4bc7ad-h,,2016,,541.0,,1494.0,,,,1295.0,199.0,1494.0,nan,
bss.27.4bc7ad-h,,2017,,0.0,,1255.0,,,,984.0,271.0,1255.0,nan,
bss.27.4bc7ad-h,,2018,,880.0,,1430.0,,,,948.0,482.0,1430.0,nan,
bss.27.4bc7ad-h,,2019,,1806.0,,1436.0,,,,972.0,464.0,1436.0,nan,
bss.27.4bc7ad-h,,2020,,,,1367.0,,,,1042.0,325.0,1367.0,nan,missing
bss.27.4bc7ad-h,,2021,,2000.0,,1538.0,,,,1126.0,412.0,1538.0,nan,
bss.27.4bc7ad-h,,2022,,2216.0,,0.0,,,,,,0.0,nan,
bss.27.4bc7ad-h,,2023,,2542.0,,0.0,,,,,,0.0,nan,
