fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
cod.2127.1f14,,2004,,0,5000.0,775.0,,,,,,,,
cod.2127.1f14,,2005,,0,5000.0,890.0,,,,,,,,
cod.2127.1f14,,2006,,0,5000.0,2456.0,,,,,,,,
cod.2127.1f14,,2007,,0,5000.0,5205.0,,,,,,,,
cod.2127.1f14,,2008,,0,15000.0,14628.0,,,,,,,,
cod.2127.1f14,,2009,,0,10000.0,4965.0,,,,,,,,
cod.2127.1f14,,2010,,0,5000.0,2669.0,,,,,,,,
cod.2127.1f14,,2011,,0,5000.0,5113.0,,,,,,,,
cod.2127.1f14,,2012,,0,5500.0,5411.0,,,,,,,,
cod.2127.1f14,,2013,,0,6500.0,5509.0,,,,,,,,
cod.2127.1f14,,2014,,0,10000.0,7893.0,,,,,,,,
cod.2127.1f14,,2015,,0,18104.0,15755.0,,,,,,,,
cod.2127.1f14,,2016,,7577,16000.0,14818.0,,,,,,,,
cod.2127.1f14,,2017,,7930,16000.0,16300.0,,,,,,,,
cod.2127.1f14,,2018,,12151,16500.0,15068.0,,,,,,,,
cod.2127.1f14,,2019,,5363,20000.0,18074.0,,,,,,,,
cod.2127.1f14,,2020,,3409,18824.0,15933.0,,,,,,,,
cod.2127.1f14,,2021,,6091,26091.0,25829.0,,,,,,,,
cod.2127.1f14,,2022,,8768,27430.0,,,,,,,,,
cod.2127.1f14,,2023,,8460,,,,,,,,,,
