fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
cod.27.1-2,,1987,,595000,560000.0,523071.0,,,,,,,,
cod.27.1-2,,1988,,530000,590000.0,434939.0,,,,,,,,
cod.27.1-2,,1989,,335000,300000.0,332481.0,,,,,,,,
cod.27.1-2,,1990,,172000,160000.0,212000.0,,,,25000.0,,,,
cod.27.1-2,,1991,,215000,215000.0,319158.0,,,,50000.0,,,,
cod.27.1-2,,1992,,250000,356000.0,513234.0,,,,130000.0,,,,
cod.27.1-2,,1993,,256000,500000.0,581611.0,,,,50000.0,,,,
cod.27.1-2,,1994,,649000,700000.0,771086.0,,,,25000.0,,,,
cod.27.1-2,,1995,,681000,700000.0,739999.0,,,,,,,,
cod.27.1-2,,1996,,746000,700000.0,732228.0,,,,,,,,
cod.27.1-2,,1997,,993000,850000.0,762403.0,,,,,,,,
cod.27.1-2,,1998,,514000,654000.0,592624.0,,,,,,,,
cod.27.1-2,,1999,,360000,480000.0,484910.0,,,,,,,,
cod.27.1-2,,2000,,110000,390000.0,414870.0,,,,,,,,
cod.27.1-2,,2001,,263000,395000.0,426471.0,,,,,,,,
cod.27.1-2,,2002,,181000,395000.0,535045.0,,,,90000.0,,,,
cod.27.1-2,,2003,,305000,395000.0,551990.0,,,,115000.0,,,,
cod.27.1-2,,2004,,398000,486000.0,606445.0,,,,117000.0,,,,
cod.27.1-2,,2005,,485000,485000.0,641276.0,,,,166000.0,,,,
cod.27.1-2,,2006,,471000,471000.0,537642.0,,,,67100.0,,,,
cod.27.1-2,,2007,,309000,424000.0,486883.0,,,,41087.0,,,,
cod.27.1-2,,2008,,409000,430000.0,464171.0,,,,15000.0,,,,
cod.27.1-2,,2009,,473000,525000.0,523431.0,,,,0.0,,,,
cod.27.1-2,,2010,,577500,607000.0,609983.0,,,,0.0,,,,
cod.27.1-2,,2011,,703000,703000.0,719829.0,,,,0.0,,,,
cod.27.1-2,,2012,,751000,751000.0,727663.0,,,,0.0,,,,
cod.27.1-2,,2013,,940000,1000000.0,966209.0,,,,0.0,,,,
cod.27.1-2,,2014,,993000,993000.0,986449.0,,,,0.0,,,,
cod.27.1-2,,2015,,894000,894000.0,864384.0,,,,0.0,,,,
cod.27.1-2,,2016,,805000,894000.0,849422.0,,,,0.0,,,,
cod.27.1-2,,2017,,805000,890000.0,868276.0,,,,0.0,,,,
cod.27.1-2,,2018,,712000,775000.0,778627.0,,,,0.0,,,,
cod.27.1-2,,2019,,674678,725000.0,692609.0,,,,0.0,,,,
cod.27.1-2,,2020,,689672,738000.0,692903.0,,,,0.0,,,,
cod.27.1-2,,2021,,885600,885600.0,,,,,,,,,
cod.27.1-2,,2022,,708480,,,,,,,,,,
