fish,Year,ICES advice,Total catch from the stock corresponding to the advice,Commercial catch corresponding to the advice,Agreed TAC,ICES estimated total commercial landings subdivisions 22–24 (eastern and western Baltic cod stocks)
cod.27.22-24,1987,TAC,,9 000,,28 566
cod.27.22-24,1988,TAC,,16 000,,29 159
cod.27.22-24,1989,TAC,,14 000,220 000,18 516
cod.27.22-24,1990,TAC,,8 000,210 000,17 780
cod.27.22-24,1991,TAC,,11 000,171 000,16 693
cod.27.22-24,1992,Substantial reduction in F,,,100 000,17 996
cod.27.22-24,1993,F at lowest possible level,,,40 000,21 228
cod.27.22-24,1994,TAC,,22 000,60 000,30 695
cod.27.22-24,1995,30% reduction in fishing effort from 1994 level,,,120 000,33 895
cod.27.22-24,1996,30% reduction in fishing effort from 1994 level,,,165 000,50 845
cod.27.22-24,1997,Fishing effort should not be allowed to increase above the level of recent years,,,180 000,43 624
cod.27.22-24,1998,20% reduction in F from 1996,,35 000,136 950,34 216
cod.27.22-24,1999,At or below Fsq with 50% probability,,38 000,126 000,42 155
cod.27.22-24,2000,Reduce F by 20%,,44 600,105 000,38 347
cod.27.22-24,2001,Reduce F by 20%,,48 600,105 000,34 244
cod.27.22-24,2002,Reduce F to below 1.0,,36 300,76 000,24 158
cod.27.22-24,2003,Reduce F to below 1.0,,22 600 or 28 800,75 000,24 624
cod.27.22-24,2004,Reduce F to below 1.0,,29 600,29 600,20 854
cod.27.22-24,2005,Reduce F to below 0.92,,23 400,24 700,22 045
cod.27.22-24,2006,Management plan,,28 400,28 400,22 751
cod.27.22-24,2007,Keep SSB at Bpa,,20 500,26 700,23 736
cod.27.22-24,2008,Rebuild SSB to Bpa,,13 500,19 200,20 082
cod.27.22-24,2009,Rebuild SSB to Bpa,,13 700,16 300,15 549
cod.27.22-24,2010,Management plan,,17 700,17 700,14 120
cod.27.22-24,2011,See scenarios,,,18 800,16 332
cod.27.22-24,2012,Management plan,,21 300,21 300,17 072
cod.27.22-24,2013,Management plan,,20 800,20 000,12 968
cod.27.22-24,2014,Management plan,,17 037,17 000,13 538
cod.27.22-24,2015,MSY approach,,8 793,15 900,13418
cod.27.22-24,2016,MSY approach (F = 0.23),7 797,,12 720,10 629
cod.27.22-24,2017,MSY approach (F = 0.15),3 475,917,5 597,5 865
cod.27.22-24,2018,MAP F ranges: Flower to FMSY adjusted by SSB2018/ MSY Btrigger (F = 0.11–0.188),3 130–5 295,1 376–3 541,5 597,5 850
cod.27.22-24,2019,MAP range: FMSY Flower to Fupper (F = 0.15–0.45),9 094–23 992,5 867–22 238,9 515,7 701
cod.27.22-24,2020,MAP range: FMSY Flower to Fupper (F = 0.18–0.43),5 205–11 006,3 065–8 866,3 806,3 329
cod.27.22-24,2021,Management plan,5 950 (range 4 275–9 039),4 635 (range 2 960– 7 724),4 000,1 329
cod.27.22-24,2022,MSY approach,698,,489,
cod.27.22-24,2023,MSY approach,943,,,
