fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
had.27.1-2,,1987,,160000.0,250000.0,,,,,154916.0,,,,
had.27.1-2,,1988,,240000.0,240000.0,,,,,95255.0,,,,
had.27.1-2,,1989,,69000.0,83000.0,,,,,58518.0,,,,
had.27.1-2,,1990,,,25000.0,,,,,27182.0,,,,
had.27.1-2,,1991,,,28000.0,,,,,36216.0,,,,
had.27.1-2,,1992,,35000.0,63000.0,,,,,59922.0,,,,
had.27.1-2,,1993,,56000.0,72000.0,,,,,82379.0,,,,
had.27.1-2,,1994,,97000.0,120000.0,,,,,135186.0,,,,
had.27.1-2,,1995,,122000.0,130000.0,,,,,142448.0,,,,
had.27.1-2,,1996,,169000.0,170000.0,,,,,178128.0,,,,
had.27.1-2,,1997,,242000.0,210000.0,,,,,154359.0,,,,
had.27.1-2,,1998,,120000.0,130000.0,,,,,100630.0,,,,
had.27.1-2,,1999,,74000.0,78000.0,,,,,83195.0,,,,
had.27.1-2,,2000,,37000.0,62000.0,,,,,68944.0,,,,
had.27.1-2,,2001,,66000.0,85000.0,,,,,89640.0,,,,
had.27.1-2,,2002,,64000.0,85000.0,,,,,114798.0,,,,
had.27.1-2,,2003,,101000.0,101000.0,,,,,138926.0,,,,
had.27.1-2,,2004,,120000.0,130000.0,,,,,158279.0,,,,
had.27.1-2,,2005,,106000.0,117000.0,,,,,158751.0,,,,
had.27.1-2,,2006,,112000.0,120000.0,,,,,153157.0,,,,
had.27.1-2,,2007,,130000.0,150000.0,,,,,161525.0,,,,
had.27.1-2,,2008,,130000.0,155000.0,,,,,155604.0,,,,
had.27.1-2,,2009,,194000.0,194000.0,,,,,200061.0,,,,
had.27.1-2,,2010,,243000.0,243000.0,,,,,249200.0,,,,
had.27.1-2,,2011,,303000.0,303000.0,,,,,310618.0,,,,
had.27.1-2,,2012,,318000.0,318000.0,,,,,315627.0,,,,
had.27.1-2,,2013,,238000.0,200000.0,,,,,193744.0,,,,
had.27.1-2,,2014,,150000.0,178500.0,,,,,177522.0,,,,
had.27.1-2,,2015,,165000.0,223000.0,,,,,194756.0,,,,
had.27.1-2,,2016,,244000.0,244000.0,,,,,233416.0,,,,
had.27.1-2,,2017,,233000.0,233000.0,,,,,227588.0,,,,
had.27.1-2,,2018,,202305.0,202305.0,,,,,191276.0,,,,
had.27.1-2,,2019,,152000.0,172000.0,,,,,175402.0,,,,
had.27.1-2,,2020,,215000.0,215000.0,,,,,182468.0,,,,
had.27.1-2,,2021,,232537.0,232537.0,,,,,,,,,
had.27.1-2,,2022,,178532.0,,,,,,,,,,
